model,inner_r2,pos,pos_bonf,share_n,ev_pos_mid,ev_pos_micro,ev_all_mid,best_ev
OLS,0.11302477560971724,55,34,0.23273910526353422,0.005167549853122217,0.007457498589586677,-0.04601795088104649,0.06558505813525005
Ridge,0.11302477560971724,55,34,0.23273910526353422,0.005167549853122217,0.007457498589586677,-0.04601795088104649,0.06558505813525005
ElasticNet,0.09702510604495429,51,26,0.1925101556367197,0.006268139013172968,0.00933063784096875,-0.04601795088104649,0.04798761975618581
GAM,0.12065811465798337,62,34,0.2543020810209049,0.003686793396376379,0.004571257203033846,-0.04601795088104649,0.10816864788901691
