event,utc,n_day,n_wkend,jump1_bp,jump1_wkend_bp,ratio,pre60_bp,post60_bp,asym
東京・ソウル 寄り,00:00,67,31,1.050827527651066,0.0,1050827527.6510658,6.1962101678103565,21.11156767348632,3.4071742406611776
台北 寄り,01:00,67,31,1.4887229266058455,0.43428224009822713,3.4280078463929864,5.796381564184827,14.703249052923084,2.5366254602307006
(対照)02:00 何も無い,02:00,67,31,0.7842494202403572,0.3582184262818089,2.1893050795309774,8.586040429960917,9.723370886156602,1.13246274175777
東京 前引け,02:30,67,31,0.790319198173961,0.14071030562057274,5.616640477670964,6.942837585066641,7.519938084010747,1.0831217051923254
東京 後場寄り,03:30,67,31,0.8474980274275623,0.20660623435198033,4.101996389826941,5.109467478892071,7.784066824996216,1.52345951063458
(対照)04:00 何も無い,04:00,67,31,0.5923420938813706,0.20854260004199432,2.8403889361794206,5.1008151321330075,5.535146424620052,1.0851493891144846
台北 引け,05:30,67,31,1.263663361763534,0.06370907885688837,19.83490241009667,4.693384703298165,5.643341007557368,1.202403247189953
東京 引け,06:00,67,31,0.82346462494165,0.444632178107085,1.852013114406954,4.4556962762509755,8.677107617840463,1.9474190070112642
ソウル 引け,06:30,67,31,0.6568870126777426,0.10820461493032951,6.070785549218,6.307464850925371,4.964347064673191,0.7870590137248042
欧州 寄り,07:00,67,31,0.966744006944964,0.06385594099711511,15.139452834758783,4.470402068772472,9.434477615810621,2.110431560891174
ロンドン寄り/米プレ開始,08:00,67,31,1.4985418063595546,0.2362530269994778,6.342952830665178,4.780249949032367,13.63193979358357,2.8517211315159345
(対照)11:00 何も無い,11:00,67,31,2.7620676224504592,0.2012322119160359,13.725772808196986,5.546946904262384,24.04471692554644,4.334766014628696
米国 寄り,13:30,67,31,13.788075766916208,0.05090548125252781,270.85640735852064,12.98088452278634,60.20002223277032,4.637590152435037
米国 引け,20:00,67,31,2.1683977793873765,0.06282255455403174,34.516230592348876,20.7062214651188,15.057901086157344,0.7272162674162217
(対照)22:00 何も無い,22:00,67,31,0.7583245076414613,1.2993425344998144,0.5836217067529313,2.883840617107225,6.486887448309275,2.2493918040506204
