net_delay_ms,p_under_be_1block,p_under_be_2block
0,0.7455165173042441,0.0
5,0.6712213082181718,0.0
10,0.5969260991320996,0.0
15,0.5226308900460273,0.0
20,0.448335680959955,0.0
25,0.3740404718738828,0.0
30,0.2997452627878105,0.0
35,0.22545005370173823,0.0
40,0.15115484461566597,0.0
45,0.07685963552959371,0.0
50,0.0025644264435214412,0.0
55,0.0,0.0
60,0.0,0.0
