mo,buy,sell,spread_bp,spread_q1,spread_q3,var5,var5_q1,var5_q3,n,vol,rel
630,86.06676119402984,84.62753731343281,1.5070713687595665,0.8588846655460443,1.8478864412787064,,,,67,170.69429850746263,-180
631,85.80046268656716,91.66046268656719,1.4944519106157867,0.8208866372454863,1.8988722866317491,,,,67,177.46092537313433,-179
632,62.646477611940306,114.11394029850746,1.6331151899790861,0.8243166904827277,1.8100119550527274,,,,67,176.76041791044776,-178
633,61.20462686567164,109.23076119402982,1.6769397187015893,0.860741787479723,1.7691903661250055,,,,67,170.43538805970147,-177
634,115.64992537313432,81.7860895522388,1.5730946918421866,0.8549596095386055,1.9417453994305418,,,,67,197.43601492537312,-176
635,76.20307462686566,88.84922388059701,1.5398551287344977,0.9496391015737126,1.707679419095643,0.015387158039303402,0.004981282292405063,0.0171596194326558,67,165.05229850746267,-175
636,54.63810447761194,61.88131343283582,1.5698600239790808,0.9116149564570661,1.797714802348849,0.015659386987903322,0.005449070029288662,0.01755360345679997,67,116.51941791044776,-174
637,69.90531343283584,82.84626865671643,1.5518412751323252,0.8708464691487061,1.8999119972394671,0.014935869903309184,0.005287642031305465,0.019015290910458477,67,152.75158208955227,-173
638,41.98183582089552,71.12932835820895,1.6285611822524537,0.8948641542977138,1.8463909249494268,0.01523833924965501,0.004580122936950935,0.018918517744021864,67,113.11116417910446,-172
639,56.137955223880596,58.22814925373133,1.5023665477502346,0.8572289660487711,1.7922910643242473,0.01426040767038466,0.0037137110449319147,0.01745579929990869,67,114.36610447761193,-171
640,72.15001492537313,52.37723880597015,1.5387898163426226,0.8350656374196208,1.9736955677131582,0.014386280271310024,0.0036568654444332437,0.019420540344241996,67,124.52725373134328,-170
641,73.26635820895522,60.72674626865672,1.4742505304460058,0.8872567611585986,1.7588466603761868,0.014481764215393302,0.0047436517005606995,0.016056342132594745,67,133.99310447761195,-169
642,42.25877611940298,39.65726865671642,1.517120916192109,0.8563154643274435,1.758277227297797,0.013302781722032841,0.004438331652620348,0.015196261705143106,67,81.9160447761194,-168
643,59.485791044776114,59.825089552238815,1.507151677655351,0.8444873073586825,1.7818234125244736,0.01266443468311015,0.004466252325765199,0.015494756371793301,67,119.31088059701493,-167
644,58.7944328358209,90.84485074626862,1.4672016858463153,0.8920302088199801,1.765932505489515,0.011795309962906338,0.004309020385012363,0.014721224409040813,67,149.63928358208952,-166
645,91.57804477611938,92.7257462686567,1.5493722723271297,0.8167336534420043,1.7401092441102255,0.01420348478963595,0.004556608747978151,0.01546531031145202,67,184.3037910447761,-165
646,70.77947761194031,50.50626865671642,1.4887989416219862,0.9083659425522508,1.6354098445797844,0.013436628877978436,0.00469355736885885,0.015288112440911583,67,121.28574626865674,-164
647,112.19025373134335,55.47986567164179,1.5201373499340767,0.8780189102228247,1.7725466307817654,0.013338233126265184,0.003408351367330384,0.015869703407765803,67,167.67011940298514,-163
648,66.28955223880598,43.71982089552239,1.3932369848176722,0.7629755315326366,1.6880008208802217,0.013053284370990929,0.0035307485930356954,0.015369174343383056,67,110.00937313432837,-162
649,40.184582089552244,39.739820895522385,1.4636019437556982,0.8665818176619194,1.7254584352062674,0.014186022937289057,0.003910321088953322,0.01702184801374491,67,79.92440298507464,-161
650,51.07994029850746,84.22811940298509,1.5610983333407793,0.7655633943512745,1.764051031662088,0.011930097418900797,0.0032805152416392905,0.015113658090748508,67,135.30805970149254,-160
651,61.70826865671643,77.87402985074627,1.51116222483415,0.8715653989731591,1.6981408664559605,0.0122996477196318,0.0033689940365203563,0.017416038964083915,67,139.5822985074627,-159
652,56.96785074626865,74.15876119402986,1.41884863935111,0.8787268304571683,1.8317010179896454,0.012189403304261277,0.00392504794683771,0.016246260932400718,67,131.12661194029852,-158
653,70.17120895522388,78.3291791044776,1.3827895508901218,0.7418444422300887,1.6158629275120113,0.011693445994148127,0.003067630938968505,0.017341195476955343,67,148.5003880597015,-157
654,39.62429850746269,47.02805970149254,1.3902408997107925,0.8104065154896598,1.6384898493506306,0.010284170434581463,0.0032359903586255947,0.013443114681838123,67,86.65235820895523,-156
655,72.61632835820895,65.39877611940298,1.414872686278146,0.8545989062913496,1.8193690542937142,0.009524331486252525,0.003235806339683865,0.013521566070825657,67,138.01510447761194,-155
656,52.932164179104475,40.753029850746266,1.4350704025325012,0.7897412773689589,1.8035977373500895,0.009244247470246566,0.003595783445028775,0.012743791418469244,67,93.68519402985075,-154
657,72.5382537313433,52.829731343283584,1.5143796107626613,0.7755873334243719,1.7917027227233435,0.009163025024700417,0.003076043181411555,0.01154608778178931,67,125.36798507462689,-153
658,59.6560447761194,59.69498507462688,1.3807100523341194,0.8167640611367228,1.6754143130092976,0.008971724643197782,0.002764961901815503,0.011949208738571937,67,119.35102985074627,-152
659,56.94364179104478,73.1616119402985,1.4508278857156933,0.8226586497678209,1.824024452306896,0.008357650682217268,0.002690108690185735,0.011070695056128711,67,130.10525373134328,-151
660,212.48273134328358,173.4378955223881,1.9587266580079947,1.2930758602460573,2.2323442048942628,0.029734602200311624,0.007062796809117167,0.03813383545925555,67,385.9206268656717,-150
661,119.0191791044776,139.8190447761194,1.7645884964316547,1.0638310768755128,2.0456699939901326,0.03609542950404926,0.013354855033078195,0.04315394499465282,67,258.838223880597,-149
662,115.92891044776117,107.90953731343282,1.7127552771947534,1.1567755511755686,1.9546911853235385,0.03988390785092308,0.016803858364362965,0.04551832030615424,67,223.838447761194,-148
663,107.2309104477612,113.12608955223878,1.6548764753065772,1.0291878352838173,1.9481357724342978,0.04295773394197212,0.01740328268581559,0.05368959243413282,67,220.35699999999997,-147
664,80.97580597014925,94.31165671641793,1.6140084518643332,0.9134913219708934,1.9167487919307933,0.047405018712430406,0.02030918627023344,0.06304040704009861,67,175.28746268656718,-146
665,108.78146268656718,88.30277611940299,1.7007481402723896,0.9067338380807529,2.0556095708021984,0.02865332816642514,0.01180017656082924,0.037223903407782484,67,197.0842388059702,-145
666,81.93065671641791,78.80650746268657,1.6172143183402001,1.0442782544703528,1.8877879438615637,0.024264681360173318,0.008911029725032693,0.03316674800076876,67,160.73716417910447,-144
667,78.66535820895523,119.8210895522388,1.567855999029522,1.0431950062679416,1.813694646100568,0.022274993004250024,0.009037014403030447,0.026875765175819067,67,198.48644776119403,-143
668,97.2000895522388,94.8085970149254,1.5511978214922677,0.9227354744269143,1.9625955731953404,0.020519975160289316,0.008192391283012988,0.025714463659841837,67,192.0086865671642,-142
669,83.36004477611941,83.04916417910448,1.6081564816082405,0.9200415571801662,1.9060662863254572,0.01781917310767721,0.008243098756935064,0.023372043035247897,67,166.4092089552239,-141
670,71.71985074626865,70.31522388059702,1.5687450818835422,0.8856601092804562,1.8313359282091213,0.016149560737568514,0.004785664540087273,0.019721621812142785,67,142.03507462686565,-140
671,83.80089552238806,76.2431791044776,1.6143613803490042,0.9134015901041674,1.8566455033945877,0.015437545449067723,0.005714167980455753,0.020231129828737395,67,160.04407462686567,-139
672,77.26586567164179,68.703,1.4993151046847129,0.8766930228944586,1.8080946626899974,0.016005737402792455,0.006908984888650994,0.026127039493280695,67,145.9688656716418,-138
673,61.1704328358209,62.37113432835821,1.5057694627982714,0.8303009969965395,1.7944589836863196,0.015310853180667883,0.006456335868466089,0.022876380617238394,67,123.5415671641791,-137
674,71.92586567164179,62.85668656716417,1.5629487423838029,0.8717768444080247,1.7343287344923795,0.015617288992866544,0.005423304415336251,0.023021719963901975,67,134.78255223880595,-136
675,108.13914925373132,75.93017910447762,1.5237338467481236,0.889749125625347,1.9633429793487358,0.017731000870523688,0.005443095583675256,0.022707229108967376,67,184.06932835820894,-135
676,56.01683582089551,80.804,1.5006367224898447,0.9363804533288173,1.755963439612773,0.016934358111238158,0.006141872099347177,0.022051316720572204,67,136.82083582089552,-134
677,76.05237313432836,65.79047761194029,1.5957027130172852,0.8575150090959246,1.9859271776756646,0.015155776700456192,0.005635271199688056,0.018981223420572377,67,141.84285074626865,-133
678,64.10311940298507,70.90004477611942,1.5777435841843268,0.8789572772053442,1.8105740827462564,0.0161124785778665,0.00562646707715701,0.021574463610988498,67,135.0031641791045,-132
679,59.15605970149253,64.86885074626866,1.5142722115054348,0.8361463667171605,1.8989770587010684,0.015378107833562462,0.005047479533778521,0.021403058197757594,67,124.02491044776119,-131
680,70.27516417910448,96.54741791044778,1.5385952349001215,0.8985197824948937,1.7838469391405631,0.014582993520593685,0.005402293379107907,0.01819391642583505,67,166.82258208955227,-130
681,63.60358208955225,77.66931343283582,1.6120732375584927,0.8513101019452894,1.8307693156956777,0.013703761517720396,0.005498520222984882,0.017807184870930713,67,141.27289552238807,-129
682,82.56989552238807,69.27423880597016,1.5338746116344981,0.8117971549259367,1.798334100547625,0.01387750514607317,0.006109236868952267,0.018638896923324738,67,151.84413432835822,-128
683,56.57944776119404,50.887835820895525,1.5370288051845908,0.8885307785040455,1.8575361820049696,0.012185781911712079,0.004977758360375722,0.018344646551607606,67,107.46728358208956,-127
684,67.50379104477612,82.75755223880597,1.3746688190066203,0.8631091822019039,1.7119615030837236,0.012525419061235039,0.0046449933436768275,0.019039183869791407,67,150.2613432835821,-126
685,88.26367164179103,87.96361194029849,1.4535459056531523,0.941257249359887,1.7146705231184582,0.011351695280886014,0.005202707413882929,0.014815450392817914,67,176.2272835820895,-125
686,63.322388059701495,77.23182089552239,1.4347357465032784,0.875984956578088,1.6510989872045292,0.013341306491099979,0.0054817841002135605,0.016903001191336784,67,140.55420895522388,-124
687,83.56525373134329,80.09423880597015,1.4360395319011985,0.8239502020897898,1.6692311191441533,0.012893189257746492,0.005976169547185002,0.01590843775338676,67,163.65949253731344,-123
688,75.61846268656716,69.50841791044776,1.445325661612008,0.7729725132432775,1.7293472878731402,0.013427649477350399,0.006035250098180657,0.017090696463488708,67,145.12688059701492,-122
689,118.57070149253724,92.35859701492538,1.5518576190438598,0.8130527519675698,1.7605263807224263,0.015360354756719735,0.005375679594090034,0.0174987342314685,67,210.92929850746262,-121
690,66.18853731343283,78.79182089552238,1.5400407080442993,0.9339378572950532,1.9059117821941731,0.01752908812591085,0.005365379798069373,0.016779143969216977,67,144.9803582089552,-120
691,93.9477910447761,76.44655223880598,1.5643993732346586,0.9862196882294989,1.929288554679676,0.016702523571063853,0.00502775014974178,0.017986081452300365,67,170.3943432835821,-119
692,61.146970149253725,66.53253731343283,1.531611341338075,0.9280385597124529,1.772177318658187,0.018539147407078755,0.006471804902054257,0.019617568832660415,67,127.67950746268656,-118
693,97.55962686567159,100.33622388059699,1.5691676292702827,0.8983649718083776,1.7857914840343574,0.018865993184647743,0.006249777293591212,0.025981687540680868,67,197.8958507462686,-117
694,97.36825373134329,80.95531343283582,1.5775346843107398,0.9390633083670447,1.9128851096072534,0.017353986361671365,0.005816617842990383,0.026751063936953135,67,178.3235671641791,-116
695,94.1154328358209,67.51714925373133,1.4708291076723101,0.9190749502916971,1.8029123032216614,0.016596465627257813,0.006147324512234601,0.02136387044648951,67,161.63258208955222,-115
696,87.89095522388057,77.66497014925372,1.5130377212476647,0.874421614760398,1.865500695147487,0.017408697075425215,0.006609291421069251,0.025358675738994637,67,165.5559253731343,-114
697,64.49556716417909,82.21164179104477,1.496847971616831,0.916877358364014,1.8103380312646915,0.016233272414393308,0.007225911153400284,0.018220722557338677,67,146.70720895522385,-113
698,57.659149253731336,63.189298507462674,1.5145945238299978,0.8273011420425291,1.692650797114342,0.017791432496507775,0.007583726477659761,0.021889344166380494,67,120.84844776119401,-112
699,49.29676119402985,64.4850895522388,1.6434666095969144,0.9281794755402264,1.7887256951951132,0.01781526297796115,0.007348193362065549,0.022279062220241317,67,113.78185074626865,-111
700,45.34801492537313,64.53680597014926,1.6270805772787558,0.9040719137068719,1.6957391381393259,0.016754223618502262,0.006925207621793914,0.022365651204970773,67,109.88482089552238,-110
701,129.34100000000018,150.74440298507457,1.5587691906938486,0.9199687710846457,1.6997887626308144,0.016556086453200638,0.006833507233960323,0.021815253594599456,67,280.0854029850748,-109
702,76.67652238805971,85.07962686567164,1.476873938047618,0.7427289826028193,1.6871066884918546,0.016764462624249965,0.006220506559082368,0.021363019448373065,67,161.75614925373134,-108
703,78.53705970149252,93.85235820895521,1.6139341416966486,0.9089328388286446,1.8136358584776346,0.01731384783401016,0.0059912257255259355,0.022002769108711875,67,172.38941791044772,-107
