dt,slope,iv_hat,omega_bp,half_spread_bp
2026-05-04,0.011512480880386923,153069.85173680872,0.07586989152617435,2.3076854804021876
2026-05-05,-0.026848024313712446,148837.79652029913,0.0,2.1874613903025413
2026-05-06,-0.021348365861712786,221349.95788851968,0.0,2.4412075840176892
2026-05-07,-0.028581876684084614,161249.98516299797,0.0,1.9919097818091973
2026-05-08,-0.01974935151536126,135485.35576574315,0.0,1.942124684404671
2026-05-09,0.008402491543173718,30958.87732098589,0.06481701760793117,3.2845685438816568
2026-05-10,0.029537879092174552,85816.58043897615,0.12152752587824404,1.968465188455609
2026-05-11,-0.023776546189803165,408419.7559548988,0.0,1.957380460881412
2026-05-12,-0.08947168589034454,297104.82053640194,0.0,1.5401201293701494
2026-05-13,-0.07276360178078997,203726.95323378177,0.0,1.17239804764836
2026-05-14,-0.044604291693026286,178320.41602151498,0.0,1.007721667276014
2026-05-15,0.20860917883341476,725305.2143296258,0.3229622105087643,1.2039650582581969
2026-05-16,0.01681287617588746,504573.28044302255,0.09168662982105803,1.0465724751445382
2026-05-17,0.002621087342868781,32365.180624155728,0.036201431897569886,1.037380269027126
2026-05-18,-0.08926463494968087,422238.97756437707,0.0,1.10000412501525
2026-05-19,-0.08573687765529005,264768.9457065065,0.0,1.18926859981083
2026-05-20,-0.05176773105531765,183552.13734235862,0.0,0.8259798185597977
2026-05-21,-0.06752344884152349,208998.23530604344,0.0,0.9306406796335027
2026-05-22,-0.0376004736672451,118641.75322981538,0.0,0.7892140743169409
2026-05-23,-0.0016484064791455976,29210.008539787497,0.0,1.1166359044419716
2026-05-24,0.0027015296799911877,55586.82378502831,0.036752752822007684,1.1647922140108322
2026-05-25,0.0024648201871675813,22803.05302701963,0.03510569887616241,0.9454953450111082
2026-05-26,-0.058145474729974916,186751.70044997876,0.0,0.7688956096060984
2026-05-27,-0.014517101071960303,381044.6683488181,0.0,0.7460578834548987
2026-05-28,-0.07655390974727491,188064.6273209109,0.0,0.6599425849951304
2026-05-29,-0.05833806083665135,133254.19912607272,0.0,0.7789132602408174
2026-05-30,-0.012025004342523673,28595.295949851326,0.0,0.7733513438267345
2026-05-31,-0.005990358252117426,20755.06855368219,0.0,0.7135721421435012
2026-06-01,-0.07304802934678337,200054.0797144674,0.0,0.9620935154899243
2026-06-02,-0.0679531403151115,196377.9811501275,0.0,0.9553835865102012
2026-06-03,-0.0673185920710205,181570.63470161209,0.0,0.9387908374016406
2026-06-04,-0.09452640061024789,306786.9802661627,0.0,0.9896091044039855
2026-06-05,-0.10390114854262743,459689.9720122863,0.0,0.9224388681070951
2026-06-06,-0.04007439970919379,159964.72167437847,0.0,1.0890186795365053
2026-06-07,-0.024780096945852897,140617.13023570002,0.0,1.0055865921791267
2026-06-08,-0.15413088150958346,508304.22263537155,0.0,0.851598343641052
2026-06-09,-0.11770149355091199,1204365.0603607665,0.0,0.9217864220864742
2026-06-10,-0.1869597364399974,482774.92545431945,0.0,0.8959041698819461
