feat,q,side,h,dec,n,n_fill,n_touch,sum_pnl,sum_pnl_touch,sum_ret,sum_ret_fill,sum_retc,sum_retc_fill,sum_mmend_fill,sum_spr,sum_tau,sum_q,fill_rate,touch_rate,pnl,pnl_touch,ret,ret_fill,retc,spread,tau,q_ahead,per_order,adverse,pnl_micro
ai_net_10s,0,-1,0.5,0,113783,27771,38122,-19538.681947898764,-13103.217911519174,-33008.289155591294,-39302.99055420578,9339.698437517354,-29560.614207831637,-4267.076877781957,199449.76299018768,33530.90326434971,79872.467,0.2440698522626403,0.33504126275454155,-0.7915642197939852,-0.43171800827656404,-0.2900986013340419,-1.4152529816789379,0.08208342579750362,1.7528959773444863,0.2946916785842324,0.7019718850794935,-0.19319696218151008,-1.5800122084662283,-0.9452164785452709
ai_net_10s,0,-1,0.5,1,115145,14953,29498,-9599.411776326953,-2073.0305493555,-13016.138155565819,-18672.955483090234,7932.135102148035,-16273.121864329241,-2097.08265737957,191198.3274416353,178973.61815784802,275573.152,0.12986234747492292,0.25618133657562203,-0.7299722982897715,-0.1582769865535121,-0.11304127973916209,-1.248776532006302,0.06888822877370303,1.6605004771517244,1.5543325212371186,2.3932706761040428,-0.09479591624757439,-1.4722225368656336,-0.870217242941652
ai_net_10s,0,-1,0.5,2,119046,10550,27087,-6640.067723261262,1981.502515022543,-5135.24043735841,-12529.102099509038,3457.5991186692077,-11716.991464401457,-1478.1832658127491,190632.08240650428,521889.40750171046,541205.949,0.08862120524839137,0.22753389446096467,-0.7173903055223945,-0.014846734041328191,-0.04313660633165676,-1.1875926160672075,0.02904422759831668,1.6013312703199123,4.383930644471133,4.5461917998084775,-0.06357599350890632,-1.4300559406823505,-0.8575024634193376
ai_net_10s,0,-1,0.5,3,121977,7686,25365,-4597.941669059075,4815.452825544983,1669.5108650463999,-8565.67404634263,2827.4067944267676,-8291.614777958526,-1106.6555456711224,194898.6265763206,1220735.470756624,886176.88,0.06301187928871836,0.20794903957303426,-0.6862229598047196,0.10184635622097313,0.013687095641361896,-1.1144514762350548,0.02317983549707541,1.5978309564616329,10.007915186933799,7.265114570779737,-0.043240198308362024,-1.397138438035536,-0.8302062470374963
ai_net_10s,0,-1,0.5,4,123925,5838,23768,-3820.2129564990414,5514.306861846229,5205.771056100472,-6669.993812509913,606.4192394155743,-6691.248817304203,-806.4519931807013,197333.98278015986,2470513.4568651584,1232804.945,0.047109138591890254,0.19179342344159775,-0.7423701535626998,0.14400550579965624,0.04200743236716137,-1.1425134999160522,0.004893437477632232,1.5923662116615684,19.93555341428411,9.947992293726044,-0.03497241845066807,-1.450553259393484,-0.8805085559574756
ai_net_10s,0,-1,0.5,5,123136,4396,22459,-3003.6316909798134,6890.9210564883415,8379.001031743885,-5068.320019294852,-1297.4886664198502,-5095.852696269807,-575.7459447896007,190419.26254812075,5340134.365265377,1660934.948,0.035700363825363825,0.18239182692307693,-0.7712647158734789,0.21882225640003303,0.06804672095685976,-1.15293903987599,-0.010537037636595718,1.5464142293733818,43.367775185692054,13.488621913981289,-0.027534430962349053,-1.4564718305601698,-0.9022351309757538
ai_net_10s,0,-1,0.5,6,120088,3408,20105,-2229.074966407955,6762.3246402634095,11274.396577402798,-3801.123149715551,293.1452317606186,-3839.4166681309284,-388.25262404648345,178313.8609732284,10323598.73430999,2084951.249,0.02837918859503031,0.16741889281193792,-0.7420712929600807,0.2483503924527933,0.09388445621046898,-1.115353036888366,0.002441086801017742,1.4848599441511925,85.96694702476509,17.361861709746186,-0.021059381173872117,-1.396501265035677,-0.8559951849924995
ai_net_10s,0,-1,0.5,7,121861,2798,18889,-1774.12995056996,7446.199832593231,13497.841434827142,-3081.676613607307,781.859849474067,-3292.719448690793,-468.1998179728986,179069.53927927022,25973608.815493334,2756799.349,0.02296058624170161,0.15500447230861392,-0.7220707471658184,0.30620826050046224,0.1107642431526669,-1.10138549449868,0.006415997320505059,1.4694573266202495,213.14127420169976,22.6224907804794,-0.016579167662910694,-1.3687994104759431,-0.8894044919738594
ai_net_10s,0,-1,0.5,8,117404,2060,16138,-1163.358289143491,6822.595086031998,14313.239904799264,-2105.5464940493084,1297.2803075139707,-2240.423810096228,-286.24456553272285,164810.71712613766,73016017.04342788,3331767.688,0.017546250553643828,0.1374569861333515,-0.6527370335648014,0.3347658375283181,0.12191441437088399,-1.0221099485676255,0.011049711317450604,1.4037913284567618,621.9210337248124,28.378655650574085,-0.011453087536570226,-1.2666326977931823,-0.7916907061535018
ai_net_10s,0,-1,0.5,9,378130,7075,35274,-2735.394268373554,15689.562534439781,26864.53949837932,-6547.471256060539,6625.861625807845,-5823.5144104881,-1016.479327091,567282.4739597628,251117968310.2955,7711646.188,0.01871049639013038,0.09328537804458784,-0.47462816514113837,0.35679113609003177,0.07104577658048639,-0.9254376333654473,0.0175227081316157,1.5002313330329855,664104.8536489977,20.394166524740168,-0.008880528570527475,-1.1367438316576313,-0.6183001548359793
ai_net_10s,0,-1,1.0,0,113782,39610,51027,-38656.97410453866,-32604.246209599154,-42823.62356777466,-68014.25374512823,6673.744767657288,-50517.8765525228,-2635.420266145232,199449.25812072167,33530.78419949737,79872.138,0.3481218470408325,0.4484628500114254,-1.063939765325389,-0.7269606719893223,-0.37636553732378286,-1.717098049611922,0.05865378326674947,1.7529069459204591,0.2946932221221052,0.7019751630310594,-0.3703806762452643,-1.8523932382856185,-1.1304739805777302
ai_net_10s,0,-1,1.0,1,115144,23511,40855,-21639.948238124103,-14682.744887261035,-15205.797871137418,-36585.408202365354,9769.080370054182,-31306.613232646683,-1743.8559954850953,191198.21040934024,178971.82734152148,275572.801,0.20418779962481762,0.3548165775029528,-1.0084180272265792,-0.44738673081045244,-0.13205896851887566,-1.5560974948902793,0.08484228765766502,1.66051388182919,1.5543304674279292,2.3932884127700964,-0.20590665808139463,-1.7506749681411742,-1.0825899465615754
ai_net_10s,0,-1,1.0,2,119045,17263,38131,-15334.30101429206,-9158.477032284734,-5552.29776848055,-25481.7210633603,5229.1255054361945,-23154.95868014126,-1334.6948411409887,190631.49035771945,521888.1315485206,541205.611,0.145012390272586,0.32030744676382883,-0.9762755612751004,-0.32818454885223924,-0.046640327342438156,-1.4760888063117823,0.04392562060931744,1.60133974847931,4.383956752056118,4.5462271493972874,-0.1415720527052128,-1.6889454355147553,-1.0535909086157127
ai_net_10s,0,-1,1.0,3,121972,12905,35924,-11497.204377015318,-4518.415570445188,3338.2819088979154,-18521.626752017422,5233.624429265644,-17346.15752544827,-962.0612271485207,194895.84190456616,1220711.185725862,886166.256,0.105802971173712,0.29452661266520186,-0.9789108389783275,-0.21377707299981036,0.027369247933115102,-1.4352287293310673,0.04290840872713118,1.5978736259515804,10.008126338224034,7.265325287770964,-0.10357167527805822,-1.6898476519541177,-1.0534603335268375
ai_net_10s,0,-1,1.0,4,123924,9713,33660,-8553.459070449477,-2927.9393488687097,7544.839745381723,-13589.331579516193,2616.2096372033707,-13052.49717246924,-648.1154676631285,197332.04451946382,2470510.3941345313,1232804.447,0.07837868370937026,0.27161808850585845,-0.9686196922114153,-0.17498572040608168,0.06088279708032119,-1.3990869535175736,0.021111404063808226,1.5923634204791954,19.935689568885213,9.94806855007908,-0.07591913649050609,-1.6768014024510132,-1.0353462924032333
ai_net_10s,0,-1,1.0,5,123134,7439,31591,-6971.50799016311,-372.1211223807364,11233.703805006608,-10681.088798053135,167.48697009921543,-10628.464864214875,-693.369343418233,190414.10448585078,5340101.357773967,1660932.408,0.0604138580733185,0.2565578962756022,-1.0251566057485024,-0.09977933976071464,0.09123153479141917,-1.4358232017815749,0.0013602008389170775,1.546397457126795,43.36821152381931,13.488820374551302,-0.06193366568261495,-1.7103553343119,-1.1183639378385997
ai_net_10s,0,-1,1.0,6,120084,5714,28667,-5160.660433119842,1168.9728302926706,16287.310201656916,-7912.937923783634,2954.384126601362,-7732.415485091346,-350.0846016608872,178311.7257028691,10323253.640011018,2084897.061,0.04758335831584558,0.23872455947503415,-0.991160733832664,-0.047222352171742046,0.13563264216429263,-1.3848333783310525,0.02460264586956932,1.4848916233875378,85.96693681099079,17.361988782852002,-0.047162756346556096,-1.6456065455264328,-1.0524286025167535
ai_net_10s,0,-1,1.0,7,121861,4733,26711,-4173.9137226958765,2955.1598396331296,19373.64967558598,-6516.309089820291,4261.676254794437,-6471.958211079514,-313.23752245698165,179069.53927927022,25973608.815493334,2756799.349,0.038839333338804044,0.21919235850682334,-0.969874862179564,0.02263456402355321,0.15898154188449118,-1.3767819754532624,0.03497161729178685,1.4694573266202495,213.14127420169976,22.6224907804794,-0.03766929306911872,-1.6166035254896887,-1.036056464219915
ai_net_10s,0,-1,1.0,8,117402,3632,22798,-3371.010581331542,2639.2317495395687,19449.191703913326,-5151.408078606767,3373.855736536502,-5197.768835630541,-271.35038068696997,164808.00354357986,73015150.41247565,3331762.735,0.030936440605781844,0.19418749254697534,-1.0161416798820326,0.027765933395015735,0.16566320594123887,-1.4183392286912906,0.028737634252708658,1.403792129125397,621.924246711944,28.379096906355937,-0.03143580672672989,-1.630037744444731,-1.0908526877804274
ai_net_10s,0,-1,1.0,9,378128,11289,48670,-7217.738019881573,9633.795763857053,41043.37216464214,-13312.257739432365,16209.143369675703,-11953.433803963628,-1121.1603072607268,567277.1685720697,251116966836.9622,7711644.174,0.02985496974569458,0.128713028392502,-0.7273602639632892,0.10994114986351045,0.10854359413913316,-1.1792238231404346,0.042866815918619364,1.5002252374118545,664105.7177383378,20.394269067617312,-0.021715318674844424,-1.3894728826692164,-0.8266746680079988
ai_net_10s,0,-1,3.0,0,113779,58526,70433,-83151.5398692136,-70119.06374785704,-50942.44783865307,-128287.89362858786,4117.391690720816,-99138.6399825592,-1053.24737276427,199448.29005339494,33530.47225191424,79871.871,0.5143831462747959,0.6190333892897635,-1.5087623939653076,-1.08354276756431,-0.4477315483406698,-2.1919812327613,0.03618762417248188,1.752944656337241,0.2946982505727264,0.7019913252884978,-0.7760819471889681,-2.297234722133928,-1.5267586242350044
ai_net_10s,0,-1,3.0,1,115141,40568,61630,-58634.94110685133,-46422.51785580288,-18138.68720344079,-86261.58609813444,10437.908014047003,-75148.01332771279,-1054.832607790628,191196.02992351982,178969.90194969586,275570.493,0.3523332262182889,0.5352567721315604,-1.5333495638644088,-0.8412454625312814,-0.1575345637387272,-2.126345545704359,0.09065326872310474,1.6605382090091263,1.5543542434901196,2.393330724937251,-0.5402499987567534,-2.275618668368972,-1.5593511564445366
ai_net_10s,0,-1,3.0,2,119040,31827,59686,-47128.363747942036,-37443.743811738415,-4820.67780092426,-67183.38224851609,8656.300125324706,-61400.88226265174,-669.5486938890838,190626.82743871788,521876.63252702425,541200.458,0.26736391129032255,0.5013944892473118,-1.5687667624325898,-0.7153455050051672,-0.040496285290022346,-2.110892708974019,0.0727175749775261,1.6013678380268639,4.384044292061696,4.546374815188172,-0.4194316175062335,-2.281450681446022,-1.5898038910934464
ai_net_10s,0,-1,3.0,3,121967,25224,57681,-37986.70746968445,-31139.15373946164,4947.80806024699,-53008.26675606229,8137.369331251954,-49872.769623833876,-562.8203700993062,194886.1264914079,1220690.7193740348,886161.326,0.20681003878098175,0.47292300376331303,-1.5939747648939284,-0.6278511423078941,0.040566776753113466,-2.1015012193174076,0.06671779523356279,1.5978594742135814,10.008368815942303,7.2655827067977405,-0.32964998294361963,-2.304904502000719,-1.616287656191871
ai_net_10s,0,-1,3.0,4,123920,19866,55667,-30457.10722123915,-28063.338451103104,10151.042504372354,-41818.1878601689,5454.475208804323,-40216.98240884604,-456.10118799420894,197317.8301531693,2470342.6100013126,1232775.074,0.1603131052291801,0.44921723692704973,-1.621127314066201,-0.5921288097275423,0.08191609509661357,-2.1050129799742727,0.044016100781184016,1.5923001142121476,19.934979099429572,9.948152630729503,-0.259887953689793,-2.3292773711722745,-1.644086197988189
ai_net_10s,0,-1,3.0,5,123129,15345,53056,-24775.25300423235,-23879.556124106934,17368.331781255605,-33086.90558317672,6077.2944695772585,-32048.731509547713,-220.16952017819946,190406.71993079543,5340029.223412224,1660892.453,0.12462539288063738,0.4308976764206645,-1.702548908715044,-0.5380821042692049,0.141058010551987,-2.1562010806892618,0.049357133328275696,1.5464002788197373,43.369386768447924,13.489043629039463,-0.2121808266471128,-2.3877490481249124,-1.716896873536041
ai_net_10s,0,-1,3.0,6,120081,12136,49379,-19624.154323795305,-20190.442862976157,22899.425638173598,-26098.901936492515,9053.033592223319,-25524.63344073522,-248.87389762778153,178307.7424516988,10323126.757766584,2084868.392,0.10106511438112607,0.4112140971510897,-1.705019967352942,-0.4968872367398318,0.19069982460317284,-2.150535756138144,0.07539105763795537,1.4848955492684006,85.96802789589181,17.362183792606658,-0.17231803802262893,-2.3594677419871424,-1.7255270452721725
ai_net_10s,0,-1,3.0,7,121860,10187,47216,-15219.831362807234,-15771.791749120508,27275.842502109783,-20630.192897039593,10821.741185822562,-20347.67522904958,-283.4709642905597,179067.94179872525,25973586.825493336,2756792.752,0.08359592975545709,0.387461020843591,-1.582044504054897,-0.4220348981091263,0.22382933285827822,-2.0251490033414736,0.08880470364206929,1.469456276044028,213.1428428154713,22.622622287871327,-0.1322524812309801,-2.228772642076911,-1.6098712405122013
ai_net_10s,0,-1,3.0,8,117398,7960,41773,-11157.29178507543,-12092.242173723105,29512.683087644957,-15309.535575961605,11442.736471232822,-15159.066085065191,-245.989203646948,164798.10337053819,73011931.06196775,3331314.581,0.0678035400943798,0.355823778940016,-1.489669822245657,-0.37747507178615625,0.25138999887259544,-1.9233084894424126,0.09746960315535888,1.4037556293168383,621.9180144633448,28.37624645223939,-0.10100488752002104,-2.103547636904076,-1.520572988532962
ai_net_10s,0,-1,3.0,9,378121,23894,98585,-25371.000609859046,-15231.957170481326,67328.57519915742,-38710.12137951015,38863.49867758549,-35325.426849393596,-1145.829436742689,567259.2655351782,251113913990.62878,7711580.915,0.06319141227279099,0.2607234192229472,-1.149814707033525,-0.24250582918782093,0.1780609254687188,-1.6200770645145288,0.10278058790066008,1.5002056630950893,664109.9383282833,20.394479320111817,-0.07265841518947386,-1.8119175385810695,-1.1977694001256272
ai_net_10s,0,-1,5.0,0,113777,68199,79548,-113432.73360750293,-92832.71265044557,-52847.70896457044,-167551.84582946333,3076.6038404015635,-133068.33529781835,-1143.981645654941,199447.71710738025,33530.12239921319,79871.81,0.5994093709624968,0.6991571231443965,-1.7512609511503532,-1.255002472097923,-0.4644849922617967,-2.456807956560409,0.02704064828921103,1.7529704343354127,0.29470035595254923,0.7020031289276392,-1.049722225120217,-2.5397461683180595,-1.7680351215290235
ai_net_10s,0,-1,5.0,1,115137,50613,72003,-91589.7837149861,-69943.39878997247,-20122.5948014178,-127598.47042217018,10216.640805183924,-113142.23896759503,-957.7719733583834,191191.43263258916,178964.04650122533,275565.423,0.43958935876390737,0.6253680398134397,-1.8976098574474167,-1.0593956194876946,-0.1747708799205972,-2.5210611981540354,0.08873464485946242,1.660555969259136,1.5543573872970924,2.3933698376716435,-0.8341691004193796,-2.639887842076985,-1.916533295563284
ai_net_10s,0,-1,5.0,2,119039,41508,71015,-78580.00260494906,-58676.20171489953,-3814.490689550088,-106050.85265910788,10281.141431484917,-98693.07048241957,-879.927068697679,190624.89656403166,521871.35220082646,541199.9400000001,0.3486924453330421,0.5965691916094725,-1.9811290981244352,-0.9142508162345917,-0.032044041780845675,-2.5549497123231157,0.08636784105616577,1.6013650699689317,4.384036762748565,4.546408655986694,-0.6908047497454536,-2.693811633108901,-2.0023280734713005
ai_net_10s,0,-1,5.0,3,121965,34036,69509,-65424.61763098951,-50954.744379671945,8456.845623799234,-86889.47079311495,12641.319855606827,-82902.66530739352,-509.0239002185282,194885.69939825253,1220681.9280166056,886146.829,0.27906366580576397,0.5699094002377731,-2.010218169908024,-0.8210668601141139,0.06933829888737944,-2.552869631951902,0.10364711069246774,1.5978821743799658,10.008460853659702,7.265582986922478,-0.5609788515638873,-2.721159257098007,-2.025173625902222
ai_net_10s,0,-1,5.0,4,123919,27638,67812,-55124.93354570428,-48883.78566935529,11336.261953529902,-71908.4556422626,7033.069646511683,-69783.37557018033,-335.7226183936657,197316.63567599742,2470332.5785755767,1232762.9440000001,0.2230327875467039,0.5472284314753992,-2.082534103252923,-0.8088722006334467,0.0914812252643251,-2.6017966438332225,0.05675537767825501,1.5923033245587634,19.935059019000935,9.948135023684827,-0.4644733862095747,-2.7906857655323045,-2.094681241916852
ai_net_10s,0,-1,5.0,5,123129,21727,65165,-46077.12733378098,-43425.50261107909,19696.073032160744,-58522.941845991016,8308.992560534527,-57466.66410556589,-313.22873208901035,190406.71993079543,5340029.223412224,1660892.453,0.17645721154236613,0.5292416896100838,-2.208731225377686,-0.7543930424473121,0.1599629090804014,-2.6935583304639854,0.06748201122834203,1.5464002788197373,43.369386768447924,13.489043629039463,-0.3897465530766999,-2.8939313647875546,-2.2231477914976754
ai_net_10s,0,-1,5.0,6,120074,17494,61150,-36882.44856462511,-39102.120393631645,26158.80173802042,-46751.82502746866,12021.485920762663,-46160.7790431531,-262.8169126143831,178303.1647109203,10322697.097011913,2084786.068,0.14569348901510734,0.5092692839415693,-2.1962913321496007,-0.7274459590127824,0.21785567015357546,-2.6724491269846036,0.10011731033165101,1.48494399046355,85.9694613072931,17.36251035194963,-0.3199853470745133,-2.8507633273813755,-2.2113145922738937
ai_net_10s,0,-1,5.0,7,121857,14809,59247,-29862.55069861809,-34087.96305508474,31349.728130620722,-38259.929954828214,14675.678468946831,-37973.73553984485,-320.8565041390443,179065.39685810893,25973379.925193045,2756758.894,0.12152769229506717,0.48620103892267164,-2.1045136537658244,-0.6633534027897572,0.2572665347958732,-2.5835593189836055,0.12043361045279985,1.4694715679699069,213.14639228926566,22.622901384409595,-0.25575668774562066,-2.751249437750778,-2.126179971825048
ai_net_10s,0,-1,5.0,8,117387,11681,53282,-22263.978446521545,-27655.49358094706,36356.49737248345,-28612.86812409051,18574.21056982764,-28282.89201085175,-145.93136302857522,164773.5866466376,73007891.15394847,3330335.275,0.09950846345847496,0.45390034671641666,-1.9939993533534413,-0.6070400807204508,0.30971485234722285,-2.4495221405779053,0.1582305584930839,1.40367831741707,621.9418773283965,28.370562966938415,-0.1984198117893936,-2.607838512061976,-2.006492407289626
ai_net_10s,0,-1,5.0,9,378113,34649,133053,-48808.9235998433,-47603.60149771208,81651.1507754982,-68841.77681806068,52766.74002711911,-63926.125150842534,-1136.8634305589164,567241.2609908265,251110883409.65442,7711464.54,0.09163662714585323,0.351886869798182,-1.4966675979059512,-0.4457792420893334,0.2159437807626244,-1.9868330058027845,0.1395528321616001,1.5001897871557617,664115.9743506687,20.39460304194778,-0.13714957063058744,-2.1587624914838317,-1.5294784562441115
ai_net_10s,0,-1,10.0,0,113772,80227,89724,-160571.2772320108,-124746.04345826867,-57565.301557093866,-225795.4859977624,432.082072985001,-184535.25312893646,-976.186392501619,199443.3260347057,33528.72195609925,79870.791,0.7051559258868615,0.7886298913616707,-2.0894618174929986,-1.4783308307506207,-0.5059707270426279,-2.8144575516691686,0.0037977892010776027,1.7530088777089767,0.29470099810233846,0.7020250237316739,-1.4733963825195198,-2.877966256347487,-2.101629621256091
ai_net_10s,0,-1,10.0,1,115128,64963,84276,-146575.04860735306,-98431.18914187403,-18911.010575806013,-194980.7569482749,12290.067256899607,-175967.62908925032,-993.9739027007554,191176.44585590778,178951.19348987445,275557.122,0.5642675978041831,0.7320200125078173,-2.3442850947054947,-1.2559622803867534,-0.16426074087803152,-3.0014124493677157,0.1067513311870232,1.6605556064198785,1.55436725635705,2.3934848342714194,-1.3228041189576214,-3.086562897915434,-2.3595857104821794
ai_net_10s,0,-1,10.0,2,119034,56462,84530,-136673.27796808418,-85555.4380563857,240.72774668502933,-176101.93638372738,16262.059075024765,-165854.06249646892,-419.3464427497684,190614.06521775204,521860.4250184034,541187.412,0.47433506393131375,0.7101332392425693,-2.5086241006001235,-1.1001310547306957,0.0020223444283568506,-3.118946129852421,0.13661692520645163,1.6013413412785593,4.38412911452529,4.5464943797570445,-1.189928373137794,-3.2212947712394033,-2.516051156721936
ai_net_10s,0,-1,10.0,3,121959,49106,83895,-124564.43002112859,-79408.02456709139,12495.843296393536,-157739.85363125236,17324.416691938466,-152291.9213732736,-628.9869774011426,194881.03236960046,1220647.0514105055,886120.957,0.40264351134397625,0.6878951122918358,-2.6246437914130367,-1.0345167717634112,0.1024593781221028,-3.2122317767941264,0.14205115401026958,1.597922517974077,10.00866726859441,7.265728293934847,-1.056795792201712,-3.3356050504000754,-2.637452551593079
ai_net_10s,0,-1,10.0,4,123914,41708,82762,-114505.06151523959,-76367.78199951573,15101.094347103395,-141597.35006348637,11814.536983592721,-139261.4991434687,-358.3603855388162,197310.68494800082,2470272.9374217386,1232737.584,0.33658827896767113,0.6678987039398292,-2.8333980415085738,-1.0107396872902508,0.1218675399640347,-3.3949685926797346,0.09534465018958892,1.5923195518504836,19.93538209905046,9.948331778491534,-0.9536885704217408,-3.5415578174338154,-2.841990167372648
ai_net_10s,0,-1,10.0,5,123125,34285,80532,-99897.45629424318,-72040.97386306248,24627.77697913821,-121043.68038636804,14225.661802209908,-120028.8531960471,-51.37926713047136,190395.46867755393,5339935.018958089,1660874.207,0.27845685279187815,0.6540670050761421,-3.0017365114260808,-0.9825633271626493,0.20002255414528494,-3.5305142303155326,0.11553836996718707,1.5463591364674432,43.370030610827115,13.489333660913704,-0.835854101882178,-3.6869160796598024,-3.003235104604744
ai_net_10s,0,-1,10.0,6,120061,28564,76695,-84639.00581699048,-66091.73958740065,32730.528108760736,-101847.87878628059,19175.611837475328,-101177.518345227,20.083488550808326,178281.00919672073,10321355.360559333,2084725.805,0.23791239453277918,0.6388002765260993,-3.0511356188555694,-0.9497476965564984,0.2726158211972309,-3.565602814251526,0.15971557656087595,1.4849202421828964,85.9675944774684,17.36388839839748,-0.7259029811261816,-3.7055957399470176,-3.0504325139490156
ai_net_10s,0,-1,10.0,7,121848,24456,75163,-70076.61945064354,-58749.20272116075,40398.35154667521,-84782.93677213049,23846.856676648633,-84721.30052797962,-195.96865150648847,179051.82455645947,25972563.238002703,2756736.7060000002,0.20070908016545203,0.6168587092114766,-2.9534162353060003,-0.8696239735130417,0.3315471041516907,-3.4667540387688294,0.19570987358552158,1.469468719687311,213.15543331037605,22.624390273127176,-0.5927774559339796,-3.600150595149656,-2.9614293466695303
ai_net_10s,0,-1,10.0,8,117378,19514,69128,-53854.39249575485,-51550.77691864775,46151.463875973765,-65068.01572336791,27994.59431196487,-64763.9563556285,-128.48089728425552,164765.26780755428,73006113.15954329,3330269.591,0.16624921194772443,0.5889348941028132,-2.8477823355413987,-0.8337293270259193,0.3931866608391161,-3.334427371290761,0.23849950000822018,1.4037150727355576,621.9744173485942,28.37217869617816,-0.4734415690824077,-3.4616398719091777,-2.8543663725037978
