feat,q,side,h,dec,n,n_fill,n_touch,sum_pnl,sum_pnl_touch,sum_ret,sum_ret_fill,sum_retc,sum_retc_fill,sum_mmend_fill,sum_spr,sum_tau,sum_q,fill_rate,touch_rate,pnl,pnl_touch,ret,ret_fill,retc,spread,tau,q_ahead,per_order,adverse,pnl_micro
ai_net_10s,0,-1,0.1,0,113783,10948,18321,-2320.8422247899603,3886.9741656584583,-11981.310525839817,-10283.607589213614,6992.039015006055,-6246.269746381073,-2013.2666568597735,199449.76299018768,33530.90326434971,79872.467,0.09621823998312577,0.16101702363270437,-0.29998778085403366,0.1241594981528551,-0.10529965395392825,-0.93931380975645,0.06145064741662687,1.7528959773444863,0.2946916785842324,0.7019718850794935,-0.028864296290218753,-1.0884357695262767,-0.48388133738123257
ai_net_10s,0,-1,0.1,1,115145,4971,14117,-984.1981307343516,6319.6309035456325,-4578.553094084814,-4211.377328565469,4283.536414385178,-3148.218825301967,-647.1541330883301,191198.3274416353,178973.61815784802,275573.152,0.04317165313300621,0.12260193668852316,-0.28598795629337187,0.35966104013215505,-0.03976336874449445,-0.8471891628576682,0.03720123682648121,1.6605004771517244,1.5543325212371186,2.3932706761040428,-0.01234657284931479,-1.028238194869234,-0.41617386115926003
ai_net_10s,0,-1,0.1,2,119046,3277,13331,-755.5071984196642,6895.293811681615,-1738.6830263404108,-2723.1013366340217,1445.9180849944885,-2321.3983259944725,-500.68865511590843,190632.08240650428,521889.40750171046,541205.949,0.027527174369571427,0.11198192295415217,-0.3185484279583961,0.4292375524477995,-0.014605136051109746,-0.8309738592108702,0.012145877097882235,1.6013312703199123,4.383930644471133,4.5461917998084775,-0.008768738121563632,-1.0312140631183522,-0.47133715396264037
ai_net_10s,0,-1,0.1,3,121977,2460,12841,-583.5973240362822,7368.507059789963,198.2158668766587,-1932.4541341761403,372.485652528054,-1804.3866536708642,-409.10172200169904,194898.6265763206,1220735.470756624,886176.88,0.020167736540495338,0.1052739450880084,-0.3252346845675944,0.48582657579549593,0.0016250265777700609,-0.7855504610472115,0.0030537367907724736,1.5978309564616329,10.007915186933799,7.265114570779737,-0.006559247432190349,-1.0361501627984109,-0.4915361975764152
ai_net_10s,0,-1,0.1,4,123925,1777,12282,-500.5834655814703,7468.586364654194,1443.934858247591,-1454.2676512414055,-740.3915492833324,-1370.6932375383562,-218.5716350153033,197333.98278015986,2470513.4568651584,1232804.945,0.014339318135969337,0.099108331652209,-0.36970144377122693,0.5200920342496494,0.011651683342728189,-0.8183835966468236,-0.005974513207854206,1.5923662116615684,19.93555341428411,9.947992293726044,-0.005301266617562803,-1.077884549602011,-0.49270180112367673
ai_net_10s,0,-1,0.1,5,123136,1363,11991,-436.387632832998,7655.746016080495,2447.9977753023263,-1141.1003144092647,-1790.5381052790315,-1133.4147623362867,-243.9926476324228,190419.26254812075,5340134.365265377,1660934.948,0.01106906185031185,0.09738013253638253,-0.4081670086815833,0.5504576779318234,0.01988043931346094,-0.837197589441867,-0.014541142357060742,1.5464142293733818,43.367775185692054,13.488621913981289,-0.004518025864353219,-1.093374123368274,-0.5871784889694944
ai_net_10s,0,-1,0.1,6,120088,1054,10962,-298.77014689419184,6981.8197528692335,3152.9339225146914,-847.2628165858698,-1345.8708125683129,-836.027014801326,-134.04636182530183,178313.8609732284,10323598.73430999,2084951.249,0.008776896942242356,0.09128305909000066,-0.3714631374707702,0.5489111250564891,0.02625519554422333,-0.8038546646924761,-0.011207371365734402,1.4848599441511925,85.96694702476509,17.361861709746186,-0.003260293675422955,-1.0258931095463666,-0.498641848879975
ai_net_10s,0,-1,0.1,7,121861,881,10517,-140.92587427596487,6903.1588823346,4204.883774329451,-626.3501005454319,-1069.9845366409288,-611.40923700985,-84.29566687221168,179069.53927927022,25973608.815493334,2756799.349,0.007229548419921058,0.08630324714223582,-0.24796126478543118,0.568380990998821,0.034505574173274885,-0.7109535761015119,-0.008780368917380694,1.4694573266202495,213.14127420169976,22.6224907804794,-0.001792647970031141,-0.8946899280955559,-0.3436430660024705
ai_net_10s,0,-1,0.1,8,117404,597,9294,-112.21724741096708,6197.085819399953,4385.982369637196,-424.7674640504595,-753.0401660955288,-456.91893972215956,-77.0356554933116,164810.71712613766,73016017.04342788,3331767.688,0.005085005621614255,0.07916254982794453,-0.27596858862808554,0.5787834968151445,0.0373580318356887,-0.7115032898667664,-0.0064140929278008315,1.4037913284567618,621.9210337248124,28.378655650574085,-0.0014033018245627668,-0.8898642528564664,-0.405006537528105
ai_net_10s,0,-1,0.1,9,378130,2969,22580,39.62727538969342,14780.253976771728,6893.235462874881,-1743.4338389423322,-394.9280546950895,-1022.975700232962,-282.736737719782,567282.4739597628,251117968310.2955,7711646.188,0.007851797001031391,0.05971491286065639,-0.07465298909070615,0.5665728067657985,0.018229803144090343,-0.5872124752247666,-0.0010444240200330297,1.5002313330329855,664104.8536489977,20.394166524740168,-0.0005861601158604357,-0.736768655607199,-0.16988260772316893
