feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop,family,ab
ofi_0.25s,fwd_mid_60s,1691821,98,-0.8928953031859305,0.2868792850845941,1.3414692990972488,0.16512726042571269,8.123851238365017,0.8424242424242423,0.34917937535945,10,8 OFI,1.3414692990972488
ofi_pct,fwd_mid_3s,1674555,97,-0.499816184949748,0.28464660773935113,1.3343883600115205,0.11511787774528037,11.591495483995127,0.9878787878787878,0.20082350236331442,10,8 OFI,1.3343883600115205
signed_cnt,fwd_mid_10s,1691821,98,-0.6789120505061014,0.16665447201545544,1.3279912969178604,0.09469992991112507,14.023149733734407,0.9878787878787878,0.4127345623443615,10,12 攻撃的な約定フロー,1.3279912969178604
ofi_0.5s,fwd_mid_5s,1691821,98,-0.6704368890921921,0.3703283208432721,1.3222036731708313,0.09880824876100301,13.38151105550886,0.9878787878787878,0.2370303950595246,10,8 OFI,1.3222036731708313
aggr_imb,fwd_micro_60s,1691821,59,-0.6516018053689023,0.6214140623212786,1.3209420263009701,0.18253311905013211,7.236725221016893,0.9515151515151514,0.17958460144424263,10,12 攻撃的な約定フロー,1.3209420263009701
qa1,fwd_mid_5s,1691821,97,0.5783015006670955,-0.5297537415512279,-1.3146512107100317,0.08710385002060732,-15.09291736701658,-0.9999999999999999,0.11747223849331578,10,3 板の厚み,1.3146512107100317
cum_a1,fwd_mid_5s,1691821,97,0.5783015006670955,-0.5297537415512279,-1.3146512107100317,0.08710385002060732,-15.09291736701658,-0.9999999999999999,0.11747223849331578,10,3 板の厚み,1.3146512107100317
ofi_per_event,fwd_mid_3s,1156819,97,-0.7590755698254377,0.7083262724432831,1.3077544094448763,0.0775106400943532,16.871934070637984,0.9999999999999999,0.1183305253457974,10,8 OFI,1.3077544094448763
obi1,fwd_mid_3s,1691821,98,-0.5643435185066404,0.5896016770556548,1.3068270670669655,0.07381363588939562,17.704412624046203,0.9999999999999999,0.11718083650693542,10,2 板の偏り OBI,1.3068270670669655
depth_ratio,fwd_mid_3s,1691821,98,-0.5643435185066404,0.5896016770556548,1.3068270670669655,0.07381363588939562,17.704412624046203,0.9999999999999999,0.11718083650693542,10,2 板の偏り OBI,1.3068270670669655
log_depth_ratio,fwd_mid_3s,1691821,98,-0.5643435185066404,0.5896016770556548,1.3068270670669655,0.07381363588939562,17.704412624046203,0.9999999999999999,0.11718083650693542,10,2 板の偏り OBI,1.3068270670669655
depth_diff,fwd_mid_5s,1691821,96,-0.5521232408420976,0.5331215954139094,1.3033607469952166,0.07622643882323021,17.098539130467866,0.9999999999999999,0.12269087568956763,10,2 板の偏り OBI,1.3033607469952166
ofi_1s,fwd_micro_30s,1691820,98,-0.6805285422714423,0.5016490496167426,1.2995038573819042,0.1447308645686953,8.978761104305471,0.9878787878787878,0.1673925122057902,10,8 OFI,1.2995038573819042
ofi_per_time,fwd_micro_30s,1691820,98,-0.6805285422714423,0.5016490496167426,1.2995038573819042,0.1447308645686953,8.978761104305471,0.9878787878787878,0.1673925122057902,10,8 OFI,1.2995038573819042
ofi_dollar,fwd_micro_30s,1691820,98,-0.6821962838109039,0.5079863659148479,1.2961058700115966,0.1485891801124486,8.72274730253398,0.9878787878787878,0.16786182927261764,10,8 OFI,1.2961058700115966
size_wgt_imb,fwd_micro_5s,1691821,41,-0.5986489389706265,0.14638389162878948,1.2944690551045979,0.15675236207476742,8.258051349090131,0.9757575757575757,0.44660516685866886,10,12 攻撃的な約定フロー,1.2944690551045979
trade_imb,fwd_micro_5s,1691821,41,-0.5986489389706265,0.1461229724444468,1.2942679319050947,0.15677779894087623,8.255428642630623,0.9757575757575757,0.44656674671847674,10,12 攻撃的な約定フロー,1.2942679319050947
d_bid,fwd_micro_60s,1691820,98,-0.9534081718536195,0.37747511272869455,1.28565586945067,0.17302175118672772,7.430602572408197,0.6484848484848483,0.2905072643661855,10,1 価格と最良気配,1.28565586945067
ofi_z,fwd_mid_5s,1691821,98,-0.6255611277176367,0.5896588246836754,1.2520180617038563,0.09434550843319689,13.270563511673386,0.9999999999999999,0.10985500239091488,10,8 OFI,1.2520180617038563
