dt,n_wallet,hhi,neff,top1,top5,top10,vol,n_orders
2026-05-04,297,0.525268820787103,1.9037870903921603,0.7195461047455297,0.8601137181841073,0.9300069401952155,224799238.57999998,1728366
2026-05-05,455,0.33539609193926295,2.981549350256265,0.5590384840250612,0.8061739544389007,0.9067741841640392,197606662.97,1538239
2026-05-06,415,0.3498560747246914,2.8583182406848864,0.5743365862622385,0.8124175685049954,0.9029049096091791,251853288.89000008,2070867
2026-05-07,289,0.4157691807799746,2.4051806777116576,0.6336653901418063,0.8421915173472061,0.920516584844803,250160120.83999994,2122366
2026-05-08,546,0.4272307058198949,2.3406557309145377,0.6431737125338982,0.8268108136801405,0.9066553025612513,272101230.46,2066006
2026-05-09,223,0.23236897534538575,4.3035004931860295,0.3369116174680418,0.8343264683200635,0.9339952303665972,9709660.280000001,164972
2026-05-10,278,0.2115765039728762,4.726422741762471,0.4205981531508876,0.7302417544601686,0.862053022529551,7036170.91,142957
2026-05-11,511,0.3786642534451441,2.6408619004879657,0.6015571404720521,0.8331296162026635,0.9135891594432699,265420617.73999998,2670677
2026-05-12,507,0.2898694603662732,3.4498287564906636,0.5173257487497657,0.7769866646525185,0.8798850752645456,276276635.09,3175212
2026-05-13,442,0.23539069439986163,4.248256298107033,0.4599372298138187,0.7234619047564379,0.8595562889937499,188243312.93,2481610
2026-05-14,422,0.20101298286117159,4.974803048868958,0.41881371272215906,0.6750731757589971,0.8225327247945222,232657877.18999997,2907561
2026-05-15,485,0.17368454752958973,5.757564586047215,0.3719197433019337,0.7045872468224283,0.8523681817054131,270590887.53,3340028
2026-05-16,193,0.14628563040932543,6.835941419549379,0.2230788895924924,0.7623798533510125,0.9045952883040825,7148802.17,191289
2026-05-17,187,0.11069300747875234,9.033994312531,0.1985534528219347,0.6953424322504101,0.8671494147518773,9832196.430000002,270792
2026-05-18,469,0.11945078379809236,8.371648709231577,0.2808108217026752,0.6154626030628821,0.800106391441943,283252576.05,3315795
2026-05-19,431,0.12368266957845608,8.085207114369943,0.27924805953363024,0.6473085887905062,0.797939990763489,299118939.40999997,3463791
2026-05-20,403,0.11569189813677294,8.643647620145215,0.2826246980127047,0.5962439800110206,0.7713587492594581,248419192.32000002,3029143
2026-05-21,341,0.11029793162993286,9.066353151164787,0.2694807138910839,0.6011578204341206,0.7614307802937103,252546434.13000003,3000397
2026-05-22,307,0.09062543653892892,11.034429605979792,0.18764693887725928,0.5906097987036248,0.7501619838314257,174899585.66000003,2258708
2026-05-23,191,0.11651816601281087,8.582352728501172,0.27677598322853836,0.6055518386297207,0.8209081985526294,12017771.85,278456
2026-05-24,249,0.11059257060152618,9.042198716974212,0.2359196191624599,0.6352459029475495,0.833002716683863,11654061.2,282899
2026-05-25,270,0.09920169570514206,10.080472847685058,0.17302290298892983,0.6335329558811089,0.873777041994034,16520264.72,410303
2026-05-26,441,0.11826788556138515,8.45538072531926,0.283160928023299,0.6053612007091055,0.7760338565144944,185970361.50999996,2870332
2026-05-27,305,0.10961846855013034,9.122550362420759,0.23920003942599904,0.6157268070250789,0.779310452014251,163065189.26000002,2207555
2026-05-28,388,0.0918026698032551,10.892929390214121,0.20526935832526666,0.5775074789778708,0.7453844178237494,168626007.02999997,2349554
2026-05-29,417,0.09948276689385303,10.051992231649413,0.23726168218312263,0.6086633042593091,0.7624004957720105,161426587.83999997,2285377
2026-05-30,245,0.08393310746264215,11.914249695152662,0.12888644834104965,0.5876759945759072,0.8315166384219275,7326497.100000001,204035
2026-05-31,204,0.0877398639630991,11.397327905825927,0.1375779479385434,0.5933984049951463,0.841092335926433,8473902.74,199788
2026-06-01,574,0.09775649143667973,10.229499701794582,0.23303825724709049,0.5719574911956345,0.7522689240012522,232418896.45000005,3124127
2026-06-02,440,0.1218905585046415,8.204080876058343,0.26947333404009133,0.6595397009580203,0.8024726346701697,243917252.82999998,2495008
2026-06-03,472,0.10197617654557796,9.806211939639185,0.23274524981621017,0.6177918436489538,0.7656552560415463,248613952.06,3116389
2026-06-04,396,0.09696160254981986,10.313360894444683,0.21936662786571648,0.6032596335885129,0.7605694078538447,245778517.20000002,3335069
2026-06-05,420,0.08075999993276702,12.382367518976022,0.19100574266725773,0.5395763735372946,0.7320860847576647,261117401.14999998,3784385
2026-06-06,272,0.5049440855471551,1.9804172949494092,0.7057222608895701,0.8432468802978055,0.928866116213984,116195984.39,632809
2026-06-07,207,0.7393738056426158,1.3524958449547246,0.8588235104960831,0.930152957841327,0.9717247639365731,233407332.30999994,765240
2026-06-08,554,0.30626541582877465,3.265141763701701,0.5422442211155724,0.7189695969048092,0.8369983325952851,582992725.8599999,4418568
2026-06-09,459,0.15469022305083605,6.464532665851602,0.3271039149292281,0.6745791801411246,0.8171435785667226,531130751.76000005,3972062
2026-06-10,364,0.11530365372645993,8.672752056689767,0.29048166236315237,0.5737334059709212,0.7657036487147274,507789494.49,4387154
2026-06-11,458,0.09060291685730089,11.037172253239866,0.20792305844603326,0.5822163172271723,0.7647720456426814,516909365.48,4853650
2026-06-12,423,0.08642668435951083,11.570500562537836,0.1554110002799441,0.5933882028832627,0.8027149524090906,405284297.55,4100928
2026-06-13,223,0.20509574351309592,4.875771592676409,0.42555291719832045,0.673851256193504,0.856178015009303,31548604.479999997,385837
2026-06-14,299,0.4034009912864703,2.478923011098558,0.6277565437013463,0.7841513030632672,0.89386411370342,56720783.140000015,499307
2026-06-15,440,0.10763139328391809,9.290969572066448,0.2365682281517927,0.6259549355130396,0.8063357687602525,318085940.99000007,2964056
2026-06-16,408,0.10383562140134259,9.630606399848348,0.2515114478706369,0.5932511505646694,0.7723705831656702,351644104.19,3198026
2026-06-17,341,0.08752682922892938,11.425068276887608,0.20146312633416025,0.5737886758490124,0.7646012946190288,369094727.77,3551612
2026-06-18,603,0.0771507890916727,12.961630227939372,0.18898561714208628,0.5236344832986322,0.7299325686881585,387037356.7900001,4151888
