cov,bin_lab,tbin,tau_end_s,n_risk,d_fill,d_cancel,d_cens,S,h_fill,h_cancel,cif_fill,cif_cancel
queue,先頭 0,6,0.17782794100389226,172784582.0,157550,11572107,2,0.7527773862735062,0.011715960055284459,0.8605416906853549,0.005860322188888886,0.24136229153760502
queue,先頭 0,7,0.31622776601683794,161054923.0,294041,21147288,37,0.6525597142134149,0.013191627986999237,0.9487355716717502,0.007234682169570182,0.3402056036170151
queue,先頭 0,8,0.5623413251903491,139613557.0,278734,34568104,40,0.48968408527980245,0.008111980097574103,1.0060336078801715,0.00853749694878147,0.5017784177714162
queue,先頭 0,9,1.0,104766679.0,268917,22274845,64,0.38431351373010336,0.005864887310633283,0.48579842771867615,0.009794427268992907,0.6058920590009038
queue,先頭 0,10,1.7782794100389228,82222853.0,206529,19628842,55,0.29160201812295966,0.0032274023019924613,0.3067374066414223,0.01075975393095692,0.6976382279460835
queue,先頭 0,11,3.1622776601683795,62387427.0,159792,16061112,55,0.215784651473805,0.0018506428269619865,0.18601295256228775,0.011506630224140193,0.7727087183020549
queue,先頭 0,12,5.623413251903491,46166468.0,118937,13100238,95,0.15399742519001208,0.0010467795651813122,0.11529684990719206,0.012062548980985115,0.8339400258290028
queue,先頭 0,13,10.0,32947198.0,90593,10163139,97,0.10607071982849264,0.0006282626676907996,0.07048139282563118,0.012485987395292816,0.8814432927762146
queue,先頭 0,14,17.78279410038923,22693369.0,68671,7548303,163,0.07046821335626323,0.00038881267618583995,0.042738213948997454,0.012806962591211099,0.9167248240525258
queue,先頭 0,15,31.622776601683793,15076232.0,51131,5365728,124,0.045149025808444744,0.0002450516999528817,0.025715921219705777,0.013045956328819464,0.9418050178627358
queue,先頭 0,16,56.2341325190349,9659249.0,33989,3535340,170,0.028465208540218397,0.00014297605386145223,0.01487154556646405,0.013204828280698864,0.9583299631790828
queue,先頭 0,17,100.0,6089750.0,23672,2500624,104,0.01666583654225739,0.0000888185452190471,0.009382468140412067,0.013315478827994321,0.9700186846297484
queue,先頭 0,18,177.82794100389228,3565350.0,18289,1409972,132,0.009989463954356657,0.00006591136240512811,0.005081369975016857,0.013400970330079805,0.9766095657155637
queue,先頭 0,19,316.22776601683796,2136957.0,15405,967302,240,0.00539542325111445,0.000052090049077783244,0.0032708087408658154,0.013472986909826817,0.9811315898390589
queue,先頭 0,20,562.3413251903492,1154010.0,12057,457247,280,0.00320098738447348,0.000042456758925783425,0.0016101207305745785,0.01352936468040642,0.9832696479351203
queue,先頭 0,21,1000.0,684426.0,9839,264774,614,0.0019160753317276626,0.00003286122638495611,0.0008843173447352749,0.013575401283505931,0.9845085233847666
queue,先頭 0,22,1778.2794100389228,409199.0,8116,149636,409,0.0011770318586963573,0.00002549699680401874,0.00047009223925162006,0.013613423475472576,0.9852095446658312
queue,先頭 0,23,3162.2776601683795,251038.0,6363,78482,150,0.0007791036061209082,0.00001831962944954491,0.00022595649197849815,0.01364326633564274,0.9855776300582365
queue,先頭 0,24,5623.413251903491,166043.0,5803,40871,454,0.0005598009953228714,0.000014219705277557432,0.0001001505384110029,0.01367053233063912,0.9857696666740382
queue,先頭 0,25,10000.0,118915.0,4866,22953,180,0.0004287418420395812,9.356830033652768e-6,0.00004413631725491821,0.013693456729067405,0.9858778014288933
queue,先頭 0,26,17782.794100389227,90916.0,4742,15608,271,0.0003326320333746644,6.7117139409466176e-6,0.000022091191731399155,0.013715852439764656,0.9859515155268609
queue,先頭 0,27,31622.776601683792,70295.0,4242,10396,382,0.0002631771134765368,4.372122528002339e-6,0.000010714895285505024,0.01373598003712822,0.9860008428493955
queue,先頭 0,28,56234.13251903491,55275.0,3956,12453,642,0.00018459369361562597,2.9249701105428805e-6,9.20744509266696e-6,0.01375492549443639,0.9860604808119482
queue,先頭 0,29,100000.0,38224.0,2402,11221,1559,0.00011743510188317735,1.4657146417797636e-6,6.847120730812126e-6,0.013766766861047369,0.9861157980370696
queue,先頭 0,30,1000000.0,23042.0,3877,13676,5489,0.000015878834197235136,2.1223193879925005e-7,7.486417320140685e-7,0.013789197992467547,0.9861949231733353
queue,0-1,0,1e-9,56412318.0,41811,5541147,0,0.9010329977931416,741167.9130079356,98225834.2938505,0.0007411679130079356,0.0982258342938505
queue,0-1,1,0.01,50829360.0,6,575,1,0.9010226986239829,0.00001180420264788121,0.001131236087088616,0.0007412742727582834,0.09823602710325884
queue,0-1,2,0.017782794100389226,50828778.0,8,771,0,0.9010088895829269,0.000020222962532691914,0.0019489880140881831,0.0007414160857601421,0.09824969433131298
queue,0-1,3,0.03162277660168379,50827999.0,41,3063,0,0.9009538661382057,0.00005828345694342026,0.004354200697992592,0.0007421428773946682,0.09830399098439964
queue,0-1,4,0.056234132519034905,50824895.0,1492,153999,0,0.8981975354542033,0.0011927702323961068,0.12311355430212337,0.0007685910022413246,0.1010338735435553
queue,0-1,5,0.1,50669404.0,27950,2864885,3,0.8469173320321153,0.012603770545372176,1.29189099029977,0.0012640501921527309,0.151818617775732
queue,0-1,6,0.17782794100389226,47776566.0,28862,2904384,0,0.794920776304065,0.007762041319047077,0.7810944707358889,0.0017756760808177075,0.20330354761511735
queue,0-1,7,0.31622776601683794,44843320.0,57474,5916677,10,0.6890192221777096,0.009260579676816798,0.9533329641314227,0.0027944963151670154,0.30818628150712346
queue,0-1,8,0.5623413251903491,38869159.0,62517,8979780,6,0.528729751378811,0.006535178854708317,0.9386961686570477,0.0039027121640751797,0.46736753645711393
queue,0-1,9,1.0,29826856.0,58670,6232247,25,0.41721292321176956,0.0044944158319752785,0.4774213326330396,0.004942734200379318,0.5778443425878512
queue,0-1,10,1.7782794100389228,23535914.0,50730,5705712,11,0.31517046353280687,0.0027694807722831055,0.3114894475889017,0.005842007393701474,0.6789875290734918
queue,0-1,11,3.1622776601683795,17779461.0,43500,4782873,15,0.22961495331466525,0.0017678088686896543,0.1943725357980757,0.006613117437307544,0.7637719292480274
queue,0-1,12,5.623413251903491,12953073.0,35651,3889262,22,0.16003922556325612,0.001118313920402459,0.12199982706494372,0.007245091768984574,0.8327156826677595
queue,0-1,13,10.0,9028138.0,28087,2999146,16,0.10637628263714269,0.0007108402471400511,0.07590393006903891,0.007742982442733753,0.8858807349201238
queue,0-1,14,17.78279410038923,6000889.0,22076,2212821,40,0.06675868143023378,0.0004726837782085633,0.04738016809110578,0.008134319566656565,0.9251069990031099
queue,0-1,15,31.622776601683793,3765952.0,16165,1475184,14,0.04032162704088457,0.00031014600750675696,0.028303274230612296,0.008420875553353059,0.9512574974057626
queue,0-1,16,56.2341325190349,2274589.0,10359,900816,28,0.024169133269970004,0.00018504699229237432,0.016091639290360792,0.008604510621230145,0.9672263561088
queue,0-1,17,100.0,1363386.0,6590,588391,15,0.013621677019119616,0.00011044178888670894,0.009860842883890676,0.008721334077261689,0.9776569889036189
queue,0-1,18,177.82794100389228,768390.0,4951,321538,12,0.007833779680945807,0.00008279022679743828,0.005376732769944397,0.008809103894074195,0.9833571164249801
queue,0-1,19,316.22776601683796,441889.0,3816,203355,38,0.004160907636495576,0.0000623990974641547,0.003325253790572112,0.008876756604741335,0.9869623357587632
queue,0-1,20,562.3413251903492,234680.0,2921,95327,23,0.0024188721546545226,0.00005057562037105244,0.0016505382276998683,0.0089285488615044,0.9886525789838412
queue,0-1,21,1000.0,136409.0,2233,52931,120,0.001440246249518716,0.00003741977957648991,0.0008869979188370745,0.008968162951239885,0.9895915907992415
queue,0-1,22,1778.2794100389228,81125.0,1802,29246,145,0.0008885449996490996,0.000028566223566266923,0.00046362251632577273,0.009000183231202042,0.990111271769149
queue,0-1,23,3162.2776601683795,49932.0,1305,14700,10,0.0006037058801469497,0.000018885978875811876,0.0002127386126240878,0.009023408164094908,0.9903728859557583
queue,0-1,24,5623.413251903491,33917.0,1236,8273,37,0.0004343579970749157,0.000014815027041642915,0.00009916239378277657,0.009045420361326693,0.9905202216415986
queue,0-1,25,10000.0,24371.0,967,4660,18,0.000334032389590286,9.069388255608069e-6,0.00004370563523385067,0.009062661317864392,0.9906033062925456
queue,0-1,26,17782.794100389227,18726.0,991,3210,64,0.0002589671243357235,6.8113920029075265e-6,0.000022063136558358387,0.00908036892982994,0.9906606639458345
queue,0-1,27,31622.776601683792,14461.0,916,2269,67,0.00020179780941565563,4.5874236548137225e-6,0.000011363388944074604,0.009096810717103656,0.9907013914734809
queue,0-1,28,56234.13251903491,11209.0,889,2762,86,0.00013581502218866666,3.2349576269307534e-6,0.00001005056576555989,0.009112877191451723,0.9907513077863598
queue,0-1,29,100000.0,7472.0,679,2355,307,0.00007951075528692249,2.119884288479459e-6,7.3524705439898765e-6,0.009125477915652871,0.9907950113290603
queue,0-1,30,1000000.0,4131.0,788,2329,1014,0.000011123607320769787,2.415992151091489e-7,7.140667157223449e-7,0.009142766678115921,0.9908461097145634
queue,1-3,0,1e-9,47395000.0,15740,4549927,0,0.9036677497626332,332102.542462285,96000147.69490452,0.000332102542462285,0.09600014769490453
queue,1-3,1,0.01,42829333.0,8,369,0,0.9036597953370609,0.00001867878913734211,0.0008615591489599048,0.0003322713366388859,0.09600793332630025
queue,1-3,2,0.017782794100389226,42828956.0,8,499,0,0.9036490980061187,0.00002400031588620827,0.001497019703402241,0.0003324401308154868,0.09601846186306573
queue,1-3,3,0.03162277660168379,42828449.0,26,1944,0,0.9036075324401307,0.00004386371993073497,0.00327965659789803,0.00033298871188943975,0.09605947884797975
queue,1-3,4,0.056234132519034905,42826479.0,1101,135599,0,0.9007232619474627,0.0010445744714442688,0.1286496401029713,0.0003562190104441396,0.09892051904209305
queue,1-3,5,0.1,42689779.0,19940,2741318,5,0.8424627247240241,0.010672489393668326,1.4672360722002038,0.0007769385202600883,0.15676033675571577
queue,1-3,6,0.17782794100389226,39928516.0,20294,2706356,0,0.78493238754924,0.0065305377717440076,0.8708958353102407,0.0012051271996377376,0.21386248525112217
queue,1-3,7,0.31622776601683794,37201866.0,38770,5020548,5,0.6781844404440944,0.007530010210064011,0.9751038870290546,0.0020231461320840663,0.3197924134238214
queue,1-3,8,0.5623413251903491,32142543.0,46777,7837863,7,0.5118242134774876,0.0059131192564845685,0.9907907440619943,0.003010107152094741,0.48516567937041755
queue,1-3,9,1.0,24257896.0,46797,5528479,8,0.394189867771772,0.004407876455967488,0.5207353552879604,0.003997490462982018,0.6018126417652458
queue,1-3,10,1.7782794100389228,18682612.0,42536,4951027,12,0.28882919492559556,0.0029253891835795444,0.3405040632266852,0.00489497019442527,0.706275834879979
queue,1-3,11,3.1622776601683795,13689037.0,36606,4027937,10,0.2030701228136694,0.0019321640424889584,0.212605448200045,0.00566733171052417,0.7912625454758063
queue,1-3,12,5.623413251903491,9624484.0,30069,3126394,22,0.1364708057324325,0.0012694233588335956,0.13198701561465961,0.0063017680607413955,0.857227426206826
queue,1-3,13,10.0,6467999.0,23934,2283258,12,0.0877904266381103,0.0008454933662307093,0.0806584562711288,0.006806761226998694,0.9054028121348909
queue,1-3,14,17.78279410038923,4160795.0,18504,1593014,17,0.05378823672642072,0.0005714189608685711,0.04919360162824719,0.007197185983114297,0.9390145772904649
queue,1-3,15,31.622776601683793,2549260.0,13124,1038305,5,0.03160353708229932,0.0003719777601525969,0.029429013125208937,0.007474096738029226,0.9609223661796713
queue,1-3,16,56.2341325190349,1497826.0,8690,621869,10,0.018298946788080202,0.00023573513698921226,0.016869548205333075,0.00765745291827051,0.9740436002936491
queue,1-3,17,100.0,867257.0,4981,390439,10,0.00995561689210686,0.0001312307741059421,0.010286611566181474,0.007762551613864671,0.9822818314940283
queue,1-3,18,177.82794100389228,471827.0,3439,204127,8,0.005575907603184843,0.00009365210150072524,0.005558860867414522,0.007835115618781675,0.9865889767780333
queue,1-3,19,316.22776601683796,264253.0,2591,124452,30,0.002895066733849577,0.00007084946879738599,0.0034030714360371596,0.007889790482351078,0.9892151427837991
queue,1-3,20,562.3413251903492,137180.0,1744,57329,15,0.0016483133600414443,0.0000516587491108982,0.001698133272808878,0.00792659812516457,0.9904250885147937
queue,1-3,21,1000.0,78092.0,1425,31066,57,0.0009622648305608732,0.00004170914662636882,0.0009092886660314202,0.007956687046850878,0.991081048122588
queue,1-3,22,1778.2794100389228,45544.0,1172,16611,29,0.0005864215754874811,0.00003307494949553793,0.00046877814511124625,0.007981457237198177,0.9914321211873142
queue,1-3,23,3162.2776601683795,27732.0,870,8234,14,0.000393859554811628,0.0000226731654303014,0.00021458717718747327,0.00799985892414765,0.9916062815210406
queue,1-3,24,5623.413251903491,18614.0,651,4279,23,0.0002894796271018403,0.000014219166326576277,0.0000934620778977264,0.008013642155981132,0.9916968782169169
queue,1-3,25,10000.0,13661.0,578,2699,20,0.00021998840023108133,9.674484446544445e-6,0.00004517549052114785,0.008025899076680339,0.9917541125230884
queue,1-3,26,17782.794100389227,10364.0,465,1640,32,0.0001752381506672597,5.773790104133402e-6,0.000020363474775868344,0.00803578452373363,0.991788977325599
queue,1-3,27,31622.776601683792,8227.0,457,1365,19,0.00013638400883388615,4.018286944118888e-6,0.000012002104329808057,0.00804553004668525,0.9918180859444807
queue,1-3,28,56234.13251903491,6386.0,401,1353,43,0.00009879778030145841,2.560026970783583e-6,8.637696986209943e-6,0.008054123021395344,0.9918470791983031
queue,1-3,29,100000.0,4589.0,288,1346,167,0.00006296700169473707,1.4605416719732446e-6,6.8260037863749556e-6,0.008060438360586737,0.9918765946377184
queue,1-3,30,1000000.0,2788.0,476,1580,732,9.515244682193955e-6,2.1836865767501606e-7,7.248371410221121e-7,0.008072813378260848,0.9919176713770568
queue,3-10,0,1e-9,59544912.0,16167,5505403,0,0.9072704986111996,271509.3440729243,92457992.0447275,0.0002715093440729243,0.09245799204472752
queue,3-10,1,0.01,54023342.0,8,642,0,0.9072595824812034,0.000014808415221701907,0.001188375321541578,0.0002716436964421074,0.09246877382235447
queue,3-10,2,0.017782794100389226,54022692.0,6,729,0,0.9072472388572846,0.000014270509785172984,0.0017338669388985177,0.0002717444607189947,0.09248101668199628
queue,3-10,3,0.03162277660168379,54021957.0,20,3083,0,0.9071951269320878,0.000026750021890369308,0.004123515874400428,0.00027208034164195253,0.09253279272627023
queue,3-10,4,0.056234132519034905,54018854.0,1112,180801,0,0.9041400716151868,0.0008364189809616542,0.13599405411587054,0.0002907553209584053,0.09556917306385473
queue,3-10,5,0.1,53836941.0,19415,3614463,1,0.8431125562206065,0.00823989129842467,1.5340088705731612,0.0006168117299478584,0.15627063204944555
queue,3-10,6,0.17782794100389226,50203062.0,20348,3675557,0,0.7810433558977553,0.00520782019485209,0.9407135822650858,0.0009585369875422438,0.2179981071147024
queue,3-10,7,0.31622776601683794,46507157.0,38221,7076717,5,0.6615547500634753,0.005938089460347764,1.0994526211131013,0.001600422272219639,0.33684482766430507
queue,3-10,8,0.5623413251903491,39392214.0,47533,10123801,4,0.4907368654983199,0.004902858006826643,1.0442336648721853,0.0023986938172338456,0.5068644406844462
queue,3-10,9,1.0,29220876.0,48569,6648461,13,0.378266580849596,0.0037977859723190848,0.5198672388418645,0.0032143642345836064,0.6185190549158204
queue,3-10,10,1.7782794100389228,22523833.0,44944,5915391,10,0.27816834083603453,0.0025638580625566227,0.33744710992623894,0.003969156590914166,0.7178625025730513
queue,3-10,11,3.1622776601683795,16563488.0,40391,4884912,11,0.19545244074529314,0.0017619655440381274,0.2130931799078601,0.00464748600954387,0.799900073245163
queue,3-10,12,5.623413251903491,11638174.0,34362,3809493,8,0.13089840504887362,0.001199660047735825,0.1329985610333884,0.005224564430712298,0.8638770305204141
queue,3-10,13,10.0,7794311.0,27688,2788197,19,0.08360810516747341,0.0008116687846008803,0.0817354980575636,0.005689559919915945,0.9107023349126107
queue,3-10,14,17.78279410038923,4978407.0,22044,1925727,20,0.05089688454562368,0.0005689385152615063,0.0497015178814641,0.006059770867397993,0.9430433445869784
queue,3-10,15,31.622776601683793,3030616.0,16146,1247067,9,0.02968215404732955,0.00038494540528680063,0.029731990073999418,0.0063309310269478525,0.9639869149257226
queue,3-10,16,56.2341325190349,1767394.0,11154,735668,11,0.017139758501622,0.00025642660018124745,0.01691275274360211,0.006518255288842684,0.9763419862095354
queue,3-10,17,100.0,1020561.0,6543,466120,8,0.009201613280284867,0.0001464886961156951,0.010435780381086321,0.006628141791875942,0.9841702449278392
queue,3-10,18,177.82794100389228,547890.0,4335,238153,16,0.005129056048782981,0.00010166384437677028,0.005585132532839901,0.006700947603291603,0.9881699963479255
queue,3-10,19,316.22776601683796,305386.0,3314,144871,29,0.0026401231569155143,0.00007841307057268428,0.0034278153128953965,0.006756609941609575,0.9906032669014749
queue,3-10,20,562.3413251903492,157172.0,2293,66191,23,0.0014896674490359767,0.00005928230915640259,0.0017112757633543148,0.006795129813961771,0.9917152027370023
queue,3-10,21,1000.0,88665.0,1720,35892,85,0.0008574423132844332,0.00004434543391480163,0.000925375763994221,0.006824041523881282,0.9923185161628344
queue,3-10,22,1778.2794100389228,50968.0,1337,19187,42,0.0005120216597062105,0.00003371919908197,0.00048389698787266897,0.006846543346812196,0.9926414349934817
queue,3-10,23,3162.2776601683795,30402.0,910,9777,13,0.00033199581781250025,0.000021631994282091698,0.00023241319570990168,0.006861872580097803,0.9928061316020897
queue,3-10,24,5623.413251903491,19702.0,724,4948,22,0.00023636429688250678,0.000014939472149725384,0.00010210014944315084,0.006874079424447823,0.9928895562786697
queue,3-10,25,10000.0,14008.0,669,2882,17,0.0001764100400712077,0.000010918878964321838,0.00004703768187619662,0.006885374664607429,0.9929382152953214
queue,3-10,26,17782.794100389227,10440.0,565,1873,23,0.00013516847343232345,6.961311397710973e-6,0.000023077055306040092,0.006894932287721034,0.9929698992388467
queue,3-10,27,31622.776601683792,7979.0,518,1337,42,0.00010366086873051898,4.703165743508954e-6,0.000012139252121759598,0.006903730637713236,0.9929926084935563
queue,3-10,28,56234.13251903491,6082.0,424,1289,53,0.0000743369370757623,2.844987136631255e-6,8.649029290371904e-6,0.006910988867147922,0.9930146741957764
queue,3-10,29,100000.0,4316.0,341,1249,204,0.00004628859109795925,1.8489463375625642e-6,6.772240397699832e-6,0.006917004267134356,0.9930367071417677
queue,3-10,30,1000000.0,2522.0,472,1412,638,6.702705656036766e-6,2.3805921218540374e-7,7.121601856054874e-7,0.006926921750111313,0.9930663755442327
queue,10-30,0,1e-9,79287186.0,12651,6892773,0,0.9129061788117944,159559.20039840988,86934261.9878072,0.0001595592003984099,0.08693426198780721
queue,10-30,1,0.01,72381762.0,2,994,0,0.9128936168828088,2.7631272640199337e-6,0.001373274250217907,0.00015958442515540908,0.08694679869203581
queue,10-30,2,0.017782794100389226,72380766.0,4,1255,0,0.9128777378982778,7.100701815427838e-6,0.002227845194590484,0.00015963487466940748,0.08696262722705281
queue,10-30,3,0.03162277660168379,72379507.0,12,4436,0,0.9128216380387115,0.00001197926257478313,0.00442833406514483,0.00015978622321140265,0.08701857573807702
queue,10-30,4,0.056234132519034905,72375059.0,957,256874,0,0.9095697758777818,0.0005372636596158119,0.14421009958218606,0.00017185626943551761,0.09025836785278267
queue,10-30,5,0.1,72117228.0,15604,5026664,4,0.8459747816017164,0.004943805626599867,1.5925948324933987,0.0003686598290011186,0.1536565585692824
queue,10-30,6,0.17782794100389226,67074956.0,16578,5172151,0,0.7805325637556773,0.0031756760799556967,0.9907754984086703,0.0005777478518004664,0.2188896883925222
queue,10-30,7,0.31622776601683794,61886227.0,31217,9854079,4,0.655855457818714,0.003644698696126614,1.1504996919251897,0.000971468506805049,0.34317307367448086
queue,10-30,8,0.5623413251903491,52000927.0,43998,13127106,7,0.4897364764145108,0.0034378453630908717,1.0257048159666884,0.0015263880445918689,0.5087371355408973
queue,10-30,9,1.0,38829816.0,47730,8900238,14,0.37688126460057175,0.0028086048343664936,0.523722008669859,0.0021283771509319127,0.6209903582484964
queue,10-30,10,1.7782794100389228,29881834.0,46877,7813801,7,0.27773933735960527,0.002015659042892628,0.33598478240957097,0.002719608101146994,0.7195410545392478
queue,10-30,11,3.1622776601683795,22021149.0,43903,6470490,10,0.19557724827285974,0.0014405182999128428,0.21230574799906726,0.003273330020775636,0.8011494217063646
queue,10-30,12,5.623413251903491,15506746.0,39229,5066076,7,0.1311870964731718,0.0010279006041360084,0.13274420915646415,0.0037681018835634536,0.8650448016432647
queue,10-30,13,10.0,10401434.0,32358,3735420,18,0.08366631389044932,0.0007108096050758656,0.08205613495866523,0.004176214432342,0.9121574716772086
queue,10-30,14,17.78279410038923,6633638.0,25833,2578094,33,0.05082437774292929,0.0005003669486001276,0.049935858320144674,0.004502032220820281,0.9446735900362504
queue,10-30,15,31.622776601683793,4029678.0,19237,1667534,12,0.02954992005262135,0.00034493090375666815,0.029899880941153603,0.004744659549952957,0.9657054203974257
queue,10-30,16,56.2341325190349,2342895.0,13531,986946,28,0.01693126150168067,0.00023466273205397363,0.017116210535048484,0.00491532121319237,0.978153417285127
queue,10-30,17,100.0,1342390.0,8366,619250,19,0.009015226801654251,0.00014239891638173865,0.010540345322662164,0.005020840426055683,0.98596393277229
queue,10-30,18,177.82794100389228,714755.0,5707,319758,17,0.0049100779257935075,0.00010259360584220544,0.0057482260762032455,0.005092823848649625,0.9899970982255568
queue,10-30,19,316.22776601683796,389273.0,4157,190697,23,0.002452222925613505,0.0000771619210840928,0.0035397033593873575,0.005145259535039169,0.9924025175393473
queue,10-30,20,562.3413251903492,194396.0,2783,85964,21,0.0013326567646631165,0.000058171973726709285,0.0017968722779169374,0.005180367793638614,0.9934869754416982
queue,10-30,21,1000.0,105628.0,2055,45735,118,0.0007293767602749879,0.000044477449726863925,0.000989866746111008,0.005206309212534148,0.9940643140271908
queue,10-30,22,1778.2794100389228,57720.0,1619,23650,36,0.00040996631773593093,0.00003605125944314923,0.0005266289597470533,0.005226774031342599,0.9943632596509213
queue,10-30,23,3162.2776601683795,32415.0,1081,11783,6,0.0002472547691935696,0.000024098184367329182,0.0002626724388531358,0.005240447164425177,0.9945122980663811
queue,10-30,24,5623.413251903491,19545.0,813,5942,30,0.00016173475045815934,0.00001691425062020303,0.00012362174315528463,0.00525073995128408,0.9945875252982576
