cov,bin_lab,tbin,tau_end_s,n_risk,d_fill,d_cancel,d_cens,S,h_fill,h_cancel,cif_fill,cif_cancel
all,全体,0,1e-9,549920651.0,1026702,56435605,0,0.8955080030264221,1867000.262916113,102624996.71066181,0.0018670002629161129,0.1026249967106618
all,全体,1,0.01,492458344.0,55,6052,1,0.8954968977878843,0.000011168458454598312,0.0012289365557677998,0.0018671002773453871,0.1026360019347703
all,全体,2,0.017782794100389226,492452236.0,85,7832,0,0.8954825011653867,0.000022177841276850193,0.0020434923868269494,0.0018672548450998768,0.10265024398951339
all,全体,3,0.03162277660168379,492444319.0,348,32001,0,0.8954236763149163,0.00005106067730310085,0.0046953814206222135,0.0018678876636711995,0.10270843602141252
all,全体,4,0.056234132519034905,492411970.0,14800,1698897,0,0.8923074139953187,0.0012212303047891297,0.14018543926454988,0.0018948006373941185,0.10579778536728725
all,全体,5,0.1,490698273.0,252196,32022801,26,0.8336171322939394,0.01174324536212959,1.4911085398882171,0.00235340499555908,0.1640294627105016
all,全体,6,0.17782794100389226,458423250.0,254031,32162339,2,0.7746697698778171,0.007120074567926751,0.9014579006457428,0.0028153462129726884,0.22251488390921031
all,全体,7,0.31622776601683794,426006878.0,480439,60398416,62,0.6639649562688589,0.008148658809875501,1.0244091021772284,0.0036889978272396503,0.3323460459039016
all,全体,8,0.5623413251903491,365127961.0,512300,89125712,83,0.5009631819890165,0.005700904584507713,0.991796174386715,0.004620587083855061,0.4944162309271285
all,全体,9,1.0,275489866.0,508467,60162062,143,0.39063713047062926,0.004217175899685626,0.49897829739548955,0.005545206620918925,0.6038176629084518
all,全体,10,1.7782794100389228,214819194.0,429628,53426948,97,0.2927018265355647,0.0025697096297156914,0.319559578895974,0.006326462168226907,0.7009717112962084
all,全体,11,3.1622776601683795,160962521.0,362305,44271146,108,0.21153823060058424,0.001626350572456087,0.19872870548401764,0.006985294859098673,0.7814764745403171
all,全体,12,5.623413251903491,116328962.0,293146,35469436,159,0.14650577128861328,0.0010239078566716912,0.12388855448177265,0.007518366137829807,0.845975862573557
all,全体,13,10.0,80566221.0,231690,26873289,181,0.09721662423001567,0.0006570815048128348,0.0762136526194061,0.007939683655987873,0.8948436921139965
all,全体,14,17.78279410038923,53461061.0,180463,19317410,291,0.06176049006176394,0.0004337267820843975,0.046427678125183336,0.008267848699446982,0.9299716612387892
all,全体,15,31.622776601683793,33962897.0,133363,13077528,185,0.03773682316133036,0.0002837241281628217,0.02782188635772207,0.008510365898994123,0.9537528109396756
all,全体,16,56.2341325190349,20751821.0,90183,8166645,269,0.022721828688012684,0.0001765776527704697,0.01599023103145485,0.00867436316847669,0.9686038081435107
all,全体,17,100.0,12494724.0,58070,5429871,167,0.01274186525873907,0.00010619217598893022,0.00992956460873409,0.008779964973659711,0.9784781697676013
all,全体,18,177.82794100389228,7006616.0,42621,2930799,206,0.007334479730782449,0.00007816028998839035,0.00537462987113593,0.008857474433671093,0.9838080458355465
all,全体,19,316.22776601683796,4032990.0,33822,1877052,373,0.0038591637078026083,0.00006059777564144736,0.0033630529230480174,0.008918986672850245,0.9872218496193472
all,全体,20,562.3413251903492,2121743.0,25005,869670,375,0.0022317270038001444,0.00004788912703892077,0.0016655763692036882,0.00896447140728854,0.9888038015889113
all,全体,21,1000.0,1226693.0,19692,484096,1189,0.0013147392709300142,0.000036696861683444205,0.000902133046592962,0.00900031450485275,0.9896849462242172
all,全体,22,1778.2794100389228,721716.0,16248,265957,704,0.0008003997752623559,0.00002894075818613629,0.0004737196716463718,0.009029927687204616,0.990169672537533
all,全体,23,3162.2776601683795,438807.0,12084,136477,211,0.0005293539935343453,0.00001990242776060848,0.0002247785198183187,0.00905197463913952,0.9904186713673261
all,全体,24,5623.413251903491,290035.0,10587,71343,607,0.000379663771068825,0.000014847100805282958,0.00010005069545209238,0.009071317619552585,0.9905490186093785
all,全体,25,10000.0,207498.0,8833,40366,277,0.0002895831243040752,9.733045473371643e-6,0.00004447912527772215,0.009087490353812896,0.9906229265218829
all,全体,26,17782.794100389227,158022.0,8303,27438,455,0.00022399154509344398,6.760948616677313e-6,0.00002234215441941372,0.009102727948793054,0.9906732805061134
all,全体,27,31622.776601683792,121826.0,7458,18661,643,0.000175841598661043,4.4350086926707955e-6,0.000011097036365504118,0.009116476648991869,0.9907076817523469
all,全体,28,56234.13251903491,95064.0,6898,21290,1065,0.00012340803965629348,2.9649071663467458e-6,9.150894979924938e-6,0.00912930787823888,0.9907472840821047
all,全体,29,100000.0,65811.0,4687,19189,2589,0.0000777377017608146,1.6599255642567454e-6,6.795884713574289e-6,0.009138273235657047,0.990783989062582
all,全体,30,1000000.0,39346.0,6937,22704,9705,0.000010936037160460752,2.234559490274335e-7,7.313455192041012e-7,0.009153907092387004,0.9908351568704524
queue,先頭 0,0,1e-9,213947625.0,926681,27389297,0,0.8676499540483331,4331345.113085504,128018700.8385814,0.004331345113085504,0.1280187008385814
queue,先頭 0,1,0.01,185631647.0,31,2375,0,0.8676387083053622,0.000016699740373472152,0.0012794155931289148,0.004331490008360691,0.1280298016862772
queue,先頭 0,2,0.017782794100389226,185629241.0,58,3056,0,0.8676241533412676,0.000040146349732716594,0.002115297323847964,0.004331761102746525,0.12804408555598595
queue,先頭 0,3,0.03162277660168379,185626127.0,241,13705,0,0.867558969163598,0.00009380854460397485,0.00533463113608911,0.004332887546660076,0.12810814328974204
queue,先頭 0,4,0.056234132519034905,185612181.0,9559,662286,0,0.8644187379972085,0.0020925239948683685,0.14497848587356338,0.004377566705870186,0.13120369529692139
queue,先頭 0,5,0.1,184940336.0,159682,11996062,10,0.8076022889777832,0.01972826040833976,1.482079602025207,0.005123926962578445,0.1872737840596384
