feature,corr_two_versions,rel_level,r_real,r_l1,dr
best_bid,0.9999646980071097,-2.546790950182515e-6,-0.018536023039503816,-0.018736764209919782,-0.00020074117041596687
best_ask,0.9999593745593516,4.768707718811616e-6,-0.01861164152213672,-0.01924911433014843,-0.0006374728080117097
mid,0.9999810164816144,1.407044668640489e-6,-0.01857569039625901,-0.018994782873677663,-0.0004190924774186526
log_mid,0.9999810807433828,2.2325636368065886e-7,-0.01850283467255355,-0.018920678734789264,-0.00041784406223571366
spread_abs,0.8512462992819925,0.040622390983985755,-0.005052614102030913,-0.015590098113725798,-0.010537484011694884
tick,NaN,0.0,NaN,NaN,NaN
spread_tick,0.8512462990306846,0.04062239825396453,-0.0050526142472039825,-0.01559009836517207,-0.010537484117968086
spread_bp,0.851674092833101,0.036079793831810654,-0.004464356045982821,-0.014976557350967376,-0.010512201304984556
spread_rel,0.8516740940173394,0.03607978005265021,-0.004464356073135974,-0.014976557568630255,-0.010512201495494282
d_bid,0.8628908993101709,0.0,0.04000968240729232,0.018774406118732805,-0.021235276288559517
d_ask,0.8306604962918976,0.0,0.0401468883610772,0.00860553356189827,-0.03154135479917893
d_mid,0.875418041941575,0.14285714285714285,0.046093740922242686,0.016234032454925756,-0.02985970846731693
d_spread,0.7571534075221934,0.07142857142857142,0.0019464930847759047,-0.007555244562504729,-0.009501737647280633
t_since_mid_move,0.9860510535026299,-0.1357142857142857,-0.003324740664435947,-0.002077062082179835,0.0012476785822561117
t_since_bbo_chg,0.9860510557929218,-0.1357142857142857,-0.0033298586076141623,-0.0021103463119831333,0.001219512295631029
bbo_age,0.9860510557929218,-0.1357142857142857,-0.0033298586076141623,-0.0021103463119831333,0.001219512295631029
spread_duration,0.9860510341759289,-0.1357142857142857,-0.003345980337554447,-0.0023559555905208413,0.000990024747033606
obi1,0.9424682814686446,-0.00994589040794385,-0.09739903416544402,-0.10173468111347088,-0.004335646948026864
obi2,0.9467690335700942,-0.009101912985813167,-0.03851566103213648,-0.0448445046218076,-0.006328843589671118
obi3,0.9499756313457128,-0.007794456337892911,-0.0195168559403469,-0.026247016061697864,-0.006730160121350963
obi5,0.954711539593706,-0.00696122246104964,0.001742609294361316,-0.0049518564438177605,-0.006694465738179076
obi10,0.9621070847705363,-0.006111025045571219,0.029277594076580832,0.02374475352861515,-0.005532840547965684
obi_dw,0.9534291768298038,-0.009131443560483935,-0.005696311995792107,-0.01189481855852779,-0.006198506562735683
obi_ew,0.951489139796117,-0.009086456141025588,-0.012680973029236224,-0.019295572889222252,-0.006614599859986027
obi_notional,0.9621069963538796,-0.006100205645594635,0.02927770191788759,0.02374483391218588,-0.00553286800570171
depth_diff,0.7271194142139061,-0.054839605705928204,-0.02107051099235986,-0.02671698397544877,-0.0056464729830889085
depth_ratio,0.827204952855973,0.00168005352701295,-0.0024429431860088094,-0.006434008401495775,-0.003991065215486965
log_depth_ratio,0.933010311577296,-0.013204700507167608,-0.08316419496344159,-0.08804142557138492,-0.004877230607943331
obi_abs,0.9503285805563513,-0.00994589040794385,0.006072220416848598,0.005512579725276516,-0.0005596406915720819
obi_sign,0.9507813916953326,0.0,-0.09148232929442564,-0.0942135965586666,-0.002731267264240958
obi_near_deep,0.9738619393691914,0.028242651473508604,-0.12854622867324927,-0.12592437469059506,0.0026218539826542153
d_obi,0.9550735906971974,0.07450502155715381,-0.08069341081216758,-0.08221312244877987,-0.0015197116366122976
obi_vel,0.9550735906971974,0.07450502155715381,-0.08069341081216758,-0.08221312244877987,-0.0015197116366122976
obi_acc,0.9556959757687599,0.14149316914842766,-0.042680533069452985,-0.04280231319617346,-0.00012178012672047628
obi_persist,0.8948948654212151,-0.022186147186147188,-0.0010252502388716088,-0.0004587110564727665,0.0005665391823988424
obi_streak,0.8948948654212151,-0.019094304388422037,-0.0010252502388716088,-0.0004587110564727665,0.0005665391823988424
