window,day_type,n,median,mean,q25,q75,q99,max,share_ge_10,total_sz
開場後 2 時間,全曜日,1125358,0.67,5.638635367589691,0.144,2.893,84.01985999999987,6241.387,0.11126059440640224,6345483.42
開場後 2 時間,立会日,1063918,0.742,5.886930375273282,0.16,3.09,87.96132000000028,6241.387,0.11655127556822988,6263211.191
開場後 2 時間,休場日,61440,0.23,1.3390662272135418,0.047,0.95,16.75915000000001,1319.698,0.019645182291666667,82272.229
開場後 2 時間,全曜日(約定 1 件),2098878,0.57,3.023274063571108,0.183,2.184,34.85868999999994,1624.214,0.07424681186805522,6345483.42
昼 11 時から 2 時間,全曜日,479923,0.5,3.2406841785036353,0.09,2.0,45.07225999999949,3850.457,0.06404152332770048,1555278.8730000001
昼 11 時から 2 時間,立会日,410134,0.543,3.5382261017130987,0.1,2.22,49.9677499999996,3850.457,0.07081831791560807,1451146.824
昼 11 時から 2 時間,休場日,69789,0.22,1.4920983106220178,0.044,0.898,19.994599999999977,1096.647,0.02421585063548697,104132.049
昼 11 時から 2 時間,全曜日(約定 1 件),842802,0.457,1.845366851288915,0.122,1.491,20.778,785.782,0.03484211000923111,1555278.8730000001
閉場前 2 時間,全曜日,544849,0.443,3.925794109927705,0.075,2.0,56.59056000000005,4117.988,0.0746720651042766,2138964.995
閉場前 2 時間,立会日,489050,0.491,4.2298857928637155,0.083,2.184,60.765,4117.988,0.08092219609446887,2068625.6469999999
閉場前 2 時間,休場日,55799,0.22,1.2605843832326744,0.042,0.674,19.098639999999897,1014.6320000000001,0.019892829620602518,70339.348
閉場前 2 時間,全曜日(約定 1 件),908552,0.436,2.3542570981077584,0.11,1.616,29.985,1329.787,0.05120785601704691,2138964.995
深夜 11 時から 2 時間,全曜日,574551,0.484,2.9543659379237006,0.1,1.788,38.632999999999996,2523.362,0.06091191208439286,1697433.904
深夜 11 時から 2 時間,立会日,473485,0.515,3.2430677994023043,0.1,2.0,41.60831999999995,2523.362,0.06862730603926206,1535543.957
深夜 11 時から 2 時間,休場日,101066,0.29,1.6018240258840757,0.09,1.0,20.0,625.0,0.02476599449864445,161889.947
深夜 11 時から 2 時間,全曜日(約定 1 件),1036666,0.415,1.6373971018630882,0.13,1.292,18.921349999999975,1086.11,0.03210580842817262,1697433.904
