gap_s_lo,gap_s_hi,n
0.0,0.1,0
0.1,0.2,0
0.2,0.30000000000000004,0
0.30000000000000004,0.4,0
0.4,0.5,0
0.5,0.6000000000000001,0
0.6000000000000001,0.7000000000000001,0
0.7000000000000001,0.8,0
0.8,0.9,0
0.9,1.0,0
1.0,1.1,0
1.1,1.2000000000000002,0
1.2000000000000002,1.3,0
1.3,1.4000000000000001,0
1.4000000000000001,1.5,0
1.5,1.6,0
1.6,1.7000000000000002,0
1.7000000000000002,1.8,0
1.8,1.9000000000000001,0
1.9000000000000001,2.0,0
2.0,2.1,0
2.1,2.2,0
2.2,2.3000000000000003,0
2.3000000000000003,2.4000000000000004,0
2.4000000000000004,2.5,0
2.5,2.6,2
2.6,2.7,5
2.7,2.8000000000000003,7
2.8000000000000003,2.9000000000000004,75
2.9000000000000004,3.0,301
3.0,3.1,372
3.1,3.2,53
3.2,3.3000000000000003,14
3.3000000000000003,3.4000000000000004,7
3.4000000000000004,3.5,8
3.5,3.6,0
3.6,3.7,0
3.7,3.8000000000000003,1
3.8000000000000003,3.9000000000000004,0
3.9000000000000004,4.0,0
4.0,4.1000000000000005,0
4.1000000000000005,4.2,0
4.2,4.3,0
4.3,4.4,0
4.4,4.5,0
4.5,4.6000000000000005,0
4.6000000000000005,4.7,0
4.7,4.800000000000001,0
4.800000000000001,4.9,0
4.9,5.0,1
5.0,5.1000000000000005,1
5.1000000000000005,5.2,0
5.2,5.300000000000001,1
5.300000000000001,5.4,2
5.4,5.5,1
5.5,5.6000000000000005,5
5.6000000000000005,5.7,4
5.7,5.800000000000001,6
5.800000000000001,5.9,16
5.9,6.0,129
6.0,6.1000000000000005,128
6.1000000000000005,6.2,19
6.2,6.300000000000001,6
6.300000000000001,6.4,1
6.4,6.5,1
6.5,6.6000000000000005,0
6.6000000000000005,6.7,0
6.7,6.800000000000001,2
6.800000000000001,6.9,0
6.9,7.0,0
7.0,7.1000000000000005,0
7.1000000000000005,7.2,0
7.2,7.300000000000001,0
7.300000000000001,7.4,0
7.4,7.5,0
7.5,7.6000000000000005,0
7.6000000000000005,7.7,0
7.7,7.800000000000001,0
7.800000000000001,7.9,0
7.9,8.0,0
8.0,8.1,0
8.1,8.200000000000001,0
8.200000000000001,8.3,0
8.3,8.4,0
8.4,8.5,0
8.5,8.6,3
8.6,8.700000000000001,1
8.700000000000001,8.8,1
8.8,8.9,7
8.9,9.0,90
9.0,9.1,64
9.1,9.200000000000001,14
9.200000000000001,9.3,3
9.3,9.4,0
9.4,9.5,0
9.5,9.600000000000001,1
9.600000000000001,9.700000000000001,0
9.700000000000001,9.8,0
9.8,9.9,0
9.9,10.0,0
10.0,10.100000000000001,0
10.100000000000001,10.200000000000001,0
10.200000000000001,10.3,0
10.3,10.4,0
10.4,10.5,0
10.5,10.600000000000001,0
10.600000000000001,10.700000000000001,0
10.700000000000001,10.8,0
10.8,10.9,0
10.9,11.0,0
11.0,11.100000000000001,0
11.100000000000001,11.200000000000001,0
11.200000000000001,11.3,0
11.3,11.4,0
11.4,11.5,2
11.5,11.600000000000001,1
11.600000000000001,11.700000000000001,0
11.700000000000001,11.8,1
11.8,11.9,10
11.9,12.0,48
