feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop
best_bid,fwd_mid_100ms,1692166,32,0.0005373184235038965,0.0006088144729557454,-0.013300456316180279,0.011507054687042467,-1.155852359957694,-0.05454545454545454,0.37295336273155233,10
best_bid,fwd_micro_100ms,1692166,32,-0.0006503220251690194,0.0009282307066528406,-0.015336812004130874,0.025743561186859925,-0.5957533183854578,-0.05454545454545454,0.37295336273155233,10
best_bid,fwd_mid_300ms,1692166,32,0.0005670592632803222,0.0009857634862485301,-0.02144086991911174,0.027318693352033723,-0.7848424389417434,-0.24848484848484845,0.37295336273155233,10
best_bid,fwd_micro_300ms,1692166,32,0.0011246862363368242,0.0011509340866537785,-0.08330238912373422,0.03453710648704451,-2.4119678107655735,-0.24848484848484845,0.37295336273155233,10
best_bid,fwd_mid_500ms,1692166,32,-0.0009674178152982454,0.0009285231602057297,-0.0894858455990829,0.0537249466750117,-1.665629305141854,-0.09090909090909088,0.37295336273155233,10
best_bid,fwd_micro_500ms,1692166,32,-0.0036197023336947357,0.0009489721025484779,-0.11323463055825475,0.0575055906489863,-1.969106469133377,0.0303030303030303,0.37295336273155233,10
best_bid,fwd_mid_1s,1692166,32,-0.00783582786537586,0.0028674479617058967,-0.20740741849834318,0.09639693607754937,-2.1515976226826146,0.43030303030303024,0.37295336273155233,10
best_bid,fwd_micro_1s,1692166,32,-0.008037171710250353,0.0029283591883724203,-0.23062718099853027,0.11498212308474909,-2.0057655469497937,0.4424242424242424,0.37295336273155233,10
best_bid,fwd_mid_3s,1692166,32,-0.005307458386288547,0.008813546154922709,-0.44101727445490824,0.17426275130870797,-2.530760424375731,0.6848484848484848,0.37295336273155233,10
best_bid,fwd_micro_3s,1692166,32,-0.004520433800215333,0.008085014922356679,-0.4405471219393655,0.17741074589924716,-2.4832042710059707,0.6363636363636362,0.37295336273155233,10
best_bid,fwd_mid_5s,1692166,32,-0.010376055217864341,0.007779184972780181,-0.8288578163359726,0.27565030951759123,-3.0069177784945573,0.6,0.37295336273155233,10
best_bid,fwd_micro_5s,1692166,32,-0.010135577213127814,0.007599386401356923,-0.8442068184548548,0.2832986135531708,-2.9799186373229816,0.6,0.37295336273155233,10
best_bid,fwd_mid_10s,1692166,32,-0.016298485949438987,0.013088468476291689,-1.6169712986795588,0.47346229771209786,-3.4152060396217734,0.6,0.37295336273155233,10
best_bid,fwd_micro_10s,1692166,32,-0.01617853716996779,0.012814115881388,-1.6357516226143904,0.48281750891118697,-3.3879293779200594,0.6,0.37295336273155233,10
best_bid,fwd_mid_30s,1692166,32,-0.03806737040834537,0.03953040117076835,-4.56280856543663,1.4014475876458496,-3.2557825249114254,0.6969696969696969,0.37295336273155233,10
best_bid,fwd_micro_30s,1692166,32,-0.03765745736797613,0.0391771553054287,-4.61638359490712,1.432014280486151,-3.223699412648256,0.6969696969696969,0.37295336273155233,10
best_bid,fwd_mid_60s,1692166,32,-0.07960338349286661,0.07155572245027382,-8.561458639082048,2.4764308366866383,-3.457176559203617,0.709090909090909,0.37295336273155233,10
best_bid,fwd_micro_60s,1692166,32,-0.07920933192793554,0.0709758996551891,-8.605126828798426,2.4979363333760496,-3.4448943769388594,0.709090909090909,0.37295336273155233,10
best_ask,fwd_mid_100ms,1692166,32,0.00042884788498386266,0.0005783867131799482,-0.012755747823796966,0.012268205284490841,-1.0397403310427535,-0.06666666666666665,0.37301718625714025,10
best_ask,fwd_micro_100ms,1692166,32,-0.0008417103812285286,0.0009237730935978015,-0.010844801337786864,0.025371668195154868,-0.42743745718138687,-0.1515151515151515,0.37301718625714025,10
best_ask,fwd_mid_300ms,1692166,32,0.000383495045272739,0.0009548610069311377,-0.005270807263478738,0.030555904293350176,-0.17249717805359843,-0.24848484848484845,0.37301718625714025,10
