n_open,n_term,n_same_day,n_no_wid,n_no_bbo,n_neg_approach,dt
1168524,1168175,1167552,0,10,12812,2026-05-04
1362666,1362826,1361965,0,1,16909,2026-05-05
1917798,1917533,1916856,0,1,25265,2026-05-06
2103767,2104116,2103032,0,6,27111,2026-05-07
2238003,2237817,2236998,0,3,27129,2026-05-08
306960,306823,306029,0,78,15579,2026-05-09
308608,308613,307992,0,8,16138,2026-05-10
2298291,2297781,2296761,0,1,62455,2026-05-11
3146651,3147007,3145183,0,1,63901,2026-05-12
2821353,2821366,2820206,0,2,51253,2026-05-13
3218518,3218640,3217503,0,21,51992,2026-05-14
4220558,4221202,4219335,0,0,63272,2026-05-15
444035,444224,443404,0,4,13248,2026-05-16
664088,664066,663459,0,11,15903,2026-05-17
4572456,4572964,4570926,0,2,68848,2026-05-18
5033239,5033175,5032114,0,10,74456,2026-05-19
4101058,4100970,4099205,0,17,60157,2026-05-20
4198751,4198835,4197721,0,5,86262,2026-05-21
2718649,2718917,2718006,0,24,45127,2026-05-22
632322,632478,631633,0,6,13433,2026-05-23
692734,692585,691857,0,0,12395,2026-05-24
910242,910268,909572,0,4,14599,2026-05-25
4265347,4265100,4264010,0,10,110330,2026-05-26
5542871,5542049,5540292,0,1,140198,2026-05-27
5031228,5031685,5030282,0,44,111914,2026-05-28
3166347,3166769,3165406,0,11,58648,2026-05-29
585947,585758,584998,0,4,13545,2026-05-30
627925,627987,627140,0,7,12611,2026-05-31
3252227,3252552,3251393,0,12,41863,2026-06-01
3232833,3232627,3231586,0,0,42916,2026-06-02
3044890,3045608,3044086,0,3,38633,2026-06-03
4990592,4990688,4989405,0,2,80043,2026-06-04
7544515,7544842,7543308,0,0,173634,2026-06-05
1542501,1542260,1541395,0,24,37055,2026-06-06
1797479,1797400,1796485,0,39,45224,2026-06-07
6383919,6383891,6382489,0,29,150809,2026-06-08
6475031,6475364,6472786,0,0,171742,2026-06-09
8464379,8464542,8463263,0,34,190985,2026-06-10
7014682,7014925,7013274,0,24,158565,2026-06-11
5371362,5372245,5370433,0,3,122860,2026-06-12
746612,746761,745776,0,10,14920,2026-06-13
768272,768152,767433,0,18,18176,2026-06-14
2958996,2959483,2958180,0,10,36765,2026-06-15
4115148,4115409,4114069,0,6,44658,2026-06-16
4620028,4620400,4619140,0,4,51687,2026-06-17
3710238,3710176,3708978,0,10,42370,2026-06-18
1702060,1702144,1700949,0,6,28329,2026-06-19
883234,883470,882625,0,10,9905,2026-06-20
777573,777572,776837,0,8,10548,2026-06-21
3754992,3754831,3753590,0,60,39592,2026-06-22
6385400,6384584,6382487,0,2,92985,2026-06-23
6799763,6800078,6796956,0,5,113764,2026-06-24
6043166,6043240,6040987,0,0,88416,2026-06-25
6661530,6662519,6660308,0,3,84486,2026-06-26
810757,810483,809301,0,0,12773,2026-06-27
1067433,1067936,1066566,0,8,17588,2026-06-28
5747994,5747339,5745783,0,1,74441,2026-06-29
4216500,4216540,4215048,0,4,43693,2026-06-30
5384318,5385153,5382743,0,10,62724,2026-07-01
9101333,9101314,9099007,0,11,167935,2026-07-02
2866073,2866145,2864763,0,0,58757,2026-07-03
687815,687622,686944,0,2,11167,2026-07-04
1114362,1114513,1113813,0,36,27535,2026-07-05
6281861,6282360,6280318,0,5,98417,2026-07-06
8867548,8867886,8865034,0,3,226743,2026-07-07
10613548,10613679,10610994,0,44,260028,2026-07-08
9754850,9754942,9752644,0,18,168050,2026-07-09
8933085,8933680,8931418,0,64,159507,2026-07-10
1479027,1479139,1478132,0,10,18087,2026-07-11
1706732,1706943,1706002,0,12,27623,2026-07-12
10324332,10324273,10322447,0,49,221984,2026-07-13
9638255,9638102,9636569,0,11,236600,2026-07-14
8632627,8632747,8630272,0,53,185929,2026-07-15
11127010,11126129,11123879,0,43,248470,2026-07-16
14427623,14427935,14425052,0,6,314971,2026-07-17
1041424,1041544,1040043,0,20,14738,2026-07-18
2162201,2162382,2161158,0,10,40670,2026-07-19
11768140,11768119,11766613,0,16,267135,2026-07-20
9576978,9577262,9574609,0,2,227741,2026-07-21
10803147,10802753,10800998,0,8,235664,2026-07-22
13670170,13669995,13668073,0,13,283574,2026-07-23
12475415,12475810,12473111,0,0,237083,2026-07-24
1275683,1276004,1274746,0,11,16138,2026-07-25
1936487,1936399,1935508,0,5,29884,2026-07-26
13878010,13878878,13876336,0,14,234897,2026-07-27
18208850,18208924,18206611,0,2,281764,2026-07-28
23378120,23376401,23373992,0,13,376333,2026-07-29
16315277,16315175,16310592,0,0,260329,2026-07-30
16721345,16722006,16718961,0,0,278959,2026-07-31
1506106,1505933,1504744,0,60,26279,2026-08-01
3455159,3455392,3454026,0,10,57602,2026-08-02
13987634,13987769,13985273,0,9,218988,2026-08-03
17709546,17709887,17707108,0,0,248634,2026-08-04
18400353,18400544,18398298,0,0,272502,2026-08-05
16460135,16460392,16457926,0,17,217734,2026-08-06
12770592,12770881,12768602,0,10,171728,2026-08-07
1074259,1074397,1073300,0,1,9863,2026-08-08
1222179,1222181,1221288,0,3,12577,2026-08-09
