dt,day_type,kappa_買い,kappa_売り,t_half_買い,t_half_売り,n_買い,n_売り,asym
2026-05-04,立会日,1.2952845460571232,1.2696755488868363,535.1312094414716,545.9246507248635,7858,9823,0.00998416982032868
2026-05-05,立会日,1.4895831356224225,1.326405062889195,465.329655561049,522.5757954191417,13274,13212,0.05794700163142544
2026-05-06,立会日,1.3256326039108821,1.284263503957705,522.8803052331559,539.7234910865109,17373,18432,0.015850860817200035
2026-05-07,立会日,1.6300003020293412,1.6365361123503075,425.2435902600637,423.54530115713953,14625,16033,-0.0020008380412338085
2026-05-08,立会日,1.6243755333647676,1.7030061589482601,426.71609276785665,407.0139012227754,15910,15943,-0.02363138132458513
2026-05-09,閉場日,1.2104320040852037,1.131641980549929,572.6444593505261,612.5145584079648,575,172,0.033641133479201044
2026-05-10,閉場日,1.1182460897892335,1.115412437873167,619.8555211959637,621.4267987558184,1518,587,0.0012686146431845435
2026-05-11,立会日,1.676072319703161,1.3460450114507982,413.55445848703255,514.9509689755987,16473,19824,0.10920400238939296
2026-05-12,立会日,1.7005833045644891,1.6300340485291562,407.5937821169262,425.23478648081925,22708,23798,0.021182035807806983
2026-05-13,立会日,1.655506858997903,1.643918080753989,418.691820530071,421.6433840175671,23446,23080,0.0035123630497820497
2026-05-14,立会日,1.5404408806189593,1.548861359786254,449.96676007525036,447.5204808877155,25634,25453,-0.0027256896580601705
2026-05-15,立会日,1.6916919435353102,1.687952721731178,409.73605342790796,410.64371972064976,30691,32468,0.0011063949540497827
2026-05-16,閉場日,1.2177445184315157,1.7107342792637856,569.2057488813299,405.1752449002432,455,913,-0.16834329182108151
2026-05-17,閉場日,1.2362505721353056,1.1560772939534174,560.6850480388475,599.5706951977229,774,1168,0.03351266325922355
2026-05-18,立会日,1.684432929988367,1.6376137509870856,411.50179932996457,423.2665853850732,29468,30839,0.014093474143335573
2026-05-19,立会日,1.734536960306586,1.624929094716546,399.6151115719952,426.57072410957016,30680,31067,0.032626573328863526
2026-05-20,立会日,1.370004634378372,1.3754661484033277,505.945135634125,503.9361974589969,22695,20899,-0.0019892814227737165
2026-05-21,立会日,1.5467864205593995,1.4846987017585425,448.12080798412154,466.8605468364289,22945,21644,0.020480957779988505
2026-05-22,立会日,1.3878621944992782,1.4215027067077484,499.43523301491774,487.6158007221099,20384,19317,-0.011974418913689978
2026-05-23,閉場日,1.117682118624289,1.1341140542639696,620.1648853984967,611.1794318045404,2152,2430,-0.007297257113020287
2026-05-24,閉場日,1.0427461584373527,1.161330202718593,664.7542609776043,596.8565519427516,1120,1814,-0.05380214876904169
2026-05-25,閉場日,0.8162489897979133,0.970736055772746,849.1859582350656,714.0428919251088,2727,2499,-0.08645123604014188
2026-05-26,立会日,1.6013785573586115,1.3711212927289758,432.8440501309413,505.5330887859029,23103,24022,0.07746249831529882
2026-05-27,立会日,1.5928151100271855,1.6616332957265356,435.1711483626715,417.14810507952876,27525,28484,-0.021145883148026758
2026-05-28,立会日,1.7097065702426821,1.6765584942387117,405.41879705268343,413.4345357832295,28940,27724,0.009788978527304693
