dt,n_ord,n_slot,n_ep,ep_child_mean,n_fill,n_canc,rf_after_fill,rf_after_canc,rf_fill_same_sz,rf_canc_same_sz,turnover_s,hid_max_med,hid_max_med_multi,n_ep_fill
2026-05-04,1167552,171818,463666,2.5180884516009368,8732,1158820,0.04466330737517178,0.19350028477244094,0.5435897435897435,0.46459470548360626,0.0820984365762321,0.9939024390243902,0.48717948717948717,14819
2026-05-05,1361965,255190,648588,2.099892381604347,9100,1352865,0.04043956043956044,0.16020741167817928,0.483695652173913,0.3938469772399061,0.07800220898766452,0.6666594235150023,0.22646017699115045,18112
2026-05-06,1916856,284391,968210,1.9797936398095455,14417,1902439,0.04113199694804744,0.13957241204580015,0.5025295109612141,0.3958904522310265,0.1038268714398207,0.36013351840926977,0.13070063694267517,32776
2026-05-07,2103032,268305,1032384,2.0370637282251565,16082,2086950,0.05434647431911454,0.1488502359903208,0.7505720823798627,0.5163934162366446,0.08452500302699588,1.0,0.46116504854368934,27032
2026-05-08,2236998,367470,943739,2.370356634620377,17714,2219284,0.05097662865530089,0.23103847907703565,0.7331118493909191,0.8163435659398526,0.0734414348651398,1.0,0.5001257154409854,29236
2026-05-09,306029,45675,134005,2.283713294280064,14848,291181,0.030576508620689655,0.23531411733595256,0.7687224669603524,0.9240210744465039,0.011103845527103686,1.0,1.0,16687
2026-05-10,307992,74437,177831,1.7319365015098604,16811,291181,0.02825530902385343,0.146070657082708,0.5031578947368421,0.7205699104224955,0.01058044790061696,1.0,1.0,19547
2026-05-11,2296761,473138,1603697,1.4321664254531872,49010,2247751,0.052540297898388086,0.06957665684499752,0.6388349514563106,0.6349917834146466,0.07351928755019571,1.0,0.7948717948717948,73088
2026-05-12,3145183,635845,1937246,1.6235330980164626,42638,3102545,0.07256437919226981,0.12994944473005227,0.5581771170006464,0.7338990113449776,0.09051357031129761,1.0,0.4943741423793503,61596
2026-05-13,2820206,471063,1695640,1.663210351253804,42364,2777842,0.0680766688697951,0.14260566295707244,0.579750346740638,0.7468546155865662,0.06678246549985288,1.0,0.6665719059383138,56902
2026-05-14,3217503,357012,1765681,1.822244788271494,40681,3176822,0.08370000737444999,0.1435673764535753,0.7336270190895742,0.7841293785409833,0.07077504333221633,1.0,0.4944973718791064,56677
