feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop,family,ab
obi_near_deep,fwd_micro_60s,345339,20,1.3597685617863289,-1.4018424229487223,-2.784511241692608,0.3456569073014379,-8.055708371145936,-0.9999999999999999,0.10667199476456467,10,2 板の偏り OBI,2.784511241692608
micro_slope,fwd_micro_60s,345339,20,-1.4018424229487223,1.3597685617863289,2.784511241692608,0.3456569073014379,8.055708371145936,0.9999999999999999,0.10667199476456467,10,4 マイクロプライス,2.784511241692608
delta1_bp,fwd_micro_10s,345339,20,1.1983626421173226,-1.1898142797400095,-2.6716272720592267,0.23933686012705369,-11.16262355343416,-0.9878787878787878,0.10856868178804016,10,4 マイクロプライス,2.6716272720592267
obi_x_spread,fwd_micro_10s,345339,20,1.1983626421173226,-1.1898142797400095,-2.6716272720592267,0.23933686012705369,-11.16262355343416,-0.9878787878787878,0.10856868178804016,10,4 マイクロプライス,2.6716272720592267
ofi_ewma,fwd_mid_60s,345339,20,-0.993184921739019,1.5654276723699583,2.6569529899349535,0.3471881053833483,7.6527765460204185,0.9999999999999999,0.140389588201738,10,8 OFI,2.6569529899349535
delta_disagree,fwd_micro_30s,345339,20,1.215231355610724,-1.1696948927007937,-2.6543060364616133,0.3586868194729363,-7.400065718505964,-0.9757575757575757,0.1516915262973484,10,4 マイクロプライス,2.6543060364616133
delta_disagree,fwd_micro_60s,345339,20,1.439519627739478,-0.9844845538396629,-2.64743472684654,0.3850732897370664,-6.875145063045652,-0.9757575757575757,0.1516915262973484,10,4 マイクロプライス,2.64743472684654
delta1,fwd_micro_10s,345339,20,1.1970692710816728,-1.182097379283293,-2.6303369227837505,0.2332493270276174,-11.276932526679106,-0.9878787878787878,0.10837466952762358,10,4 マイクロプライス,2.6303369227837505
delta1_bp,fwd_micro_30s,345339,20,1.1899693532517819,-1.07373602793807,-2.5889861601099406,0.24954983919287993,-10.374625639846169,-0.9636363636363635,0.10856868178804016,10,4 マイクロプライス,2.5889861601099406
obi_x_spread,fwd_micro_30s,345339,20,1.1899693532517819,-1.07373602793807,-2.5889861601099406,0.24954983919287993,-10.374625639846169,-0.9636363636363635,0.10856868178804016,10,4 マイクロプライス,2.5889861601099406
delta1,fwd_micro_30s,345339,20,1.1914946988938546,-1.0593049404251524,-2.5684157387112707,0.25581003508712946,-10.040324406493525,-0.9636363636363635,0.10837466952762358,10,4 マイクロプライス,2.5684157387112707
elast_asym,fwd_micro_60s,345339,20,-1.3213246092321755,1.2466225699169373,2.5629362755441147,0.3374532425487325,7.5949374680375,0.9999999999999999,0.10449152861391271,10,7 板の弾力性,2.5629362755441147
ofi_2s,fwd_mid_60s,345339,20,-0.8437591501174724,1.3618292856178416,2.560432349418851,0.40190107795525204,6.370802393577883,0.9878787878787878,0.1624693417192961,10,8 OFI,2.560432349418851
obi_notional,fwd_mid_60s,345339,20,-0.9338288310324097,1.4232279930331087,2.543793025261892,0.2980250933964375,8.535499465067192,0.9636363636363635,0.11222885338754093,10,2 板の偏り OBI,2.543793025261892
obi10,fwd_mid_60s,345339,20,-0.933748804468636,1.4217527641748593,2.542218654117773,0.2981006364247748,8.528055104502595,0.9636363636363635,0.11222306197678224,10,2 板の偏り OBI,2.542218654117773
depth_asym,fwd_mid_60s,345339,20,-0.933748804468636,1.4217527641748593,2.542218654117773,0.2981006364247748,8.528055104502595,0.9636363636363635,0.11222306197678224,10,3 板の厚み,2.542218654117773
obi_near_deep,fwd_micro_30s,345339,20,1.1944253127820474,-1.311593033775306,-2.539387983790231,0.30534985039343976,-8.316322999727227,-0.9999999999999999,0.10667199476456467,10,2 板の偏り OBI,2.539387983790231
micro_slope,fwd_micro_30s,345339,20,-1.311593033775306,1.1944253127820474,2.539387983790231,0.30534985039343976,8.316322999727227,0.9999999999999999,0.10667199476456467,10,4 マイクロプライス,2.539387983790231
delta1_bp,fwd_micro_5s,345339,20,1.1237219990586196,-1.1261648682246623,-2.5070051235010586,0.22773301217551187,-11.00852748379287,-0.9878787878787878,0.10856868178804016,10,4 マイクロプライス,2.5070051235010586
obi_x_spread,fwd_micro_5s,345339,20,1.1237219990586196,-1.1261648682246623,-2.5070051235010586,0.22773301217551187,-11.00852748379287,-0.9878787878787878,0.10856868178804016,10,4 マイクロプライス,2.5070051235010586
delta1,fwd_micro_5s,345339,20,1.1269940718976041,-1.1139656788156023,-2.476249759185161,0.22337609935815106,-11.08556271821568,-0.9878787878787878,0.10837466952762358,10,4 マイクロプライス,2.476249759185161
delta1,fwd_micro_60s,345339,20,1.2219028732971597,-0.9454421145087667,-2.46568321566854,0.3206054768092485,-7.690708344123373,-0.9393939393939393,0.10837466952762358,10,4 マイクロプライス,2.46568321566854
delta1_bp,fwd_micro_60s,345339,20,1.2027603103647047,-0.9596889679386326,-2.447520132672965,0.30573841715693234,-8.005275082642553,-0.9393939393939393,0.10856868178804016,10,4 マイクロプライス,2.447520132672965
obi_x_spread,fwd_micro_60s,345339,20,1.2027603103647047,-0.9596889679386326,-2.447520132672965,0.30573841715693234,-8.005275082642553,-0.9393939393939393,0.10856868178804016,10,4 マイクロプライス,2.447520132672965
elast_asym,fwd_micro_30s,345339,20,-1.2620661881716129,1.1061756234846656,2.369787193781428,0.2684965869707387,8.826135261226588,0.9999999999999999,0.10449152861391271,10,7 板の弾力性,2.369787193781428
obi_dw,fwd_mid_60s,345339,20,-0.9105550492166505,1.3174565102230142,2.3606159561196898,0.25286082062639176,9.335633532596809,0.9999999999999999,0.11133697613070055,10,2 板の偏り OBI,2.3606159561196898
delta1_bp,fwd_micro_3s,345339,20,1.0665190791201038,-1.0367349712395217,-2.3281430148724973,0.21259143352654356,-10.951255072946353,-0.9878787878787878,0.10856868178804016,10,4 マイクロプライス,2.3281430148724973
obi_x_spread,fwd_micro_3s,345339,20,1.0665190791201038,-1.0367349712395217,-2.3281430148724973,0.21259143352654356,-10.951255072946353,-0.9878787878787878,0.10856868178804016,10,4 マイクロプライス,2.3281430148724973
ofi_10s,fwd_mid_60s,345299,20,-0.8366601850571997,1.4145571054433845,2.3187391800374537,0.2866782792896129,8.088297396591313,0.9878787878787878,0.15205372734934072,10,8 OFI,2.3187391800374537
