d,buy_sz,sell_sz,buy_usd,sell_usd,n_buy,n_sell,volume_usd,net_usd,buy_share,z_hac
2026-06-25,6558.599,5585.374,4182863.6905,3549729.52141,9276,4427,7732593.21191,633134.16909,54.09393169755021,0.8970472102356009
2026-06-26,3706.709,5045.359,2172809.81419,2944991.25805,7853,8547,5117801.07224,-772181.44386,42.45592557271843,-1.806998470658115
2026-06-27,156.571,264.081,88820.80614,149066.2011,1427,759,237887.00724,-60245.394960000005,37.3373927271237,-0.8766742443390577
2026-06-28,546.819,459.571,313450.6493,260313.11738,1730,1214,573763.76668,53137.53191999998,54.63061062808763,0.5892126594352464
2026-06-29,3613.214,6452.792,1927447.98451,3429579.31034,14092,12147,5357027.29485,-1502131.3258299998,35.97980518715968,-3.356025455811509
2026-06-30,2982.952,2748.148,1677351.43473,1537303.55055,7589,8012,3214654.98528,140047.88418000005,52.17827239348054,0.51605022300782
2026-07-01,1931.576,1908.21,1046501.11446,1016144.20888,3823,3266,2062645.3233400001,30356.905579999904,50.73587313428282,0.11488984347999866
2026-07-02,3506.309,5972.617,1636839.85647,2781029.02675,12714,9007,4417868.88322,-1144189.1702800002,37.05043992335453,-4.171204841538245
2026-07-03,10270.456,9395.148,4899229.76775,4476132.47086,10569,10054,9375362.23861,423097.2968899999,52.25643173096599,0.6651632854837666
2026-07-04,387.501,507.407,205063.70958999998,267572.46222,1574,1694,472636.17180999997,-62508.75263,43.38722294671,-0.8705574125136234
2026-07-05,857.311,646.552,468599.20857,349307.21296,1613,1654,817906.4215299999,119291.99561000004,57.292521031125354,0.6706900603619093
2026-07-06,2791.202,3380.433,1405699.2902,1700870.86755,8380,8278,3106570.1577500002,-295171.57735000015,45.249236901770395,-1.0516216133443563
2026-07-07,5483.409,6012.766,2469608.23624,2698664.82595,12511,11097,5168273.06219,-229056.58970999997,47.78401230978167,-0.8879147001148705
2026-07-08,4784.42,6402.481,2173143.86772,2925111.87267,11096,8459,5098255.74039,-751968.00495,42.62524240405723,-2.1758033896659263
2026-07-09,3517.905,3019.277,1717642.5966100001,1475384.69004,5523,4540,3193027.28665,242257.9065700001,53.79354582378417,0.8305823002425898
2026-07-10,2057.833,2493.349,1016368.92399,1227785.26909,3662,3737,2244154.19308,-211416.34510000004,45.289620790052744,-1.0431482799256622
2026-07-11,194.873,201.62199999999999,96951.29321,100039.21164,661,649,196990.50485,-3087.9184299999906,49.216226580983864,-0.10971035843235169
2026-07-12,155.811,778.621,76216.76114,378643.55700000003,690,672,454860.31814000005,-302426.79586,16.756080515368563,-2.778862952337493
2026-07-13,4238.389,4727.341,1796403.17649,2013931.88015,4849,7953,3810335.05664,-217528.70366000012,47.14554362770633,-0.5575748920804333
