user,n,B,A_n,rate_per_s,n_days
0x4e60e3a4a32d63d245aa4e4ce304b4254b088f95,14612553,0.8646736635338657,0.8684845049501437,3.0990759678694504,50
0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,13981866,0.6111292386918474,0.6139610686697561,2.5400451597838867,68
0x388d9e1ccaec74527f73f8c87b5928ba28c06c03,13921845,0.4657555707632268,0.4677648722540061,2.1552324319669456,82
0x0aafd0eddbffd00ccea26e90436d50a4f8c22839,13413481,0.4428870355794224,0.4454768777882947,2.2306847214661527,76
0xd46ee4619bad797c572647408406eaf896110003,13335621,0.4578702887217355,0.45993988553649867,2.0697432377200458,76
0x99c641913b895b0180d6c8ece787a36dd8f99344,12910471,0.48259009048893453,0.48712671469829605,1.3504199847504494,93
0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,12661908,0.6938106637316299,0.6988756655273514,1.6883824808403283,81
0xfc667adba8d4837586078f4fdcdc29804337ca06,10773592,0.8156360974217907,0.8198026103471404,1.488619454515351,98
0xc42ec9d9156d9196f9a3887380ccfaaa518e4c8d,10111141,0.6717776487288458,0.6750962832103706,1.5727060610857733,75
0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,9832327,0.5231516201776332,0.5250908639811231,4.135401483441683,32
0xbeccae9ffcb69e9d42a1d4e744abf8056149562d,9612116,0.7563512615466486,0.7599513155024108,1.4643845948131125,85
0x2eddf3aa5c4df34f9263a98b564bec3b4ec78179,9586447,0.6181678927240724,0.6218225441126308,1.220858484759875,88
0xf9109ada2f73c62e9889b45453065f0d99260a2d,9508624,0.46056153102593533,0.4633017518522958,1.237992418722533,89
0xd0f9337179d095d744be87b33d569e5c1aa8ce0b,8525046,0.45091763025697573,0.4542490505836576,1.0354198495138311,96
0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,8269596,0.7939893897123207,0.7975305031408726,1.2172128102789932,72
0x1c1c270b573d55b68b3d14722b5d5d401511bed0,7864045,0.42048788555165956,0.4225430015470846,3.97642790845346,28
0x25773676902085225ae5751075e4161369334897,7799508,0.4401443905768093,0.44302243755030196,0.9019129775918443,59
0x44a3e107c375c1abfa28c1ac5e92bc85f0b435dd,7052529,0.45508049759737224,0.45751410645019186,1.1656925938181926,66
0x399965e15d4e61ec3529cc98b7f7ebb93b733336,7017704,0.4457496728631289,0.4476754588317948,2.021536986407136,43
0x25ad068ba92b61ce2217c41270a9a69c247679af,6967414,0.45157388606144333,0.4564873117757351,1.696070950900659,47
0x98da633cc3814857680eb313de6770b7a801f13b,6810734,0.47356877898533517,0.47971320878582324,2.3864816695235116,41
0x35f13dc71426d4a429cf8bad69c4b39abbbf9896,6141699,0.45073569689026693,0.45318409410180727,0.6907338902791436,94
0x33ad48ed92e3e91a98278f0f7456eae6eafa516e,5474547,0.4100897305447869,0.4114921654842356,1.7379732134417094,42
0x0bfd7d7721f4c116e853c18ea7998e1cc2350a7d,5327293,0.5402701822696787,0.54469996167167,2.878061728156139,26
0xd2c555b02faa9814a6cc9f458dd41f7bc6d0d381,5052826,0.3848437971035914,0.386852897571728,2.247608542799336,28
0x5fa3968b8f255076d1e23ae755fd93222e509627,4734654,0.4785033612430212,0.4807325063774943,1.0183851682829768,60
0x847bd1ef4fede0fe191129894d63044843f4d473,4313628,0.551274767086483,0.5582340246148445,1.3993404814668666,58
0x2025137a136bea7446deba681cbfc7cf1970840e,4103394,0.5306349930485342,0.5331444909675819,1.243902080416337,49
