km,kd,keep_rate,posts_day,fill_per_post,daily
0,0,0.0,41732.48717948718,0.05097608884918409,157.72135302982252
1,1,0.12376325013606151,39837.205128205125,0.047942555953685864,164.95930100475078
1,2,0.1855898384405043,37901.333333333336,0.049348781451433954,137.73253233773656
1,5,0.2988373928193925,34630.02564102564,0.051599656737779796,65.53033803254341
1,999,0.6044070785539559,25481.20512820513,0.05474925208826616,-155.87426849673912
5,1,0.1265937782992404,38480.1282051282,0.05311232904096353,83.27673576752912
5,2,0.19749397987441117,36462.02564102564,0.05477212329793062,62.41495144380362
5,5,0.3414971437433763,32660.897435897437,0.058322702204078425,-6.037481094157481
5,999,0.8156609912503021,17482.153846153848,0.07465195276061742,50.66322513758899
60,1,0.12678990713159277,38333.92307692308,0.053927598438284895,78.18167224390231
60,2,0.19979836784193125,36307.794871794875,0.055524560665082864,55.06618655337393
60,5,0.3504167433842052,32385.25641025641,0.05919993666000277,-14.80695439167232
60,999,0.9487484953498269,8477.307692307691,0.0801476037082407,-74.76821672494846
