x,day_type,k,n,beta_ols,se_ols,t_ols,se_hac,t_hac,beta_gls,se_gls,t_gls,beta_nonoverlap,se_nonoverlap,t_nonoverlap,n_nonoverlap,r2,r2_nonoverlap,rho,dw,beta_placebo
BookSlope_z,立会日,1,14960188,0.014730768897535159,0.0004803075703358804,30.66944975952366,0.0005973099781854499,24.66184968529292,0.016154776830851644,0.00033213311985679666,48.63946371207116,0.014730768897535159,0.0004803075703358803,30.669449759523662,14960188,0.0000628706094632972,0.0000628706094632972,-0.43343364392235273,2.8668656694380683,0.00006927993952163792
BookSlope_z,立会日,2,14960120,0.027526804887270134,0.0005112910869488892,53.837834435048215,0.0011146209005823483,24.69611405356601,0.025139601946962055,0.0005431192749531393,46.28744201562561,0.028666411027207822,0.0009682087005521626,29.607677570816673,7480072,0.00019371177023365645,0.00011717963197732221,0.1194125302030923,1.761170815255134,-0.00014380035852066094
BookSlope_z,立会日,3,14960052,0.039749625894593306,0.0005414503269413968,73.41324571569713,0.0016112662387200499,24.669806230266097,0.03293548426578162,0.0005938816344100158,55.45799424914185,0.03963594037368131,0.0005504748965094387,72.00317512208605,4986708,0.0003601300613216183,0.0010385759207026096,0.21543764479757704,1.5691184072346749,-0.00029202496920199134
BookSlope_z,立会日,5,14959916,0.05513347260672899,0.0006010611114221144,91.72690024194519,0.0022718199056260932,24.26841690672426,0.035176418957133755,0.0006673739055795788,52.70871195748192,0.05296552054053632,0.0008760690045080738,60.45816056496289,2992010,0.0005621084951371113,0.001220160261040798,0.36328952775142687,1.2734107055658692,0.0003772380896058422
BookSlope_z,立会日,10,14959576,0.06972692783458569,0.0007431428401323616,93.82708689242916,0.0030306843138506743,23.006991363608325,0.022869077487435576,0.0007473138865675352,30.601702843332465,0.07207185339776011,0.0018817816704379913,38.29979562984325,1495986,0.0005881413814985822,0.000979580946806755,0.5824723783936435,0.8350258624423836,-0.00021891968761012063
BookSlope_z,立会日,20,14958896,0.08056406279814528,0.0009849909948182211,81.79167446400186,0.003826349967470701,21.055069056163685,0.011746864745436292,0.000771607054892033,15.223894948809107,0.09183408241981378,0.004168583755078952,22.030043730781287,747976,0.0004470175080475437,0.0006484291289834824,0.7619575491862939,0.47601244561613304,0.0031267225454910527
BookSlope_z,立会日,30,14958216,0.08581520804741705,0.001186601035559512,72.32018637751571,0.004414328049907712,19.440151950014485,0.008728223478698376,0.0007703886287044966,11.329636956578604,0.07651549373228075,0.005478150758116582,13.967394675824364,498637,0.0003495324528565288,0.0003910913128112082,0.8359094871343447,0.3281130575111141,0.008206753498376691
BookSlope_z,立会日,50,14956856,0.09528093367851632,0.001519421756167964,62.708680648892546,0.005359015792336125,17.779558294039113,0.006554623815763642,0.0007649000242708182,8.569255599138184,0.076828703016026,0.008946142820026941,8.587913759216582,299171,0.000262845717411094,0.00024646298758469786,0.8998676768521149,0.20020876560059078,0.001472280778369615
BookSlope_z,立会日,100,14953456,0.10769050830062053,0.002144449949987432,50.21824281851468,0.0074621962465839745,14.431476302960917,0.006311227725541642,0.0007582650030274732,8.323248073355927,0.08570974950402321,0.020131866245420134,4.257416995482056,149572,0.00016861968308704809,0.00012117004207908378,0.9496933831387678,0.10057846232907741,-0.002134573249011375
BookSlope_z,立会日,300,14939856,0.11904809118600346,0.0037420072218799223,31.813966175670732,0.015052515773026031,7.908850120545067,0.005560210807967344,0.0007533077532309108,7.381061437533058,0.1808229576969876,0.05911112762376279,3.0590341440939866,49839,0.0000677422871690063,0.00018773066535671668,0.9834367466175478,0.03310189764787032,-0.012974585797792827
