d,oi_mean,oi_halfgap,oi_min,oi_max,oi_close,covered_s,volume,volume_usd,n_trades,n_users,vwap,px_close,oi_mean_usd,oi_halfgap_usd,open_day
2026-05-04,58511.40561270241,1885.5317199917997,47970.397,69479.75250000015,68719.00200000012,86400.0,86186.655,48786577.78507,26112,708,566.0572136726968,578.38,33120803.229199316,1067318.8317100457,true
2026-05-05,73405.91534722224,2751.926298386298,67221.21299999948,84407.5249999995,67733.66499999957,86400.0,98361.94,62036579.57686,28066,1030,630.6969908976988,676.22,46296889.923584275,1735631.6355644811,true
2026-05-06,74704.2615772393,2757.77028943062,67644.40499999971,81909.83900000248,80440.13900000295,86400.0,90086.957,59558931.59462,55356,1033,661.1271329169216,659.6,49389014.27323597,1823236.7646947347,true
2026-05-07,77750.20053779133,2757.279287575262,72916.77000000299,81672.11600000298,77904.93850000383,86400.0,105665.194,69311094.01646,41560,783,655.9500947536234,644.8,51000251.40987744,1808637.6099471962,true
2026-05-08,78539.72380980093,2624.7063536448204,74087.67150000381,82327.30500000414,81501.73200000473,86400.0,104127.256,74262986.67331,42988,1160,713.1945037840045,757.99,56014099.34986374,1871926.1454664415,true
2026-05-09,83901.6474507954,2381.9724893369676,81411.90600000464,85988.80000000374,85929.5440000036,86400.0,12658.886,9701651.948689999,27768,671,766.3906562307299,771.89,64301438.64865443,1825521.4592265037,false
2026-05-10,86473.72231056703,2477.166503740435,85808.75850000448,88199.6955000041,85808.75850000448,86400.0,23507.494,18065978.37352,32053,759,768.5199610609282,756.98,66456781.70291048,1903751.9049960347,false
2026-05-11,86159.87865308241,2472.0320230149964,82061.59350000705,93260.17350000388,82134.67350000703,86400.0,189187.893,148712450.97177,104556,1643,786.0569120655622,799.27,67726568.15798551,1943157.858538353,true
2026-05-12,79911.56719179262,2454.3219333478846,73683.44150000709,87397.88750000726,83681.32550000769,86400.0,217709.788,164341725.34068,90798,1719,754.8660390991699,748.52,60322528.204275675,1852684.2765005347,true
2026-05-13,93498.92166964595,2454.3240975933854,83237.67750000775,102771.14150000851,102643.34150000851,86400.0,174193.979,139173315.41469,82805,1499,798.9559467763808,803.61,74701519.48514265,1960896.8330888096,true
