d,oi_mean,oi_halfgap,oi_min,oi_max,oi_close,covered_s,volume,volume_usd,n_trades,n_users,vwap,px_close,oi_mean_usd,oi_halfgap_usd,open_day
2026-05-14,94758.72086919592,2454.3284942948158,83655.93650000787,102978.10050000851,84075.70150000826,86400.0,186136.441,147417487.86309,80795,1074,791.9861746098928,778.11,75047596.8521211,1943794.2354326092,true
2026-05-15,82082.17131802675,2454.324425790413,76644.90150000848,87127.56650000866,83941.24050000819,86400.0,208400.698,155898353.04913,93197,1413,748.0702058355389,715.86,61403226.79330424,1836006.978388225,true
2026-05-16,83998.95103807533,2454.3227459818236,83277.07750000851,84433.04350000864,83418.85350000854,86400.0,14134.91,10090190.5098,25758,647,713.8489392433344,712.42,59962562.09608286,1752015.6887799124,false
2026-05-17,85069.10347113403,2454.3245312892927,83281.47850000864,87184.34250000834,87157.83450000835,86400.0,16291.878,11773704.16447,32469,666,722.6732341397351,722.12,61477164.13085219,1773674.6466553225,false
2026-05-18,87466.37815558501,2359.7245366019724,81237.2880000092,92817.6300000087,91740.40000000891,86400.0,211219.725,148017683.74048,89579,1481,700.7758567078903,689.55,61294326.08511639,1653637.9837318766,true
2026-05-19,96099.29847721913,2262.182924838218,90814.57550001243,106492.01650001133,94156.36550001231,86400.0,298192.261,205480928.07029,90769,1332,689.0887355064187,705.86,66220944.070720844,1558844.7711609795,true
2026-05-20,91921.6097297172,2561.1664344430474,86854.92250001246,96024.83200001207,86855.59150001245,86400.0,159987.232,115388180.75895,62212,1119,721.2336841914359,725.93,66296961.24217128,1847199.5033408029,true
2026-05-21,93064.53798464834,3018.2969439969993,86438.36550001253,104845.01150001379,87146.89700001378,86400.0,240832.987,180255577.41198,77262,1100,748.4671417208308,761.0,69655748.74093942,2259096.086538153,true
2026-05-22,84478.98490324298,3034.7617442160713,79615.69050001362,87449.72100001377,79724.13550001361,86400.0,115117.408,87501155.80882,49405,887,760.1035962243,744.75,64212780.230333336,2306733.315462565,true
2026-05-23,78894.67141176458,3060.5289060185305,78191.64250001451,79756.29350001492,79723.6245000149,86400.0,21903.426,16553265.47949,33715,604,755.7386446983226,772.19,59623752.04664645,2312959.967494484,false
2026-05-24,80383.61883169142,3048.9192994188847,79723.3365000149,83484.0545000157,82741.97550001516,86400.0,24370.977,18908590.84094,29923,673,775.8651136940468,775.6,62366845.563989185,2365550.1188876065,false
2026-05-25,82553.32879159636,3016.643092105341,82040.46750001502,83703.69450001586,83701.0975000159,86400.0,29945.845,23671976.57666,37013,821,790.4928572448031,789.72,65257816.75153867,2384634.8171661487,false
2026-05-26,87872.32713591303,2991.786887196031,80416.24150001559,100476.40850001728,92336.64750001891,86400.0,284806.598,243951895.65045,102554,2280,856.5528234372224,914.85,75267289.91026556,2562623.505350219,true
2026-05-27,104742.11881310213,2336.5019598191116,92245.37450001898,124477.90600001981,108650.10400002192,86400.0,409501.149,380605785.10025,169931,2865,929.437648782397,904.93,97351268.63813612,2171632.887909738,true
2026-05-28,112434.71892498255,3113.3578273610606,104035.503000022,123454.35850002056,116963.37400002017,86400.0,268413.067,247430704.32285,122983,1844,921.8280879106754,936.2,103645481.9613909,2869980.692977981,true
2026-05-29,111471.89632876895,3263.257853005185,93224.50600001973,119249.1940000192,93352.56700002006,86400.0,169283.472,162088534.57569,66729,1519,957.497696973571,964.95,106734084.01207294,3124561.8788833846,true
2026-05-30,92433.06465058775,3259.11512235112,91202.71700001982,93427.73800002021,91254.77500001973,86400.0,21648.702,21035215.54187,23489,679,971.661744056064,978.04,89813672.806837,3166757.483863182,false
2026-05-31,91216.7753537751,3315.0698145493056,90059.94650001779,92183.20400001793,91848.76550001712,86400.0,30364.97,30005312.37172,31208,904,988.1555085257783,988.67,90136359.03579131,3275804.4983944264,false
2026-06-01,86842.35553346184,3357.739683795107,83444.87150001626,92055.91450001713,83747.83800001605,86400.0,158737.682,162116816.33664,85918,1866,1021.2875373639386,1040.4,88691015.42165285,3429217.6927722744,true
2026-06-02,84484.04789336481,3335.818835170768,81958.8325000169,88645.28300001717,87413.686000017,86400.0,155706.535,162030342.0977,85979,1546,1040.6136267671745,1057.2,87915251.48228604,3471298.5363053046,true
2026-06-03,89205.12553409241,3347.378860343836,86432.30250002095,92086.90950001996,86437.59650002104,86400.0,137403.521,146626018.0454,75458,1518,1067.119801430707,1052.2,95192555.84654199,3572054.2647634605,true
2026-06-04,76758.98890442056,3291.89572488095,69953.95700002079,86444.50150002103,72675.26700002098,86400.0,243008.88,246168980.83258,101764,1791,1013.0040549653165,970.76,77757167.01521577,3334703.7178273927,true
2026-06-05,71061.16596460945,3152.106178633115,63965.603000020616,76129.3200000207,72889.83850002036,86400.0,369401.395,338666168.29531,164544,2338,916.797209970769,858.04,65148678.693623714,2889842.1501024626,true
2026-06-06,75510.60170246431,2993.536592169171,72392.76700002038,77364.88500002114,76633.73800002097,86400.0,70431.292,60618037.38558,78665,1102,860.6691097698449,877.47,64989642.34544529,2576444.4738456956,false
2026-06-07,78316.23477882921,2992.612372890121,75902.30400002058,81161.51050002081,80870.58550002084,86400.0,67086.716,59880155.36972,85769,1282,892.5784259542529,888.0,69903381.56555109,2671141.241285486,false
2026-06-08,83632.15242736806,2984.8616537344597,73196.35500002425,97269.56600002409,74577.84500002468,86400.0,312570.347,288145308.89963,148743,1958,921.857468775277,954.97,77096924.34492165,2751617.0087560364,true
2026-06-09,87772.87823883469,2403.6604828406817,73954.01700002467,112863.80550002439,107196.98900002532,86400.0,409553.861,378159014.64674,161271,2163,923.3437910300644,919.48,81044542.14266586,2219404.98257527,true
2026-06-10,107961.7812671002,1008.1406748859533,104998.879000026,112365.02000002663,110567.32150002745,86400.0,278587.76,253890284.44749,144225,1479,911.3475927567313,877.21,98390709.46750054,918766.57721746,true
2026-06-11,105289.90574197308,496.53720221707914,97978.71250002709,111461.82250002719,110856.19100002671,86400.0,221328.272,206971146.27845,103979,1518,935.1319847581425,999.32,98459958.53148903,464327.8194155124,true
2026-06-12,109321.89355114754,415.1114691313875,107846.4200000251,111009.1430000267,108837.2940000266,86400.0,134334.758,132598702.34124,86451,1555,987.076645801826,990.14,107909087.99917099,409746.83658407815,true
2026-06-13,109533.57467282048,362.3409759789613,108836.0250000266,110054.17000002628,109423.60200002548,86400.0,19982.966,19726504.99426,34262,524,987.1660190113919,991.04,108127822.85785522,357690.6987818536,false
2026-06-14,110395.90976751834,360.2247421534433,109423.30200002548,111715.23650002494,111192.57850002471,86400.0,33913.551,34432510.05322,40619,1062,1015.3024097423474,1035.4,112085233.21266012,365737.0487572067,false
2026-06-15,111829.46746556122,292.9993480561025,104134.43700002425,119327.38100002569,104861.02800002418,86400.0,122522.406,130231543.9988,71504,1602,1062.9202302703718,1084.6,118865803.30950738,311434.9345048613,true
2026-06-16,108324.3572009162,193.43224619836565,104100.1350000237,115009.71550002391,112317.4705000242,86400.0,173745.96,185468930.7716,76487,1827,1067.4719042192407,1034.6,115633207.85458724,206483.48818677437,true
2026-06-17,108717.79509314655,188.49397919472116,96848.96000002386,113743.38700002409,96942.57400002389,86400.0,170886.82,180994169.888,81339,1438,1059.146456631354,1078.3,115148067.44567978,199642.7301604331,true
2026-06-18,99482.79311612797,189.1861120654239,96399.35200002379,105360.67750002454,102994.70950002469,86400.0,136714.375,152882128.7776,74335,1747,1118.2593547869417,1152.3,111247564.04244407,211559.139612931,true
2026-06-19,102418.79721273365,187.17825945424116,101780.18400002658,103963.4545000256,102352.79800002728,86400.0,57852.182,64693138.5411,63972,1138,1118.2488940711,1132.0,114529706.71523167,209311.8816288586,false
2026-06-20,103079.98413964789,186.20809806674433,102195.14500002767,103576.95300002833,103496.2610000295,86400.0,17513.867,19957139.3782,29633,763,1139.5050206901765,1138.0,117460159.45979252,212185.0626402239,false
2026-06-21,103521.06085889142,186.20800639283001,103303.38200002989,103880.04300002978,103798.35500002977,86400.0,18023.229,20536034.8109,31612,724,1139.4204008005447,1126.3,117954008.65513565,212169.20127638878,false
2026-06-22,107937.33659304616,189.24060717778596,102458.79700002933,113545.63150002887,104158.93750002896,86400.0,147429.195,175057575.8683,86696,2070,1187.4010155742897,1230.3,128164903.08896695,224704.48915079827,true
2026-06-23,92320.40435521302,180.7550211635231,81917.62150002967,104189.12850002896,91462.95500002947,86400.0,420149.92,465092124.5427,200714,3055,1106.9670667620262,1065.7,102195647.21137434,200089.85557989313,true
2026-06-24,100243.92822215262,204.68500795898262,90189.02900002913,142584.25000002762,108524.82250002737,86400.0,588012.488,645044784.19284,219242,4043,1096.9916410905205,1215.0,109966751.32977955,224537.74278755058,true
2026-06-25,110971.36005439002,280.7115502404982,104866.66150002749,129439.21250002555,105473.09950002463,86400.0,476717.154,571552688.1474,182870,4076,1198.9345953919672,1189.0,133047402.66690642,336554.78890944354,true
2026-06-26,99491.31372919305,280.4618498641438,94598.57600002558,106890.58050002552,95605.90800002581,86400.0,334825.043,387818707.1473,156970,2519,1158.2727016846825,1134.3,115238072.74727078,324851.30456162564,true
2026-06-27,96856.36685350991,306.3584504801714,95605.90800002581,97778.90250002564,97618.29450002612,86400.0,25578.432,29074830.7919,38364,878,1136.6932418648648,1129.9,110095977.63396882,348235.5802490027,false
2026-06-28,97796.5853622266,356.19018211189007,97177.27550002714,99128.91500002769,99058.69500002767,86400.0,37819.983,43144019.3787,44871,1022,1140.773103433177,1153.4,111563714.18883486,406332.1794602093,false
2026-06-29,106463.26601414983,378.65046948049877,98868.79100002762,124764.87850002655,99709.73700002744,86400.0,393960.475,434802366.0606,155997,2866,1103.670021873641,1139.0,117500315.130576,417905.1719340065,true
2026-06-30,101323.21737653349,380.3894066616616,99317.4980000274,105262.19900002785,102180.55800002802,86400.0,166967.915,191714121.2022,78852,1612,1148.209350294636,1156.9,116340265.59367168,436766.6734819485,true
2026-07-01,107205.83102049422,379.05476104959945,100471.40000002898,122396.24200002823,104166.71700002637,86400.0,433289.572,465175143.565,141552,2719,1073.589519862712,1020.3,115095056.65177543,406949.2189169145,true
2026-07-02,113197.30064356973,391.32483150709555,104166.71700002637,120788.25250002448,118606.17800002352,86400.0,520925.442,523850674.49504,177649,3597,1005.6154533051969,978.3,113832954.79960802,393522.2978255877,true
2026-07-03,119844.41598534318,405.50502693297386,116648.06500002333,127062.44000002323,119609.47100002461,86400.0,158215.909,160456243.20762,97795,1964,1014.1599806351963,1027.5,121541410.59493205,411246.97026181954,false
2026-07-04,119860.05227850757,405.29079339812944,119321.01650002602,120503.19350002469,119375.31650002598,86400.0,20326.408,20934658.6536,27174,667,1029.924158444522,1033.1,123446763.47405832,417418.7793158811,false
2026-07-05,119744.04768438886,405.1870187797663,119146.84150002713,120672.64550002731,119822.38650002988,86400.0,53668.041,55655062.291,67989,926,1037.024293303346,1026.3,124177486.42718552,420188.7818057767,false
2026-07-06,122403.61140435922,405.17758934334535,116267.46550003008,131021.93750002781,123241.22650002758,86400.0,273376.804,273351927.39636,145508,2060,999.9090025076157,960.34,122392472.98266265,405140.7191987448,true
2026-07-07,130942.4241327406,405.16518886828567,121985.46850002336,145323.39650002078,130063.65150002079,86400.0,396812.223,366779641.26264,179523,2836,924.3153814408585,915.15,121032096.7090448,374500.4160953469,true
2026-07-08,121357.62450111388,404.1465540363241,111937.97100001812,132233.23200001946,112776.18000001853,86400.0,432925.538,401459474.70403,158614,2407,927.3176088402297,957.97,112537062.16690339,374772.21610998275,true
2026-07-09,109748.83111788072,403.41565000199853,106040.79350001793,117862.14850001821,106896.46350001814,86400.0,401705.269,400883673.41229,173680,2393,997.9547303679753,1002.0,109524365.16644512,402590.55622396595,true
2026-07-10,106683.44841268868,402.52317072421545,105012.26650001627,108918.97850001662,105844.09350001687,86400.0,289263.816,282683932.51113,157910,1783,977.2530018449663,982.9,104256720.20847262,393366.9769023934,true
2026-07-11,105359.2173538488,402.1234180201874,104816.21900001608,105883.55250001687,104836.49800001606,86400.0,26906.832,26440084.91013,38377,625,982.6532127650703,978.49,103531573.42717287,395147.8686456085,false
2026-07-12,104150.72145930628,402.07396115182706,103548.16300001598,105518.34500001493,105445.6900000149,86400.0,37557.367,36682879.711500004,49508,577,976.7159585894295,966.48,101725671.747907,392712.0543902558,false
2026-07-13,103186.57597218844,402.07691169251444,101168.31000001574,106670.34900001573,101266.10900001576,86400.0,294658.226,274885115.64681,158878,1933,932.8947621058778,920.81,96262216.24409482,375095.4448816543,true
2026-07-14,101966.95041378641,402.0763408043001,94387.73600001793,108768.0310000171,94968.89700001794,86400.0,296840.714,286518888.99781,164021,1773,965.2277315227386,990.38,98421328.23819064,388095.23433349817,true
2026-07-15,101026.59252306966,402.0297789702012,92868.17500001751,118144.73300001591,112375.95300001558,86400.0,268591.557,249818643.59225,140548,2130,930.1060926209606,896.42,93965449.22244227,373930.3468352423,true
2026-07-16,117331.09149482317,401.7656150411157,111849.67550001561,124654.19400001557,122953.3110000158,86400.0,357606.047,309142357.39507,169707,2219,864.477432606362,833.35,101430080.74034688,347317.30740025965,true
2026-07-17,118964.00606908782,402.2765206090032,100847.18300001786,132705.58650001913,101192.08300001775,86400.0,630948.473,535394487.982,240547,2585,848.5550102630964,844.55,100947503.39089388,341353.75707397546,true
2026-07-18,101559.90764804147,422.4155086626732,101093.59250001574,102123.37750001591,101556.6110000165,86400.0,24570.38,20695965.28421,29810,594,842.3136021587782,839.05,85545291.64593466,355806.3287093888,false
2026-07-19,101659.50819663056,824.0861527599707,101166.85350001664,102808.67650001793,102684.19500001773,86400.0,50735.507,43186195.25325,44802,723,851.2025957136883,861.43,86532837.2559489,701464.2723209941,false
2026-07-20,102317.35467839292,904.64133110187,100236.20850001756,106093.47750001731,100890.64300001746,86400.0,289168.027,253587487.07994,137610,1585,876.9554840167028,872.71,89727765.29529871,793330.1763779548,true
2026-07-21,124071.49633750402,802.6325573431867,100786.40700001761,161141.93650001928,104915.05750001776,86400.0,489938.458,461333224.58263,180020,2386,941.6146396546604,986.53,116827537.31525338,755770.5662578034,true
2026-07-22,111393.78737158538,802.4825135680335,104308.84550001832,129332.99750001855,128707.8555000173,86400.0,556540.301,535984815.75057,189189,2008,963.0655943289362,983.78,107279524.03956702,772843.2988679768,true
2026-07-23,122838.33812819193,800.6511726956868,105850.38350001018,136740.84600001597,106926.2425000111,86400.0,487706.311,480508933.3231,217789,1927,985.2423938042909,986.88,121025538.30836073,788835.4779889112,true
2026-07-24,113346.20170604566,800.7767163489212,103666.7855000091,135612.97000001214,104580.42850000906,86400.0,442449.693,419669104.75257,189388,1976,948.5125911310553,911.19,107510299.4750646,759546.7981415334,true
2026-07-25,103994.66678186724,800.8384706668102,103484.42950000899,105046.78750000898,103980.66550000943,86400.0,31045.935,28700934.65655,34605,695,924.4667508499905,933.5,96139611.70556025,740348.5389330214,false
2026-07-26,105826.04231130992,800.8385614830597,103745.26850000952,108086.91950001077,108022.1425000108,86400.0,50673.339,47734769.2789,41186,813,942.0095502074572,953.09,99689142.5179124,754397.5730914442,false
2026-07-27,110467.21673207656,800.8440566030544,100476.33350001031,140886.75000001182,101624.08050001046,86400.0,576369.909,517001024.20502,226094,2197,896.9951694772116,884.19,99088559.79426487,718353.2502774744,true
2026-07-28,107971.93311257489,800.8336731471294,100002.23850001252,121846.95350001048,117726.12250000995,86400.0,781928.223,643005269.34043,260835,2685,822.3328566827163,831.16,88788868.19801888,658551.8421667916,true
2026-07-29,154643.77913800385,801.064454033964,114811.37150001008,210567.35600000754,182953.50050000695,86400.0,1081684.871,846164750.7358,379769,3416,782.2654947124614,734.37,120972492.3915952,626645.0814314467,true
2026-07-30,157046.93538446273,2461.73652694318,108927.350500007,186780.6835000062,121965.81750000753,86400.0,796434.634,641892928.79213,342919,3109,805.9580804118195,901.78,126573246.57702065,1984056.4457347847,true
2026-07-31,130895.19974247142,7192.891385757576,109376.64350000558,150261.3355000064,109502.00950000563,86400.0,821906.942,717385763.62424,333744,2898,872.83088506173,812.94,114249373.04155326,6278177.754383679,true
2026-08-01,108964.41675336553,6517.577167577238,108189.41050000428,110682.65500000371,108904.09100000319,86400.0,41398.879,33800085.04094,54956,865,816.4492821397411,820.98,88963919.83706085,5321271.199758803,false
2026-08-02,109777.29733269023,6482.476587907705,108550.05850000329,110777.62250000332,109602.76300000219,86400.0,89787.393,75942666.97799,104855,1233,845.8054570978579,854.66,92850237.14944352,5482914.073561438,false
2026-08-03,116374.14624733364,6289.620776546811,108927.837500002,131214.8370000025,118869.45150000055,86400.0,443032.577,359586988.74778,213470,2275,811.6490917727255,841.5,94454970.10747468,5104964.990879083,true
2026-08-04,143731.60553995776,5872.142458223809,115864.33850000027,159275.1379999953,150255.05899999564,86400.0,411664.106,355668072.15399,238818,2172,863.9763996183576,891.38,124180715.06577869,5073392.499102298,true
2026-08-05,123338.76401572007,5838.4745417230315,106757.49449999488,150383.6869999956,107242.72249999491,86400.0,525942.372,472060993.43093,306623,2033,897.5526950525485,876.44,110703040.04675984,5240338.5599192,true
2026-08-06,107295.02842880662,5925.156489957083,103548.1519999955,111286.73399999639,103761.02699999565,86400.0,382904.039,335327119.55071,212396,1923,875.7471465343044,889.81,93963314.98384447,5188938.888849131,true
2026-08-07,116445.79602301928,5932.9091795115655,102989.76999999561,139522.86099999497,115538.95799999649,86400.0,396644.171,348725841.13374,208788,1727,879.1906364199161,879.09,102378053.51390207,5216158.197356336,true
2026-08-08,115481.04503625342,5927.939356314886,114928.85099999697,116279.1949999968,115914.68899999668,86400.0,15016.022,13219819.38919,21278,624,880.3809283970148,883.24,101667309.64127426,5218844.753993702,false
2026-08-09,115442.57201235139,5927.886061714973,115162.01199999706,115918.09799999668,115689.36499999781,86400.0,15275.378,13447331.14017,23954,531,880.327225956045,878.5,101627239.17686427,5218479.492493047,false
2026-08-10,105539.13791999484,5909.101868229616,96207.09999999727,116996.24799999771,96211.64499999725,86400.0,266042.963,232622897.89466,150719,1360,874.3809468648114,861.93,92281411.34578101,5166806.086663238,true
