dt,grid_s,series,n,rv,rvol,bv,medrv,rho1,rv_ac1,rv_nw5,rs_up,rs_dn,rq,tq,se_rv,jump,rj,z,mean_abs,max_share,zero_share,ret_sum,park_bp,oc_bp,gap_max_s
2026-05-04,0.0,mid,136797,167395.8294130562,409.1403541733035,94662.60343799647,107173.38238662279,-0.09318822968845027,136203.6730443989,142961.42997945144,79808.04249117781,87587.78692187837,16608935686579.154,225626108431.17578,15582.87593174886,72733.22597505973,0.43449843541554106,41.03966928596061,0.42326908742428115,0.09195914749700888,0.3106647075593763,577.4032970238618,903.0017748739106,577.4032970238618,4365.955985648
2026-05-04,0.0,micro,136797,999738.0128425786,999.8689978405064,822723.7580745899,981705.945556545,-0.31519413557841774,369523.2596196288,361543.2929024081,490667.7510312042,509070.26181137445,39000878318119.9,6175821625997.465,23878.877358616188,177014.2547679887,0.17706064238237768,27.781812107465846,1.4898095512872687,0.015424382870003741,0.00003655050914859244,569.2698527065065,903.0017748739106,577.4032970238618,4365.955985648
2026-05-04,0.0,spread,136797,323279890.1143675,17979.985820749902,213359754.8033684,269210818.60075647,-0.25520451950800443,158275075.7492273,130793645.40277438,179882313.3117836,143397576.80258387,8.501311771992786e+17,2.764050369907653e+17,3525491.589536182,109920135.3109991,0.3400153819407461,65.398827033784,20.365306534843402,0.0008429882517838577,0.30633712727618295,-154.59245067117013,903.0017748739106,577.4032970238618,4365.955985648
2026-05-04,0.0,bp,136797,65361.926484908174,255.6597866010769,56241.989479750264,71113.16356197074,-0.3655000602143181,17582.592243549065,18002.140641461072,32531.451331429824,32830.47515347834,5416042421.696626,5424906423.952132,281.39588346909926,9119.93700515791,0.13952980726881833,50.496748073555416,0.4569869794871453,0.00006101352276962641,0.06228206758920152,-0.728212703101914,903.0017748739106,577.4032970238618,4365.955985648
2026-05-04,0.0,ofi,136797,1708082792.2956624,41328.95827740717,116926212.73374279,164620897.77834755,-0.024230887455203694,1625309265.32474,1625983349.4921002,1354002933.9300785,354079858.36558425,4.166349058833144e+22,9.101120199180093e+16,780466986.851104,1591156579.5619197,0.9315453482342071,171.11982479275923,15.03295964092783,0.4463533738571532,0.0011038253762874917,14611.400000000765,903.0017748739106,577.4032970238618,4365.955985648
2026-05-04,0.1,mid,863994,164471.95987168752,405.55142691363756,32739.494924753104,49340.93389173227,-0.02656133957218248,155735.56097090748,151668.94676827232,78422.76863654041,86049.19123514711,104812617697976.28,162017791633.5717,15576.375865781816,131732.46494693443,0.8009417839351173,77.59621111451716,0.06340459511219713,0.09359393406261252,0.897950680213057,577.4032970238618,903.0017748739106,577.4032970238618,4365.955985648
2026-05-04,0.1,micro,863994,941173.9330435153,970.1411923238365,209982.20995010796,330651.6791472878,-0.07290584106110563,803940.5835520539,607957.0181996719,463404.75468782004,477769.17835569533,239370892618330.6,7312872205143.744,23539.39541294137,731191.7230934073,0.776893300400831,71.85364938942291,0.22219647722840088,0.016422450155868372,0.8551980685051054,569.2698527065065,903.0017748739106,577.4032970238618,4365.955985648
2026-05-04,0.1,spread,863994,306837564.62627333,17516.77951640293,66823249.157119416,110179769.27344184,-0.08425708579955998,255131086.6677675,203418050.75194457,171947269.70332602,134890294.92294732,5.17444315359292e+18,1.9298404191468035e+17,3460919.076002452,240014315.4691539,0.7822194644306025,141.7243429310827,3.0178580931352275,0.0008615862976385221,0.8970351645960505,-154.59245067117183,903.0017748739106,577.4032970238618,4365.955985648
2026-05-04,0.1,bp,863994,62953.126863330646,250.9046170626014,10305.338317455877,18139.49119742694,-0.05978426554903206,55425.913957553195,41129.58717375373,31356.9272395099,31596.199623820743,33575627323.062668,1565576659.1305308,278.78647614175657,52647.78854587477,0.8363014066032263,259.43995262086514,0.06883521656923383,0.00006334810657636335,0.8636599328236075,-0.7282127031018866,903.0017748739106,577.4032970238618,4365.955985648
2026-05-04,0.1,ofi,863994,1705129027.6448004,41293.20800863988,36753066.06868428,70628151.46236297,-0.004963159481362561,1688203869.6973803,1645529908.974158,1352380336.0329444,352748691.6118561,2.6322739848315915e+23,8.483869260924651e+16,780593948.9330392,1668375961.576116,0.9784455806728894,147.05581816990102,2.2793085600131535,0.4471265838583419,0.8556714514221163,14611.400000000767,903.0017748739106,577.4032970238618,4365.955985648
