wid,n_days,n_ord,n_slot,n_fill,n_canc,n_rf_fill,n_rf_canc,n_rf_same,n_rf_fill_same,sz_pl,sz_fl,szt,n_ep,n_modal,ep_child,ep_child_max,rf_fill,rf_canc,same_sz_share,modal_share,turnover_s,ord_per_slot,rf_ratio
4249,26,151940,46279,9780,142160,1939,7727,8451,1466,151712816,10818802,1.77387107653012e+17,113176,14017,1.37635768294861,19,0.19826175869120655,0.054354248733821046,0.8743016759776536,0.09225352112676057,0.855264049384955,3.283130577583785,3.647585300316025
2802,51,24369416,572380,206748,24162668,67652,7227994,7124315,66152,54015385300,216653723,5.580770798644052e+19,6387110,1104194,5.176306903786364,2836,0.32721961034689573,0.29913890303835655,0.9765159932376105,0.045310646754932495,0.9678839581285797,42.575589643244,1.0938718001013015
15393,16,132098,1982,225,131873,5,68288,52917,5,342260721,320777,8.199142247877556e+18,10020,2278,5.680073802105633,505,0.022222222222222223,0.5178315500519439,0.7748524738992283,0.017244772820178958,0.04174347884848542,66.64883955600403,0.04291399822971988
19463,5,54337,9389,2667,51670,6,720,726,6,24975940,2032232,2.1948298889870323e+17,35856,23017,1.3761836630763917,19,0.0022497187851518562,0.013934584865492549,1.0,0.4235971805583672,0.11379442263530959,5.787304292256897,0.1614485689288839
32548,3,137827,17935,23,137804,0,21450,13589,0,162444075,24455,4.6821620574705416e+16,77926,73633,1.7772545807492008,18,0.0,0.15565585904618154,0.6335198135198136,0.534242202180995,3.469424445504085,7.6848062447727905,0.0
9093,26,16955,10014,70,16885,1,24,21,1,24547424,116723,2.5195350958527985e+18,15167,6241,1.1038680291072105,8,0.014285714285714285,0.0014213799230085875,0.84,0.36809200825715127,0.009742838684964348,1.6931296185340523,10.050595238095237
11844,11,14054,9428,2989,11065,90,2,88,86,2781184,621634,1827040889787710.0,13158,11755,1.0535254496854922,5,0.03011040481766477,0.0001807501129688206,0.9565217391304348,0.8364166785256867,1.5222341303610096,1.4906661009758166,166.58581465373032
697,94,84960,53891,781,84179,2,1240,753,0,108458983,493245,2.3687981927328266e+18,79391,3534,1.0529211488698178,27,0.002560819462227913,0.01473051473645446,0.606280193236715,0.041596045197740114,0.04578650192014602,1.5765155591842794,0.17384453347651893
15375,53,95187,39315,1114,94073,118,10924,10833,112,494972051,6429539,4.787266563755554e+17,65222,1999,1.4794303434413456,171,0.1059245960502693,0.11612258565156847,0.9810722695163919,0.02100076691144799,1.0339345937981366,2.4211369706219,0.9121791032805734
2293,73,433548,214771,73,433475,1,244,26,0,38388312639,5179852,1.0168087890885917e+21,419269,3585,1.0228463862962855,6,0.0136986301369863,0.0005628929003979468,0.10612244897959183,0.008268980597304104,0.03775371834994567,2.018652425141197,24.33612171569728
