model,n,r2,b_A,b_X0,b_Nn,b_Nm,b_Pn,b_Pm,t_A,t_X0,t_Nn,t_Nm,t_Pn,t_Pm
S1 現物(アフター+夜の飛び)+先物,55,0.8521690017489931,0.9024452725641587,1.0421834807312784,0.5487206597455183,3.6951257478325603,,,8.486376461783443,3.4173822528139146,0.4597925230412249,3.745928845572219,,
S2 +夜の perp,55,0.8696170453082704,0.9048552764647003,0.5109643684821895,0.034047663931925126,3.8282176911913917,0.6526339951652061,,8.770246507385469,1.3840836686930693,0.027640087819009593,3.853630184803157,2.138076697985002,
S3 S1+プレ,55,0.9959721531630029,0.9750763797013207,1.0356040143081526,-0.055481484885118386,-0.17962071001937047,,1.0258811227181732,43.73951967017383,24.110557495944974,-0.4546110830483651,-1.1993017290328147,,37.60363327194976
S4 S3+夜の perp,55,0.9959788621104129,0.9752140465410747,1.0467280560253869,-0.04625309662978561,-0.19245274827516662,-0.013687487412335858,1.0285395182073827,43.7578439551172,19.526983631735607,-0.3898444888829292,-1.2245862694205267,-0.4242598029219092,38.731618526876666
