cov,bin_lab,n,p_tau0,fill_final,cancel_final,median_life_s,S_1s,S_60s,h_fill_1s,fill_h0,median_h0,fill_h1,median_h1
dist,1001+,14895722,0.037038620887258775,0.0023654201304945683,0.9972911610835896,0.4575491516298999,0.3616400415568883,0.10913000486257368,1.1757231431310072e-6,0.0011103579834456528,0.36801836043869257,0.006316659218825023,6.293924020606884
wallet,初回,14186,0.2018186944875229,0.5781901831996784,0.4141706590065119,21.017876338906763,0.7467926124347949,0.3882219645650001,0.04644460798080581,0.5675213408709655,19.916121697636246,0.5720863157598906,26.04448460776948
wallet,1-9,59442,0.15226607449278287,0.4883151411437274,0.5024628011240007,29.17751472446382,0.7908549510447158,0.4364351655339457,0.03758128251332721,0.46689791981873435,28.92602965290479,0.492910907243422,37.91806387661389
wallet,10-99,220268,0.10551237583307607,0.3485761358633307,0.643067352740492,22.061017695894797,0.7979688379610294,0.40954662125518315,0.0297915726759642,0.29780210314743405,20.24037660451988,0.38885577453090203,30.58551753668692
wallet,100-999,846489,0.06402445867577725,0.1859117454319716,0.8117929727787455,8.071272655284728,0.7637464869596652,0.26873840145058664,0.022018949382735763,0.1364001740725246,8.70485759535654,0.24439781477230296,7.822526229570152
wallet,1k-1万,4186468,0.054382835363843696,0.08130648535705853,0.918455327281595,3.159340128213037,0.6830336922322701,0.16593141561754768,0.013532495500571645,0.05386628271874192,3.6650588488016353,0.12059086796311648,2.5316323534446568
wallet,1万-10万,21514359,0.05908593418934768,0.032206458346218415,0.9677807554104338,1.5870279138136025,0.5801531734608469,0.08524634441011278,0.00912256569036804,0.02474797416942866,1.7841418721851088,0.041681599891005804,1.3509280093053109
wallet,10万+,523079439,0.10681759563483817,0.007129486991512354,0.9928698000545761,0.5428328415053589,0.37967163874072013,0.01748333342605829,0.0029582173161379075,0.008775231417503807,0.5904113212348753,0.006570821233469538,0.5298353766208169
vol,-7.5bp,15725136,0.05547239782218736,0.014398886305387151,0.9855794662351239,2.4713894247907495,0.6168693866940165,0.1038534124592658,0.002864974235312006,0.015844729430144186,2.0762823329784275,0.01352734926028879,2.760369334124518
vol,7.5-13,29976762,0.06709707339305025,0.012925084008795978,0.9870637226628942,1.5503405922650348,0.567556103128224,0.06125735303664642,0.0035210696532107172,0.012550552029099929,1.4702213526192993,0.013247973740022722,1.6155265429179955
vol,13-20,73214046,0.07744217550823512,0.009836921037130505,0.990158003876643,0.9272024789014954,0.4866058488285158,0.033518513706716026,0.0033813851728038743,0.011411882478479093,1.0551500249155568,0.00906541429530017,0.876323604691298
