dt,n_bbo,n_seg,n_stale,n_carry,repl_bid,life_bid_ms_p50,life_bid_ms_mean,life_bid_ms_p90,size_turn_bid,order_turn_bid,touch_dwell_bid_ms_p50,touch_dwell_bid_ms_mean,own_bid_ms_p50,own_bid_ms_mean,own_bid_ms_p90,wallet_turn_bid,n_wallet_bid,touch_cover_bid,repl_ask,life_ask_ms_p50,life_ask_ms_mean,life_ask_ms_p90,size_turn_ask,order_turn_ask,touch_dwell_ask_ms_p50,touch_dwell_ask_ms_mean,own_ask_ms_p50,own_ask_ms_mean,own_ask_ms_p90,wallet_turn_ask,n_wallet_ask,touch_cover_ask
2026-05-04,136798,1094973,0,1333,0.6307814823960137,464.067527,1585.305972486275,3049.8235594,0.02796658069182625,0.904314185261479,404.95529,1374.183777558593,489.1903205,1748.8800245140972,3557.0393269000024,0.6699600970111536,217,0.9954125823601789,0.5729568565120436,444.741689,1745.3321111953217,3578.2840682000015,0.08306751664752814,0.7405741967946006,409.757756,1554.5013153926702,530.826694,1992.222650580084,4273.2480927999995,0.5637206572615616,186,0.9974284706889742
2026-05-05,187094,1303312,0,1555,0.8966662941699952,400.909312,1115.2277035642812,2216.4269512000014,0.21027469141681554,1.280814611650112,362.092807,1033.6683171661923,404.380517,1239.129634008777,2577.7635209000023,0.9652898366327736,236,0.9998931739150732,0.8577190483634091,399.80199,1165.8672008114213,2413.6420652000033,0.12716088155694236,1.1467851595133314,373.585605,1105.9842145352793,407.4573795,1326.5809981538628,2909.1592052000015,0.9078817120560522,228,0.9999782678293911
2026-05-06,215188,1845077,507,1538,1.0076867586016245,400.178632,992.3718769389293,2373.8937010000004,0.21020064143898412,1.2915562030437349,360.189958,890.199513159487,408.298302,1132.8373984277255,2722.4248172000016,0.983114678745529,302,0.9999832575613498,0.9886587325613885,401.8023145,1011.4595261289394,2389.0740369,0.1788641943812822,1.2601900530625672,381.288147,920.1204473557619,418.5919735,1170.4599565186413,2824.8647437000004,0.9574198990561592,211,0.9999806957516174
2026-05-07,189307,2001099,372,1021,0.9292281020859763,392.65414,1076.1620292747837,2485.172226800001,0.1197597433408546,1.1294024811801653,369.4197565,1035.4060771137529,416.2689425,1327.3800134805442,3140.7516963000007,0.8673644388157572,249,1.0,0.955605518099602,399.55961,1046.4442381193726,2417.3933572,0.19089878471847357,1.1979444108127635,368.3882845,976.0152323440224,415.2487765,1260.9224822736965,2992.047401800002,0.905559029796435,167,0.99998267992046
2026-05-08,188663,1920488,161,1565,0.9849100808894806,355.986524,1015.3211134735178,2179.0756206000024,0.059920150440409416,1.1960821171528166,345.8445535,956.2335145843914,401.783101,1175.6927152975115,2573.818103200001,0.9558587347112962,244,0.9999855080726305,0.9375367104084812,376.86733,1066.6117322942237,2292.9087786000005,0.11599564147207851,1.1434424667869272,349.786351,988.4214132661754,404.8119735,1246.331212436781,2739.645797,0.8932536624093843,242,0.9999354145755321
2026-05-09,55482,236922,132,1701,0.20658333350696514,829.730703,4840.661553010927,12671.546256599999,0.021805348827575163,0.2755254713658481,689.924198,4094.238469514935,842.434762,5380.704809349058,14001.1809168,0.20831961971899207,131,0.9999996571429236,0.2344796653135313,739.968744,4264.762143288049,12577.483346400002,0.009595653484757152,0.29857177702015236,622.879037,3853.798574830426,806.828059,4825.778458542245,14756.57051939999,0.23605389814576905,138,0.9999951240029185
2026-05-10,65500,284857,453,1554,0.2626994259754053,640.093195,3806.631842787593,8306.125618800004,0.004227236141517224,0.33501497488029724,622.641222,3918.361154346277,806.10818,4902.19585834892,12359.3084575,0.25319701469965045,207,0.9999949021737023,0.2613568197537396,669.87044,3826.186747077189,8722.466185,0.006178323840766429,0.3316121625598686,660.159669,3861.735491440683,830.407154,4960.138658419395,13145.177082400003,0.24848631873225432,170,0.9999818683259648
2026-05-11,272812,2215572,485,2193,1.3660418539442598,337.196817,732.0357892088937,1656.8672360000032,0.08424183617675562,1.66900737967922,336.531824,712.1492754362439,399.566619,888.3344980071017,2036.0799562000002,1.3136878739297713,452,0.999913485590028,1.3270570640506498,338.105121,753.5405257356452,1695.3820266,0.06409743090040458,1.5772287576286164,336.846004,725.0279908929994,400.7258655,912.2876602493769,2104.498965000001,1.2353131671691915,339,0.9998404855473585
2026-05-12,309413,2869550,111,2234,1.4963942783195638,335.9821855,668.2730711340264,1361.0609747,0.09072406365417274,1.9856090032438516,334.4918995,634.0204428200414,352.106773,771.805795978436,1701.999808,1.5441838022907095,424,0.9999440161925116,1.5249360477825924,334.175982,655.7602278530302,1285.140551600001,0.10264167785885764,2.1051233225768744,333.2153805,638.4304107640999,345.188251,765.2048313869711,1677.6247882,1.6583624542585835,316,0.999975990551062
2026-05-13,268378,2631475,295,2095,1.228493630986796,399.972588,813.9973648056022,1703.4260744,0.08236197568427016,1.7946653332180549,363.2576275,737.873417866219,402.444149,916.9837495345593,2035.7881570999996,1.3520756664508287,365,0.9999807656943153,1.2276834087818245,393.187855,814.5422450501758,1704.1665912,0.08864280056473905,1.7350098297262855,350.386499,748.6520014867509,401.991471,914.0757186536964,2018.150443,1.3412765619188494,310,0.9999507298879591
2026-05-14,307139,2974711,530,1666,1.4463157978698176,363.720308,691.4063989621645,1342.8184773000014,0.10243802106173476,2.2073963583688982,338.279729,614.9950172906281,397.076449,827.3619430480587,1769.9887814999995,1.5394065858938166,312,0.9999754341941007,1.3606440319922046,374.586262,734.9398301047125,1499.9273676000018,0.10748983823403038,2.042244990183589,339.323143,657.0591664742786,400.050933,894.1583907013821,1964.1862242000002,1.3867205638109377,257,0.9999509505487675
2026-05-15,364956,3861914,452,1615,1.7477580846848757,340.256663,572.1577754685279,1062.6767822,0.10719511095142245,2.7681073239843026,334.661709,520.9228198179659,342.015017,681.9523303470459,1419.8544175999996,1.9137422091068577,364,0.9999428603829926,1.7006399359838167,340.5646755,588.0099444668155,1118.605832,0.12218911903402511,2.676336309233456,334.691746,538.0318011504271,343.60955,702.976854681177,1509.0504936000013,1.8133137698341752,257,0.9998798423421423
