dt,n_wid,n_open,n_term,n_orphan,n_live_end,n_levels_end,n_term_sampled,sec
2026-05-04,1220776,1204325,1202992,774,1333,1085,30078,30.8
2026-05-05,1423015,1403760,1403538,589,1555,1294,35089,35.5
2026-05-06,1995706,1964935,1964542,351,1948,1648,49110,53.2
2026-05-07,2161970,2140320,2140784,256,1484,1241,53526,55.0
2026-05-08,2315149,2291465,2290857,432,2092,1724,57264,55.5
2026-05-09,317226,308265,308067,38,2290,1941,7708,6.9
2026-05-10,323748,310071,309951,138,2410,2040,7743,9.3
2026-05-11,2385824,2334087,2333300,741,3197,2721,58336,68.5
2026-05-12,3240097,3190145,3190162,824,3180,2724,79754,82.6
2026-05-13,2923770,2883015,2882972,536,3223,2802,72076,88.8
2026-05-14,3297435,3253778,3253939,391,3062,2644,81349,93.5
2026-05-15,4324200,4277876,4278096,592,2842,2453,106947,98.1
2026-05-16,458147,448258,448421,45,2679,2297,11208,14.6
2026-05-17,689264,675578,675540,89,2717,2292,16886,11.1
2026-05-18,4676428,4631806,4631258,1342,3265,2670,115792,103.6
2026-05-19,5132774,5082866,5082534,492,3597,2835,127066,82.2
2026-05-20,4162599,4128074,4127342,892,4329,3403,103188,55.7
2026-05-21,4254084,4215766,4215754,292,4341,3383,105386,57.0
2026-05-22,2759248,2732113,2732381,206,4073,3151,68305,42.0
2026-05-23,663743,646387,646428,95,4032,3147,16162,9.4
2026-05-24,715141,699515,699210,107,4337,3406,17479,10.0
2026-05-25,938845,920195,920172,90,4360,3393,23003,17.5
2026-05-26,4339602,4286050,4285255,653,5155,4130,107143,70.5
2026-05-27,5674566,5582254,5580596,1998,6813,5511,139511,120.5
2026-05-28,5142407,5074908,5074942,722,6779,5455,126878,108.7
2026-05-29,3224951,3185290,3185794,463,6275,5113,79639,66.5
2026-05-30,608422,595790,595569,59,6496,5286,14895,13.3
2026-05-31,650812,634573,634635,122,6434,5201,15858,15.3
2026-06-01,3319036,3268592,3268498,622,6528,5163,81712,66.8
2026-06-02,3299408,3250777,3250322,580,6983,5446,81256,75.8
2026-06-03,3103258,3060542,3061242,499,6283,4972,76530,85.8
2026-06-04,5068339,5011612,5011243,664,6652,5440,125282,190.4
2026-06-05,7664297,7580584,7580362,851,6874,5729,189510,335.3
2026-06-06,1599356,1555697,1555208,230,7363,6054,38873,56.0
2026-06-07,1845497,1808352,1807972,367,7743,6362,45199,122.5
2026-06-08,6487700,6413805,6413304,730,8244,6654,160339,168.8
2026-06-09,6598858,6513328,6512508,1686,9064,7276,162813,189.4
2026-06-10,8580869,8505889,8505263,821,9690,7814,212639,277.0
2026-06-11,7114444,7052469,7052509,824,9650,7515,176300,173.3
2026-06-12,5460581,5410248,5410662,667,9236,7304,135263,134.1
2026-06-13,769141,750328,750419,51,9145,7263,18766,28.5
2026-06-14,812901,792669,792561,205,9253,7243,19809,24.9
2026-06-15,3018120,2978868,2979219,430,8902,6951,74488,81.7
2026-06-16,4184597,4140289,4140002,884,9189,7136,103496,162.3
2026-06-17,4678388,4631287,4631445,627,9031,7072,115780,172.3
2026-06-18,3762448,3720954,3720610,466,9375,7319,93027,114.4
2026-06-19,1744871,1713034,1712844,290,9565,7555,42819,45.2
2026-06-20,909401,895284,895600,104,9249,7300,22387,26.2
2026-06-21,800855,784400,784307,107,9342,7361,19613,24.1
2026-06-22,3819993,3773251,3773047,509,9546,7416,94331,111.3
2026-06-23,6527665,6422615,6421388,1365,10773,8073,160530,108.2
2026-06-24,6970020,6850410,6850155,1653,11028,8376,171253,158.5
2026-06-25,6180407,6084761,6084540,1575,11249,8377,152107,180.9
2026-06-26,6796258,6709182,6709747,1009,10684,8103,167751,189.1
2026-06-27,834029,817142,816557,465,11269,8358,20407,27.0
2026-06-28,1098268,1075764,1076141,173,10892,8266,26908,30.6
2026-06-29,5875717,5785100,5784190,988,11802,8710,144600,188.9
2026-06-30,4279112,4232491,4232269,515,12024,8820,105803,121.0
2026-07-01,5498898,5413909,5414323,992,11610,8614,135364,161.1
2026-07-02,9231279,9123957,9123367,1837,12200,9084,228075,311.1
2026-07-03,2937279,2881335,2881231,394,12304,9034,72036,82.6
2026-07-04,747313,730991,730833,48,12462,9107,18271,20.3
2026-07-05,1185159,1156287,1156243,133,12506,9163,28908,23.4
2026-07-06,6394612,6306332,6306430,1185,12408,9284,157659,106.0
2026-07-07,9022074,8908058,8908027,1421,12439,9381,222684,152.9
2026-07-08,10773042,10664063,10663934,1029,12568,9582,266610,291.0
2026-07-09,9903888,9792898,9792839,1143,12627,9401,244818,252.2
2026-07-10,9069522,8963763,8963797,755,12593,9579,224102,265.6
2026-07-11,1505784,1484375,1484509,82,12459,9527,37115,42.4
2026-07-12,1746049,1717674,1717950,83,12183,9342,42936,48.5
2026-07-13,10462636,10362264,10362122,732,12325,9516,259057,305.8
2026-07-14,9777090,9665270,9665278,489,12317,9509,241633,160.5
2026-07-15,8744819,8650502,8649836,754,12983,9914,216248,137.7
2026-07-16,11269743,11154352,11153616,859,13719,10367,278857,172.3
2026-07-17,14645003,14491837,14492201,1021,13355,10395,362308,224.2
2026-07-18,1063075,1047422,1046839,486,13938,10802,26154,16.4
2026-07-19,2191372,2168351,2168525,149,13764,10772,54220,33.2
2026-07-20,11889260,11802049,11801868,593,13945,10843,295051,176.7
2026-07-21,9732444,9622390,9622820,761,13515,10262,240577,144.6
2026-07-22,10968701,10844036,10843507,660,14044,10577,271072,160.3
2026-07-23,14341107,14188584,14188197,625,14431,10724,354721,216.1
2026-07-24,12803033,12668907,12669519,635,13819,10715,316727,189.0
2026-07-25,1304191,1282834,1283166,44,13487,10445,32083,20.7
2026-07-26,1967477,1941995,1941859,62,13623,10415,48558,29.8
2026-07-27,14095260,13938191,13939140,761,12674,9826,348464,210.8
2026-07-28,18471686,18301571,18301527,1047,12718,9944,457544,297.3
2026-07-29,23738925,23485986,23483972,1493,14732,11195,587090,400.2
2026-07-30,16612772,16388059,16386081,2611,16710,12619,409669,280.0
2026-07-31,17039662,16816960,16817837,1226,15833,11991,420432,301.5
2026-08-01,1542548,1509297,1509096,66,16034,12102,37736,27.3
2026-08-02,3541356,3464709,3464828,171,15915,11955,86621,59.9
2026-08-03,14195897,14067917,14067691,850,16141,12098,351689,240.9
2026-08-04,17943680,17801285,17801280,758,16146,12213,445032,302.8
2026-08-05,18659086,18496929,18497016,699,16059,12071,462436,326.4
2026-08-06,16685750,16548167,16548390,538,15836,11909,413699,292.2
2026-08-07,12992676,12856029,12856378,397,15487,11581,321421,219.6
2026-08-08,1091170,1075946,1076224,29,15209,11395,26893,18.3
2026-08-09,1238885,1224414,1224285,108,15338,11494,30610,20.2
