feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop
best_bid,fwd_mid_100ms,1657037,36,0.0004744071273851947,-0.00024189134150075887,0.00872207183392901,0.012360658805456398,0.7056316310647458,-0.32121212121212117,0.33046697207123316,10
best_bid,fwd_micro_100ms,1657037,36,-0.00011837934008570591,0.0006224956256362337,0.0005102348011974605,0.026341905093096113,0.01936970008031753,-0.17575757575757575,0.33046697207123316,10
best_bid,fwd_mid_300ms,1657037,36,0.006015417076376139,0.0016023064853752196,-0.007903901488671037,0.018964786061293825,-0.4167672370848677,-0.3939393939393939,0.33046697207123316,10
best_bid,fwd_micro_300ms,1657037,36,0.002965170076438207,0.002045910053290473,-0.04708526062044432,0.04936969181028821,-0.9537280646064751,0.10303030303030303,0.33046697207123316,10
best_bid,fwd_mid_500ms,1657037,36,0.005899050105547462,-0.00018382653779343421,-0.018708592836087893,0.02182585941192104,-0.857175540399086,-0.2606060606060606,0.33046697207123316,10
best_bid,fwd_micro_500ms,1657037,36,0.0006196874224332063,-0.004003322612256362,-0.04454495156038781,0.04379684915933046,-1.0170811922642151,-0.006060606060606061,0.33046697207123316,10
best_bid,fwd_mid_1s,1657037,36,0.013200119782807093,-0.005895962409340935,-0.016042358649288782,0.03835852344311865,-0.4182214853258829,-0.5878787878787878,0.33046697207123316,10
best_bid,fwd_micro_1s,1657037,36,0.0024052749323038563,-0.00961366247183973,-0.027047875995141517,0.0538374644947209,-0.5023987709858388,-0.7454545454545454,0.33046697207123316,10
best_bid,fwd_mid_3s,1657037,36,0.01114308427603766,-0.005479854874172517,-0.018664245369953605,0.03651004805439319,-0.511208458070155,-0.5757575757575757,0.33046697207123316,10
best_bid,fwd_micro_3s,1657037,36,0.006046297361154589,-0.008507740968324311,-0.07675557475294217,0.05594575041285791,-1.3719643437886853,-0.28484848484848485,0.33046697207123316,10
best_bid,fwd_mid_5s,1657037,36,0.009056089344754695,-0.006747907403385635,-0.13324250398882875,0.06785064929583562,-1.9637616643560492,-0.5515151515151515,0.33046697207123316,10
best_bid,fwd_micro_5s,1657037,36,0.008956026393765162,-0.006817963185265551,-0.1364803984697943,0.06608677170557331,-2.0651696995858018,-0.49090909090909085,0.33046697207123316,10
best_bid,fwd_mid_10s,1657037,36,0.019841534520476135,-0.013224788155431306,-0.248948612083506,0.13871131890397329,-1.794724569347131,-0.6727272727272726,0.33046697207123316,10
best_bid,fwd_micro_10s,1657037,36,0.019719591997779822,-0.013258818170789046,-0.2535575299818277,0.13541574069808687,-1.872437640371079,-0.5757575757575757,0.33046697207123316,10
best_bid,fwd_mid_30s,1657037,36,0.05922895776373588,-0.039642365166191906,-0.7355827713095144,0.489613247166434,-1.5023751411273971,-0.6121212121212121,0.33046697207123316,10
best_bid,fwd_micro_30s,1657037,36,0.058371087879878825,-0.03925395437936065,-0.7181832480452696,0.4802870666534735,-1.4953208152145347,-0.5151515151515151,0.33046697207123316,10
best_bid,fwd_mid_60s,1657037,36,0.11839931344416066,-0.08188224208213392,-1.3744107927431726,1.1631041904980448,-1.1816746977367913,-0.5272727272727272,0.33046697207123316,10
best_bid,fwd_micro_60s,1657037,36,0.11768666849722177,-0.08023501304982872,-1.3399310384589684,1.1564461044155512,-1.158662762875705,-0.406060606060606,0.33046697207123316,10
best_ask,fwd_mid_100ms,1657037,36,0.0007034185913744581,-0.0002211264889115747,0.009769041268635467,0.012676826978959702,0.7706219612249645,-0.309090909090909,0.32970054380197905,10
best_ask,fwd_micro_100ms,1657037,36,-0.0008141031403172046,0.00003601885635866959,0.013353421028095147,0.029656511982474903,0.4502694395074566,-0.19999999999999998,0.32970054380197905,10
best_ask,fwd_mid_300ms,1657037,36,0.005945431118966861,0.0019210631315109764,-0.00481074477140021,0.02144406553058194,-0.2243392123820682,-0.3696969696969697,0.32970054380197905,10
best_ask,fwd_micro_300ms,1657037,36,0.0013250824448689613,0.002556433446095458,-0.020576055300001443,0.05348862875847026,-0.3846809270978571,-0.12727272727272726,0.32970054380197905,10
best_ask,fwd_mid_500ms,1657037,36,0.005417734879827849,-0.00036131198832450043,-0.006175977650501728,0.022641141831092716,-0.27277677497785724,-0.5030303030303029,0.32970054380197905,10
best_ask,fwd_micro_500ms,1657037,36,-0.0014810249436014446,-0.004098895225172591,-0.014205952998575374,0.037391469324477664,-0.3799249736697482,-0.2727272727272727,0.32970054380197905,10
best_ask,fwd_mid_1s,1657037,36,0.012308556746143956,-0.0055244332882362695,0.0038992324857286455,0.03972568595391861,0.09815393723475828,-0.8060606060606059,0.32970054380197905,10
best_ask,fwd_micro_1s,1657037,36,-0.0000509142292817555,-0.010254672404344259,0.025064929316542764,0.05941078832781293,0.42189188229991414,-0.6484848484848483,0.32970054380197905,10
best_ask,fwd_mid_3s,1657037,36,0.010494922634527323,-0.004692836660022095,-0.015000633375003347,0.03630143963440311,-0.4132242006398873,-0.6242424242424242,0.32970054380197905,10
best_ask,fwd_micro_3s,1657037,36,0.004713524569020664,-0.006751572379432082,-0.01928698262488453,0.06350895101365787,-0.303689201554231,-0.18787878787878787,0.32970054380197905,10
best_ask,fwd_mid_5s,1657037,36,0.00927399291416285,-0.006875965402627272,-0.1307526431951943,0.0699440083009319,-1.8693901932619468,-0.49090909090909085,0.32970054380197905,10
best_ask,fwd_micro_5s,1657037,36,0.009181119616580403,-0.007105445853736374,-0.12332350032873661,0.07500529399410355,-1.6441972794404558,-0.5151515151515151,0.32970054380197905,10
best_ask,fwd_mid_10s,1657037,36,0.019432814623607908,-0.013554025805223033,-0.23649672197003094,0.13515073989229795,-1.7498736755603108,-0.5757575757575757,0.32970054380197905,10
best_ask,fwd_micro_10s,1657037,36,0.019012288211186616,-0.014477622413263037,-0.2280687400609376,0.1361153799489431,-1.6755545196030472,-0.5515151515151515,0.32970054380197905,10
best_ask,fwd_mid_30s,1657037,36,0.059248680382019185,-0.039236741033603646,-0.6742977938349702,0.4904028745690269,-1.374987441555176,-0.5272727272727272,0.32970054380197905,10
best_ask,fwd_micro_30s,1657037,36,0.057766316442785674,-0.040837955535583594,-0.6482491117811047,0.4917889613949446,-1.3181449008988846,-0.41818181818181815,0.32970054380197905,10
best_ask,fwd_mid_60s,1657037,36,0.11711687261506563,-0.07873930221583765,-1.1764412837574831,1.1894976383986924,-0.9890236397116469,-0.4666666666666666,0.32970054380197905,10
best_ask,fwd_micro_60s,1657037,36,0.11610190340416007,-0.0808461413480824,-1.1493015324622864,1.1859127452627571,-0.9691282407186214,-0.4666666666666666,0.32970054380197905,10
mid,fwd_mid_100ms,1657037,36,0.0006347667435163137,-0.0002111852142917735,0.009590441429557301,0.012340699842509281,0.7771391859416006,-0.3696969696969697,0.3301266055012652,10
mid,fwd_micro_100ms,1657037,36,-0.00113168217623184,0.0006912541203804954,0.007620471630663476,0.028547318907931645,0.2669417627357709,-0.28484848484848485,0.3301266055012652,10
mid,fwd_mid_300ms,1657037,36,0.00600138691655787,0.0016533724366166592,-0.007334294274548622,0.01921736061606293,-0.3816494065484838,-0.23636363636363633,0.3301266055012652,10
mid,fwd_micro_300ms,1657037,36,0.0011342929750451371,0.002592732225105361,-0.04650925186359936,0.059825590119167,-0.7774140091381843,-0.04242424242424241,0.3301266055012652,10
mid,fwd_mid_500ms,1657037,36,0.005787153398171115,-0.00023516995700095073,-0.019261316464906246,0.02162231277797914,-0.8908074109686633,-0.29696969696969694,0.3301266055012652,10
