a,b,r
cancel_vol_b,cancel_deep_b,0.9991844562767824
cancel_deep_b,depl_b,0.9991803802911612
add_vol_a,add_deep_a,0.9991500721995508
add_deep_a,repl_a,0.9991500721995508
cancel_vol_a,cancel_deep_a,0.9990606085239326
cancel_deep_a,depl_a,0.9990603323088166
best_bid,log_mid,0.9990314799704958
mid,log_mid,0.9990252306949274
log_mid,micro1,0.9990240291696709
log_mid,micro2,0.9990232229828604
log_mid,micro3,0.99902295917813
log_mid,micro5,0.9990224963499886
log_mid,micro_ew,0.9990224459079886
log_mid,micro_dw,0.9990222443842193
log_mid,micro_notional,0.9990218108060547
log_mid,micro10,0.999021810725134
best_ask,log_mid,0.9990164396244894
cancel_intensity,add_intensity,0.9986737117524099
ofi_persist,cancel_persist,0.998504468689262
ofi_persist,t_since_cancel,0.998504468689262
ofi_streak,cancel_persist,0.998504468689262
ofi_streak,t_since_cancel,0.998504468689262
trade_imb,size_wgt_imb,0.9981575010179942
ofi_1s,ofi_dollar,0.9979813134256966
ofi_dollar,ofi_per_time,0.9979813134256966
cancel_persist,micro_persist,0.9977372436557629
t_since_cancel,micro_persist,0.9977372436557629
d_micro,micro_ret,0.997733376536903
trade_dollar_imb,signed_vol,0.9975456363879491
delta5,delta5_bp,0.9968281567302105
delta10,delta10_bp,0.9968203431121205
delta1,delta1_bp,0.9968168267307641
delta1,obi_x_spread,0.9968168267307641
t_since_bbo_chg,micro_persist,0.9961515890797948
bbo_age,micro_persist,0.9961515890797948
t_since_mid_move,micro_persist,0.9961370458780906
spread_duration,micro_persist,0.9960390983280393
depth_per_tick,depth_per_bp,0.9958828254746653
depth_cum10,depth_per_bp,0.9958828253900086
dollar_depth,depth_per_tick,0.9958826299020874
depth_cum10,dollar_depth,0.9958826298174523
t_since_bbo_chg,ofi_persist,0.9950558745936942
t_since_bbo_chg,ofi_streak,0.9950558745936942
bbo_age,ofi_persist,0.9950558745936942
bbo_age,ofi_streak,0.9950558745936942
t_since_mid_move,ofi_persist,0.9950379304852981
t_since_mid_move,ofi_streak,0.9950379304852981
spread_duration,ofi_persist,0.9949366649445317
spread_duration,ofi_streak,0.9949366649445317
t_since_bbo_chg,cancel_persist,0.993293594112682
t_since_bbo_chg,t_since_cancel,0.993293594112682
bbo_age,cancel_persist,0.993293594112682
bbo_age,t_since_cancel,0.993293594112682
t_since_mid_move,cancel_persist,0.9932751651623319
t_since_mid_move,t_since_cancel,0.9932751651623319
spread_duration,cancel_persist,0.9931731548416151
spread_duration,t_since_cancel,0.9931731548416151
spread_tick,spread_bp,0.9922974260739759
spread_abs,spread_bp,0.9922974260622529
spread_tick,spread_rel,0.9922974260353051
spread_abs,spread_rel,0.9922974260235821
obi_near_deep,micro_slope,-1.0000000000000002
