dist,ahead,n,p_fill_count,p_fill_volume,vol
内側,先客なし,12429797.0,0.07545062883971476,0.02275636064543417,788782443.2769108
内側,≤1,0.0,NaN,NaN,0.0
内側,1–10,0.0,NaN,NaN,0.0
内側,10–100,0.0,NaN,NaN,0.0
内側,100–1k,0.0,NaN,NaN,0.0
内側,>1k,0.0,NaN,NaN,0.0
最良,先客なし,0.0,NaN,NaN,0.0
最良,≤1,263728.0,0.07984362676697203,0.016602574153457225,9563059.230001401
最良,1–10,3581200.0,0.0410259131017536,0.01048511276087874,123882569.46995209
最良,10–100,10586663.0,0.02121291666694217,0.006928880201616201,452022398.8387215
最良,100–1k,13010174.0,0.008794578765818198,0.0024900606953765286,1149637137.4863687
最良,>1k,4107245.0,0.0028184342545915816,0.001115941495473945,753154339.5498999
1–2,先客なし,4505026.0,0.019723970516485365,0.0052057043291893375,256694788.15904903
1–2,≤1,239834.0,0.024487770708073085,0.005605856203189068,11632790.35999932
1–2,1–10,3595946.0,0.013473784089082539,0.0034561811551212488,173551715.91951993
1–2,10–100,13693064.0,0.007309905219167894,0.002374761904311917,702459217.8992755
1–2,100–1k,21122281.0,0.003368433551281701,0.0009936207244296911,1612874531.0941691
1–2,>1k,4414972.0,0.0012781508014093862,0.00038510966845041483,647526459.1600553
3–5,先客なし,3028759.0,0.014631405139860913,0.004007900530676703,177900667.57959187
3–5,≤1,229830.0,0.012539703258930513,0.0033244773693737258,13561749.709998302
3–5,1–10,3395495.0,0.007897817549429465,0.00214026943846568,205074348.16929123
3–5,10–100,13533915.0,0.00470211317272201,0.001458062288389027,911605499.0136963
3–5,100–1k,23169492.0,0.0022114856898891007,0.0006615527141630332,2154782014.315277
3–5,>1k,1430562.0,0.0013281493566863931,0.000904334377558642,168398740.31010684
6–10,先客なし,2536018.0,0.008411612220417993,0.0022924655677015065,176098828.12973374
6–10,≤1,206504.0,0.006426025645992329,0.00198836916276726,13377948.369999707
6–10,1–10,3494170.0,0.004022986860971275,0.00115839735465768,266249105.93924984
6–10,10–100,12938432.0,0.0027072832318475685,0.0007735079318583531,1129481707.9651608
6–10,100–1k,21801345.0,0.0013445959412137186,0.00038781725608746194,2600401385.3693523
6–10,>1k,1437845.0,0.0008283229416244449,0.0004074633170736371,232604595.3797395
11–25,先客なし,3778163.0,0.003635629272744453,0.0008906479388935965,396344071.0798807
11–25,≤1,340276.0,0.002600829914539962,0.0006702380471456981,37818145.52000509
11–25,1–10,5403476.0,0.0020120381769068653,0.0005660466865799271,592413007.5313941
11–25,10–100,13964293.0,0.001836039962782219,0.0004694445556804749,1590031561.6994739
11–25,100–1k,23232050.0,0.0011098460962334362,0.00025229845772540947,3151588032.5568857
11–25,>1k,4148308.0,0.0006156727031840451,0.00016673469656268278,684377591.1818149
26–50,先客なし,4595120.0,0.0017405421403575967,0.0001801573502648317,1008245790.3215612
26–50,≤1,423684.0,0.0016710567309598664,0.00025976255914264703,78985285.90000924
26–50,1–10,3678449.0,0.0014612136800048064,0.0002475258892033906,613319683.4019238
26–50,10–100,4389872.0,0.0014979935633658568,0.00017768972934979033,806416783.481737
26–50,100–1k,8934378.0,0.00086049638822087,0.00011943822976407588,1611984122.506773
26–50,>1k,2114102.0,0.0005997818459090432,0.00010044321325191928,400184927.369712
51+,先客なし,13041113.0,0.0011560362984355706,0.0001852942224529574,3422066169.1758165
51+,≤1,867563.0,0.0012690721019683873,0.0002681126606169081,106635881.84987412
51+,1–10,1943724.0,0.0016967429532176379,0.000173426193112965,509044789.6904193
51+,10–100,2424833.0,0.0013704036525401956,0.00019808578280327337,594269908.3906939
51+,100–1k,4455410.0,0.0008273088223081602,0.00010332962469589885,1267109799.201622
51+,>1k,1976264.0,0.0003678658316905029,0.00013241998603984815,586827202.7805221
