cov,bin,bin_lab,n,n_fill,n_cancel,n_cens,fill_share,cancel_share,median_life_ms
wallet,5,1万-10万,21514359,692834,20820491,1034,0.03220332987843142,0.9677486091963047,1586.8091677032119
wallet,6,10万+,523079439,3729215,519346541,3683,0.0071293473265348515,0.9928636116779196,542.8263209066847
vol,0,-7.5bp,15725136,226147,15497343,1646,0.014381242871285818,0.9855140839481452,2470.3939049482083
vol,1,7.5-13,29976762,387240,29587527,1995,0.01291800628767043,0.9870154421614983,1550.020490859009
vol,2,13-20,73214046,720001,72492683,1362,0.009834192198584408,0.9901472048136775,927.1538127928986
vol,3,20-32,170822831,1383300,169435127,4404,0.008097863686616925,0.9918763552162415,623.077438474994
vol,4,32-54,170098687,1354762,168738271,5654,0.00796456471177817,0.9920021957606292,489.5509307542304
vol,5,54-85,70473886,680326,69789729,3831,0.009653589983671398,0.9902920494550279,386.52964689011617
vol,6,85bp+,19597255,279132,19316842,1281,0.014243423377406682,0.9856912103251195,355.1879619954622
ofi,0,逆 2以上,64365315,478201,63885293,1821,0.007429482788983477,0.9925422255759954,439.06859676158547
ofi,1,逆 1-2,52247559,370891,51874903,1765,0.007098723980578691,0.9928674945369218,439.40319173121895
ofi,2,逆 0.3-1,85077207,668010,84406142,3055,0.007851809239576941,0.9921122822003313,485.4672403851832
ofi,3,逆 0-0.3,89482848,898567,88580523,3758,0.01004177917984908,0.9899162239449509,638.0434840003782
ofi,4,流量なし,12372448,126553,12244798,1097,0.010228614418100605,0.9896827208326113,1377.6486259267715
ofi,5,順 0-0.3,82477653,910082,81564305,3266,0.011034285856800509,0.9889261155382295,743.5067852083799
ofi,6,順 0.3-1,71929524,710843,71216302,2379,0.009882492757772176,0.9900844332015877,648.9526855524788
ofi,7,順 1-2,41828340,386816,41439810,1714,0.009247701438785283,0.9907113215585414,633.6717729210427
ofi,8,順 2以上,50138529,481437,49655774,1318,0.009602136512620863,0.9903715763180846,677.6375855517604
near_queue,0,先頭 0,60216110,2367992,57847857,261,0.03932489162783846,0.9606707739839057,322.62877183509903
near_queue,1,0-1,13072220,386632,12685542,46,0.029576613612683995,0.9704198674746906,438.73196327204874
near_queue,2,1-3,15602292,289723,15312518,51,0.01856925892682947,0.9814274723226561,433.97519186028774
near_queue,3,3-10,22902173,301572,22600552,49,0.013167833462789753,0.9868300270022412,395.81095225153064
near_queue,4,10-30,35781139,297459,35483604,76,0.008313290418172546,0.9916845855577711,394.707588201421
near_queue,5,30-100,32088495,191996,31896446,53,0.005983328292585863,0.99401502002509,417.05748967559595
near_queue,6,100-300,9305565,43350,9262209,6,0.004658502734653941,0.995340852489881,426.47940158358114
near_queue,7,300+,635035,6512,628522,1,0.01025455289865913,0.9897438723849866,428.98348929684335
near_size,0,-0.3,13759926,1233943,12525764,219,0.08967657238854337,0.9103075118281886,811.7394658416546
near_size,1,0.3-1,27289468,987295,26302056,117,0.03617860927153289,0.9638171033601681,528.1558357221782
near_size,2,1-3,50009629,914640,49094891,98,0.01828927785087148,0.9817087625265126,397.44215583517035
near_size,3,3-10,42806793,473302,42333463,28,0.01105670307981259,0.9889426428183957,351.7119233501635
near_size,4,10-30,44480950,223172,44257709,69,0.005017248957137831,0.9949811998170003,267.02708994384693
near_size,5,30-100,10468536,45920,10422604,12,0.004386477727162614,0.9956123759807484,370.169660129939
near_size,6,100+,787727,6964,780763,0,0.008840626257574008,0.991159373742426,659.3729902505496
near_wallet,0,初回,6308,5285,1023,0,0.8378249841471148,0.1621750158528852,591.305720499401
near_wallet,1,1-9,21441,16901,4538,2,0.7882561447693671,0.21165057599925377,789.9936021889089
near_wallet,2,10-99,65541,43007,22531,3,0.6561846782929769,0.3437695488320288,926.130939554304
near_wallet,3,100-999,235564,94952,140605,7,0.40308366303849485,0.5968866210456606,1135.6358155943017
near_wallet,4,1k-1万,1105852,226693,879134,25,0.20499397749427592,0.7949834155022553,804.38627443473
near_wallet,5,1万-10万,5800554,499753,5300760,41,0.08615608095364684,0.9138368507559795,617.1423529862
near_wallet,6,10万+,182367769,2998645,179368659,465,0.016442845226669413,0.983554604980664,372.96503985441274
near_vol,0,-7.5bp,5008616,187499,4821060,57,0.03743529150567742,0.9625533281050095,1199.372923009539
near_vol,1,7.5-13,11057667,321797,10735716,154,0.029101708344083793,0.9708843646675198,953.8105571887895
near_vol,2,13-20,26319673,573314,25746339,20,0.021782717437256915,0.9782165226748828,510.03055923233933
near_vol,3,20-32,61810733,1086190,60724459,84,0.01757283803769161,0.982425802975027,386.6520425625478
near_vol,4,32-54,58524825,1028966,57495805,54,0.01758170144037167,0.982417375874255,325.83095960364307
near_vol,5,54-85,21493876,489010,21004701,165,0.02275113153160463,0.9772411918632079,260.5017091868902
near_vol,6,85bp+,5384290,198045,5186236,9,0.03678200839850751,0.9632163200719129,233.31749067939492
near_ofi,0,逆 2以上,26711046,360409,26350538,99,0.013492882307941066,0.986503411360229,315.1746794758377
near_ofi,1,逆 1-2,21438308,279665,21158566,77,0.013045105985043222,0.9869513023135967,312.4842571825117
near_ofi,2,逆 0.3-1,34821675,518114,34303448,113,0.014879065984045857,0.9851176889107144,347.78152835885453
near_ofi,3,逆 0-0.3,33991390,723971,33267321,98,0.02129865827787566,0.9786984586390848,451.8861313028043
near_ofi,4,流量なし,3641582,97053,3544508,21,0.026651329010303763,0.9733429042652342,1127.6508390638073
near_ofi,5,順 0-0.3,25601157,723573,24877505,79,0.02826329294414311,0.9717336212578205,467.3077829025159
near_ofi,6,順 0.3-1,19970799,541094,19429675,30,0.027094258972813257,0.9729042388339094,382.62827301390234
near_ofi,7,順 1-2,10701677,287060,10414604,13,0.026823833311358583,0.973174951925759,363.29824489682863
near_ofi,8,順 2以上,12725395,354297,12371085,13,0.027841729077957893,0.9721572493427513,389.2425883971005
null,0,対照 0,68741344,629302,68109563,2479,0.009154636255002522,0.9908093010226858,565.1544430084047
null,1,対照 1,68741039,629267,68109319,2453,0.009154167716318632,0.9908101476324791,565.1793523287192
null,2,対照 2,68750399,630522,68117349,2528,0.009171175864739345,0.9907920534395734,565.1566100985196
null,3,対照 3,68734770,628333,68103964,2473,0.009141414163457592,0.9908226069571485,565.2755685223206
null,4,対照 4,68734139,628333,68103256,2550,0.009141498084379874,0.9908214024474795,565.3863130476389
null,5,対照 5,68743436,628764,68112170,2502,0.00914653145938181,0.9908170723383685,565.0267613050912
null,6,対照 6,68742010,627277,68112151,2582,0.009125089592230427,0.9908373496788936,564.7768640297564
null,7,対照 7,68733514,629648,68101260,2606,0.009160713069318703,0.9908013723843655,565.0093404376007
