cov,bin,bin_lab,n,n_fill,n_cancel,n_cens,fill_share,cancel_share,median_life_ms
all,0,全体,549920651,5031446,544869032,20173,0.009149403629142853,0.9908139128966807,565.1206640163643
queue,0,先頭 0,213947625,2948765,210987042,11818,0.013782648907647374,0.9861621132742184,542.1553075464094
queue,1,0-1,56412318,515483,55894688,2147,0.009137773774869525,0.9908241671615055,652.1753268663558
queue,2,1-3,47395000,382462,47011226,1312,0.008069669796392025,0.9919026479586455,595.79927189705
queue,3,3-10,59544912,412293,59131293,1326,0.006924067668451672,0.9930536634263563,545.0379359183333
queue,4,10-30,79287186,419062,78866990,1134,0.005285368558798392,0.9947003290039831,542.6793124243709
queue,5,30-100,67821832,275246,67545529,1057,0.004058368697560396,0.9959260463503846,573.4939136435547
queue,6,100-300,23058174,67178,22990340,656,0.0029134136987603613,0.9970581365202639,757.2433823591045
queue,7,300+,2453604,10957,2441924,723,0.00446567579772449,0.9952396556249501,1274.3028846616592
size,0,-0.3,42853539,1599794,41246993,6752,0.03733166588645106,0.962510774197669,888.8659179540458
size,1,0.3-1,61389259,1222013,60163896,3350,0.019905974105339827,0.9800394560879127,730.8132196613246
size,2,1-3,112443156,1138984,111299864,4308,0.010129420415769903,0.9898322668922598,526.4808527913914
size,3,3-10,132202961,665508,131534992,2461,0.005033987098065073,0.9949473975851418,510.5212256529768
size,4,10-30,124627709,317326,124308755,1628,0.0025461913931194868,0.997440745701263,465.65302264119845
size,5,30-100,64014780,76103,63937441,1236,0.0011888348284568033,0.9987918571304939,721.2071625111071
size,6,100+,12389247,11718,12377091,438,0.0009458201939149328,0.9990188265679101,1559.0852215502707
dist,0,改善 <0,49494677,2240325,47254191,161,0.045263958384858236,0.9547327887400902,358.8417471043632
dist,1,0 最良,38410044,833363,37576600,81,0.02169648647109074,0.9783014047054984,384.3366893002877
dist,2,1-2,30063626,312342,29751219,65,0.010389365540936413,0.9896084723778829,355.83997466303896
dist,3,3-5,34081536,254527,33826909,100,0.007468178664247997,0.9925288871956944,373.57870828275014
dist,4,6-10,44288482,291167,43997148,167,0.006574327835395216,0.9934219014325214,462.4239721270324
dist,5,11-25,89558861,459523,89098868,470,0.005130960743236786,0.994863791311504,527.9529975774573
dist,6,26-50,70280159,285424,69994269,466,0.004061231563235365,0.9959321378313899,687.9971314866464
dist,7,51-100,67366649,142966,67223144,539,0.002122207384844094,0.9978697916234486,1016.6369788458866
dist,8,101-300,80618202,128699,80488168,1335,0.0015964012692815947,0.9983870391949451,1277.6130608732612
dist,9,301-1000,30861465,49486,30809691,2288,0.001603488363238751,0.9983223738730485,2115.6690957807177
dist,10,1001+,14895722,33578,14847643,14501,0.0022542042607938038,0.9967722947568436,457.0488084859231
wallet,0,初回,14186,8160,5761,265,0.5752150007049204,0.40610461017904975,19451.781872995165
wallet,1,1-9,59442,28778,29289,1375,0.48413579623835,0.4927324114262643,26385.09535367707
wallet,2,10-99,220268,76103,139798,4367,0.34550184320918154,0.6346723082790056,20266.944090948775
wallet,3,100-999,846489,156463,684329,5697,0.1848376056865476,0.8084322418838283,7836.050428693068
wallet,4,1k-1万,4186468,339893,3842823,3752,0.0811884863326317,0.9179152927957409,3149.618221768469
