dt,grid_s,series,n,rv,rvol,bv,medrv,rho1,rv_ac1,rv_nw5,rs_up,rs_dn,rq,tq,se_rv,jump,rj,z,mean_abs,max_share,zero_share,ret_sum,park_bp,oc_bp,gap_max_s
2026-06-25,0.0,mid,33162,1696702.7057918403,1302.5754127081627,854558.2724612153,1096599.6196237959,-0.09052959801684117,1389543.0378586333,1311021.509148579,817836.7401391125,878865.965652728,163424804682973.97,11195409161655.746,99278.13901485957,842144.4333306251,0.4963417754070249,29.581246170404462,2.353790505061262,0.04491729655949857,0.2720583800735782,62.186432641810995,907.6672150683152,62.186432641810896,823.34150596
2026-06-25,0.0,micro,33162,5446229.159189193,2333.715740871024,4205199.121622252,5155849.496741173,-0.2911049525060739,2275548.706044762,2299878.677240715,2664372.224323614,2781856.934865579,268032450462179.97,111144647090836.27,127141.79214255315,1241030.0375669403,0.2278695958786462,21.21009481175834,6.084638477743702,0.017549056037436048,0.00012061998673180146,49.19943405061774,907.6672150683152,62.186432641810896,823.34150596
2026-06-25,0.0,spread,33162,171602394.1652968,13099.70969774891,84054248.5423666,125828905.63576503,-0.2224339617816889,95279034.47814468,67799777.99887247,86251144.0334932,85351250.1318036,2.9259677339243136e+17,7.31772241205035e+16,4200774.864496013,87548145.6229302,0.51018021076442,36.99212257880245,23.651508620157617,0.0023945086673919603,0.2707014052228454,-235.38783873812787,907.6672150683152,62.186432641810896,823.34150596
2026-06-25,0.0,bp,33162,8418.822752685708,91.75414297286912,6715.765736337944,8803.11017811762,-0.3258734791301601,2932.06924531634,2622.321672499615,4091.0912093478787,4327.731543337828,148819177.13242593,121327389.68898709,94.73797330308166,1703.0570163477641,0.20229158712297013,28.781132009997272,0.27162614674706087,0.00045850153907861865,0.24000361859960195,0.0762047547654916,907.6672150683152,62.186432641810896,823.34150596
2026-06-25,0.0,ofi,33162,45841136.2796496,6770.608265115447,59266972.975260966,67663478.55225836,0.6394336181324615,109825224.34425078,207304912.53756338,2912418.5481080026,42928717.73154159,4770062499085416.0,1.4125694836577942e+16,536360.3617669499,0.0,-0.29287748483607157,-34.080641522674085,18.128431940171335,0.005444916497670465,0.00039201495687835475,-496438.60800000746,907.6672150683152,62.186432641810896,823.34150596
2026-06-25,0.1,mid,855180,1783639.471868582,1335.5296596738622,44623.33347130392,104977.9841790801,-0.004018930133136795,1769302.836108719,1715135.61749216,852541.2769508322,931098.1949177498,4309279527913530.5,472088137753.5422,100389.5628661311,1739016.1383972783,0.9749818647910077,75.03594428862539,0.08999107888139803,0.04272797267124562,0.9724888327603546,62.18643264181105,907.6672150683152,62.186432641810896,823.34150596
2026-06-25,0.1,micro,855180,5402520.932690292,2324.3323627851273,196140.69068634722,422573.9369845486,-0.010917494392633207,5284556.954435638,4839969.436488306,2640546.94926088,2761973.9834294124,6983270061239387.0,3548576679115.905,127795.52572097945,5206380.242003945,0.9636945986642064,118.90561861207046,0.23099994266158277,0.01769103385217895,0.962478074791272,49.199434050617356,907.6672150683152,62.186432641810896,823.34150596
2026-06-25,0.1,spread,855180,162609996.83388662,12751.862484903397,3856381.6524788267,8561000.133287285,-0.007401100251230335,160203011.18758687,148910712.03847623,81706889.44056949,80903107.39331713,7.155909855582791e+18,1666172023785217.2,4090898.0884861965,158753615.1814078,0.9762844737250793,109.29966229457798,0.8687806079594409,0.002526925946587226,0.9724327042260109,-235.38783873813063,907.6672150683152,62.186432641810896,823.34150596
2026-06-25,0.1,bp,855180,8284.32475829108,91.01826606946037,401.01282480622257,847.5213398119522,-0.019102369258227968,7967.824297128991,7175.134519786633,4034.8340149741175,4249.490743316963,3818103814.204371,10983272.207922079,94.49527568948871,7883.311933484858,0.9515937826550217,136.44773562818514,0.01029588381181584,0.0004750944335520127,0.971704202624009,0.0762047547654725,907.6672150683152,62.186432641810896,823.34150596
2026-06-25,0.1,ofi,855180,45779109.42928766,6766.0261179874005,461321.6126925842,1123585.3190807349,-0.009585889426174865,45483341.10213965,58984448.25463993,2872006.381384006,42907103.04790365,1.2333285214378603e+17,6813332200435.326,537063.4749594481,45317787.81659507,0.9899228792686506,207.32311706948877,0.7008154961528134,0.005463605939023533,0.9625061390584438,-496438.60800000746,907.6672150683152,62.186432641810896,823.34150596
2026-06-25,0.25,mid,342072,1776287.9533790676,1332.7745320867546,188908.60273495593,313536.4737351763,-0.020396747171230533,1703826.9838737235,1523190.8952657268,845417.6332419505,930870.3201371173,1741564145052551.2,2995414639854.7026,100908.08675021121,1587379.3506441116,0.8936497866938795,73.10430658374467,0.21985186567974324,0.04290481082438097,0.9336426249444562,62.18643264181088,907.6672150683152,62.186432641810896,823.34150596
2026-06-25,0.25,micro,342072,5305188.550935529,2303.299492236198,805853.2101189629,1586941.4774034088,-0.05656279180341085,4705036.01491976,3769345.403397219,2595628.522952727,2709560.027982802,2810786628041836.0,34872616253730.12,128194.7305309671,4499335.340816567,0.8481009294237325,86.73882971110596,0.5612039796379846,0.01801560487241782,0.9109602656750626,49.199434050617356,907.6672150683152,62.186432641810896,823.34150596
