d,buy_sz,sell_sz,buy_usd,sell_usd,n_buy,n_sell,volume_usd,net_usd,buy_share,z_hac
2026-05-04,22652.11,24504.238,28031295.7392,30132360.0962,25314,15311,58163655.8354,-2101064.357000001,48.19383399579808,-0.7183978166574584
2026-05-05,36138.387,29440.397,49855042.462,40675225.4834,19987,15527,90530267.9454,9179816.978599995,55.070026404945835,2.2192475427147786
2026-05-06,30556.932,38555.055,43532441.8366,54563553.4903,36681,24685,98095995.3269,-11031111.653700002,44.3773894046646,-3.2839220272529013
2026-05-07,31947.05,33702.113,43081643.3642,45396715.8028,21781,18894,88478359.167,-2315072.4385999963,48.69172955941104,-0.7529686761876835
2026-05-08,49832.589,46278.613,73366363.3589,68063999.5856,26458,27570,141430362.9445,5302363.773299992,51.874549305717586,0.9527973802896395
2026-05-09,2584.583,3248.093,4048341.9781,5088472.775,5467,8790,9136814.7531,-1040130.7969000004,44.30802295435016,-0.5075745434080514
2026-05-10,5490.923,3818.013,8618820.1683,5991954.6854,9320,9791,14610774.853699999,2626865.4828999992,58.98948039786808,1.1544299031789977
2026-05-11,47510.832,33467.369,74975543.4042,52485432.6549,39652,36744,127460976.0591,22490110.749300003,58.82235153246904,3.802889897094641
2026-05-12,52922.331,51533.98,76176988.6234,74233984.6139,34658,35627,150410973.2373,1943004.009499997,50.645898356908624,0.5017818183321184
2026-05-13,34267.892,31486.357,49987811.8711,45935999.904,33569,33392,95923811.7751,4051811.967100002,52.111994869740876,1.7948353376632475
2026-05-14,33131.101,33112.661,46766529.9686,46668890.8805,29691,32278,93435420.8491,97639.08809999377,50.052249504102775,0.03540881322908436
2026-05-15,57144.419,65078.185,78529359.61309999,89142853.7301,38743,44735,167672213.3432,-10613494.117000014,46.83504681384632,-1.8926982128692977
2026-05-16,2698.754,1699.193,3740833.1592,2351740.0546,8354,6578,6092573.2138,1389093.1046000002,61.39988848598185,2.4984553055361025
2026-05-17,2631.49,1907.16,3689801.5023,2671494.7362,11043,9169,6361296.2385,1018306.7660999997,58.00392504861649,2.701013594351005
2026-05-18,39844.414,42674.084,53394401.2187,56941827.9024,43070,27398,110336229.12110001,-3547426.6837000027,48.392447017648884,-0.9064182498221218
2026-05-19,59018.518000000004,51907.21,79407300.3053,69756516.667,30133,34999,149163816.9723,9650783.638300002,53.234961344577336,1.9991433680347224
2026-05-20,23949.742,27135.148,33755500.3641,38211650.0048,17467,21340,71967150.3689,-4456149.640699998,46.904039122114746,-1.6697816953155875
2026-05-21,32978.397,34249.633,48411193.7177,50798352.9908,22293,22995,99209546.7085,-2387159.2731000036,48.796910502920646,-0.5828710283369253
2026-05-22,18468.225,20259.289,27855869.3093,30541016.3627,21698,17277,58396885.672000006,-2685147.0533999987,47.70095012559251,-1.681875773128296
2026-05-23,2407.156,2241.732,3584676.61,3339438.4565,9527,6889,6924115.0665,245238.15350000001,51.77089888848398,0.6213858805159711
2026-05-24,1236.526,2110.718,1869944.0345,3180216.1629,5789,4154,5050160.1974,-1310272.1283999998,37.027420149220475,-1.6370805260748371
2026-05-25,2349.854,2759.473,3610809.6217,4243942.8279,5408,6059,7854752.4496,-633133.2061999999,45.96974436646796,-0.8987789456206758
2026-05-26,37741.569,32528.394,59901146.3417,51573035.5914,29211,23175,111474181.9331,8328110.750300005,53.73544376190086,1.638990143399833
2026-05-27,30563.409,30240.843,48742676.1832,48163023.7987,30026,24818,96905699.9819,579652.3845000044,50.299080644692864,0.21121619518266252
2026-05-28,31500.858,36390.164,51436284.3944,59560877.4684,26763,27255,110997161.8628,-8124593.074000001,46.3401798128665,-1.8953345923357399
2026-05-29,20977.539,17188.899,35098561.4787,28729793.3311,19577,14881,63828354.8098,6368768.147599999,54.988980341556726,2.0815262991099113
2026-05-30,1325.583,1444.628,2234165.4899,2435300.9054,6015,3108,4669466.3953,-201135.41550000012,47.846269803949646,-0.3661990922939933
2026-05-31,2335.69,1569.352,4006881.0702,2690724.6653,6456,4640,6697605.7355,1316156.4049,59.825573920571664,1.9572505434026775
2026-06-01,20224.724,26982.121,35419696.672,47296907.8585,23149,22952,82716604.5305,-11877211.186499998,42.82053993033495,-2.9501789917054535
2026-06-02,21119.592,17426.427,36660386.8991,30218106.1282,21576,16698,66878493.0273,6442280.7709,54.816406948845454,2.263628375280817
2026-06-03,21414.568,26793.969,38109792.8,47995479.7693,26595,24326,86105272.5693,-9885686.969300002,44.259534477784904,-2.7122676445236666
2026-06-04,28424.031,29554.37,50626438.3576,52443490.6091,28679,27912,103069928.9667,-1817052.2514999956,49.11853424674085,-0.49470263732047914
