dt,n,n_smp,A_aggr_1s,A_cancel_10s,A_add_10s,A_ofi_1s,A_spread_bp,A_queue_ahead_qty,B_ndiff,B_cell_d,B_now_d,B_cell,B_now,C_back,C_fut,C_leak,C_q
2026-05-07,189307,3000,3.895931528709672e-8,3.962708444965106e-8,4.094690629561724e-8,3.0127597717662466e-8,3.417999618875263e-8,1.6264915995900817e-8,1495,0.8802675585284281,0.012040133779264214,0.8983333333333333,0.4656666666666667,0.44044439978114985,0.4434815038131288,0.7906220480353733,0.6259493741555846
2026-06-22,364606,3000,2.6041666640392376e-8,3.83973130940648e-8,3.7280490976444525e-8,3.227606728767849e-8,4.054015031904754e-8,2.4787205231284373e-8,1952,0.7704918032786885,0.0010245901639344263,0.7756666666666666,0.275,0.3992677966101695,0.4145342595165324,0.735941317032509,0.6992902472909142
2026-08-06,578011,3000,2.905867207247066e-8,3.5504126435057104e-8,3.530441829080939e-8,1.98897785468658e-8,4.6157930439245776e-8,3.7375700607377846e-8,2028,0.7657790927021696,0.002465483234714004,0.7696666666666667,0.253,0.3929434284085861,0.36424693443076384,0.6910113654460267,0.6987318643187018
