coin,regime,name,h,n,fwd_bp,se,t,fwd_placebo_bp,fwd_all_bp,fwd_rv_bp
SMSN,1,R1 低ボラ/中立,10,3355620,-0.010281791592544519,0.015373696063238797,-0.6687911319601332,-0.00034071384502552213,0.0004964827891300416,2.4731551186307574
SMSN,2,R2 低ボラ/上,10,674429,0.38716570925436783,0.0693951221340159,5.579148754961094,-0.009928576975716169,0.0004964827891300416,3.3599050677765327
SMSN,3,R3 低ボラ/下,10,660115,-0.4666219659326324,0.09757873612163567,-4.782004609600293,-0.0042320932498548566,0.0004964827891300416,3.5704139738875478
SMSN,4,R4 高ボラ/上,10,600018,0.17786952115053087,0.12926781001507018,1.3759769050763269,-0.0032083002865839786,0.0004964827891300416,4.763862228641477
SMSN,5,R5 高ボラ/下,10,589641,-0.17085294687604724,0.11832720119052367,-1.443902544444955,-0.02203444560117006,0.0004964827891300416,4.809492720996623
SMSN,6,R6 高ボラ/両建て,10,2671966,0.00866609718567882,0.014811335365008992,0.5850989780537968,0.025113017115021175,0.0004964827891300416,3.6962911320582688
SMSN,1,R1 低ボラ/中立,60,3355620,-0.12378937185964536,0.10463984470921199,-1.1830041625505923,0.0007401077261636837,0.0027388713995508394,8.969251267676777
SMSN,2,R2 低ボラ/上,60,674429,0.8459555462438051,0.13730991511856602,6.160921048660828,0.002096108324464875,0.0027388713995508394,11.295200619990046
SMSN,3,R3 低ボラ/下,60,660115,-0.5536330521387631,0.4140453146042713,-1.3371315472266712,-0.02486037821532946,0.0027388713995508394,12.306543268408626
SMSN,4,R4 高ボラ/上,60,599993,0.20953703383858405,0.273201148481049,0.766969813280704,0.0610316654398848,0.0027388713995508394,13.858191093084137
SMSN,5,R5 高ボラ/下,60,589639,-0.2006653207770294,0.2446766246081379,-0.8201246077282828,-0.05846070913062219,0.0027388713995508394,14.116910173330814
SMSN,6,R6 高ボラ/両建て,60,2671943,0.06815133924414381,0.061559466026257906,1.1070813904570609,0.03463038031879285,0.0027388713995508394,10.938862800623808
SMSN,1,R1 低ボラ/中立,300,3355552,-0.3685073272036054,0.30467714472286167,-1.2095010524626142,0.029240632958495428,0.012541489261523372,25.0812433759599
SMSN,2,R2 低ボラ/上,300,674365,0.7457713912045705,0.36266799941812417,2.0563473821818006,-0.006227546138736293,0.012541489261523372,29.1447992168259
SMSN,3,R3 低ボラ/下,300,660113,-1.6358186945016928,0.854422025302056,-1.914532451247844,0.06854882608643868,0.012541489261523372,30.89171121118272
SMSN,4,R4 高ボラ/上,300,599967,0.2089031083595808,0.4276694968144858,0.4884685719126671,-0.025108752489796375,0.012541489261523372,32.313981756906536
SMSN,5,R5 高ボラ/下,300,589619,0.31839906090419157,0.5208564744417437,0.6112990363524868,-0.017027154967863684,0.012541489261523372,33.10359721356254
SMSN,6,R6 高ボラ/両建て,300,2671883,0.17409621706433281,0.25401243956571945,0.6853846109347322,-0.019388971348671576,0.012541489261523372,26.977294484521252
DRAM,1,R1 低ボラ/中立,10,3302835,-0.011935270829767062,0.010192369635814524,-1.1710005873244858,0.0003721714013316781,0.0021041268904886242,2.508170191012131
DRAM,2,R2 低ボラ/上,10,966055,0.29525933981730557,0.030220751541399294,9.770085942860518,-0.006799289098486811,0.0021041268904886242,2.8255525675869415
DRAM,3,R3 低ボラ/下,10,881259,-0.32934619290405,0.04485907710323942,-7.341796001422125,-0.010104899373562449,0.0021041268904886242,2.9027933419135192
DRAM,4,R4 高ボラ/上,10,678623,0.27910613628170156,0.06102556114023472,4.573593934520732,0.014690907368303007,0.0021041268904886242,3.9126998639450483
DRAM,5,R5 高ボラ/下,10,658622,-0.3383219172714586,0.04063233846576639,-8.326420039951726,0.0245447328866397,0.0021041268904886242,3.90922371682639
DRAM,6,R6 高ボラ/両建て,10,2006038,0.013740414885788732,0.013614104490938807,1.009277906962885,0.01416342990167927,0.0021041268904886242,3.58999965709181
DRAM,1,R1 低ボラ/中立,60,3301160,-0.05197426152767965,0.0542518955944885,-0.9580174288501684,0.03650060947319047,0.015338595021636326,8.39040349440066
DRAM,2,R2 低ボラ/上,60,965443,0.8275020226568881,0.10974196894775252,7.54043353323519,-0.0028099665898110226,0.015338595021636326,9.018863614403667
DRAM,3,R3 低ボラ/下,60,880921,-0.7810542185753927,0.13270691516171584,-5.885557791947803,0.026073717306138524,0.015338595021636326,9.1014870647727
DRAM,4,R4 高ボラ/上,60,678142,0.9100867826701734,0.1169683772439757,7.780622456374603,0.005055612284952396,0.015338595021636326,10.880135049399948
DRAM,5,R5 高ボラ/下,60,658231,-0.9470283177999823,0.1434328244123274,-6.6025912944275085,0.03488400113360767,0.015338595021636326,10.900980660917178
DRAM,6,R6 高ボラ/両建て,60,2004585,0.0540295431352795,0.06747258520047338,0.8007629020697496,-0.006733125070521165,0.015338595021636326,10.059263211850924
DRAM,1,R1 低ボラ/中立,300,3292087,-0.05151069677026636,0.23682471603222438,-0.21750557810552754,0.01646381605942695,0.05668219618332442,22.789219908933052
DRAM,2,R2 低ボラ/上,300,963066,1.354240311120074,0.39516585041616586,3.427017566659331,0.016886735214981914,0.05668219618332442,22.703695285606912
DRAM,3,R3 低ボラ/下,300,878725,-1.1659984610918337,0.2981107380677989,-3.9112930605896263,0.021494650113531504,0.05668219618332442,23.15340969643349
DRAM,4,R4 高ボラ/上,300,676073,1.4984865857085792,0.3822318431818182,3.9203604106730228,0.2289498965430948,0.05668219618332442,25.39282257248898
DRAM,5,R5 高ボラ/下,300,656271,-1.120498015891698,0.3599496739568599,-3.112929659233391,0.12849763320782223,0.05668219618332442,25.14373819264223
DRAM,6,R6 高ボラ/両建て,300,1998500,0.17143608558622794,0.29521577846675845,0.5807145081357221,0.114265077732584,0.05668219618332442,23.837675636149168
KIOXIA,1,R1 低ボラ/中立,10,1761485,0.014691886515696804,0.016620444382065697,0.8839647230822598,-0.012520887617693738,-0.018540352953930733,2.2017990693694807
KIOXIA,2,R2 低ボラ/上,10,356023,0.8447319881018954,0.10888624294636236,7.757931261509432,-0.005623515155587317,-0.018540352953930733,3.0110083804803764
KIOXIA,3,R3 低ボラ/下,10,320100,-0.9242604379400226,0.12326074084328285,-7.498417027325457,-0.01691943438858103,-0.018540352953930733,3.2143235044740965
KIOXIA,4,R4 高ボラ/上,10,262841,0.8703449477224887,0.15544143741103,5.599182317267543,-0.05550888421726201,-0.018540352953930733,4.871887013814984
KIOXIA,5,R5 高ボラ/下,10,251193,-1.0735060347811438,0.15204415356926537,-7.0604887434366,0.0015804630843828554,-0.018540352953930733,5.256456737401613
KIOXIA,6,R6 高ボラ/両建て,10,1106468,-0.05058656294364385,0.02790105172247616,-1.8130701110056364,-0.033069437691705755,-0.018540352953930733,4.392594212741826
KIOXIA,1,R1 低ボラ/中立,60,1761474,-0.010579476495958445,0.09833382517809902,-0.10758735843741705,-0.08060257111639421,-0.11201119694381435,9.313736859421264
KIOXIA,2,R2 低ボラ/上,60,356022,2.4624410845395976,0.30927466308829654,7.961987768253042,-0.12031390685435717,-0.11201119694381435,11.481176040852514
KIOXIA,3,R3 低ボラ/下,60,320094,-2.7856701197420253,0.3563539441896279,-7.8171440646653165,-0.02262664048758064,-0.11201119694381435,12.32566148253498
KIOXIA,4,R4 高ボラ/上,60,262838,1.9758368337997256,0.38625555979438453,5.115361536417814,-0.18452629520534647,-0.11201119694381435,14.649091092369058
KIOXIA,5,R5 高ボラ/下,60,251182,-2.877943030785717,0.3967310587191674,-7.254140979224205,-0.11974164746122042,-0.11201119694381435,15.532789871322816
KIOXIA,6,R6 高ボラ/両建て,60,1106450,-0.19070724094798927,0.14035554388379176,-1.3587439132855808,-0.20584928159492577,-0.11201119694381435,13.334763392315523
KIOXIA,1,R1 低ボラ/中立,300,1761362,-0.31484469421650074,0.47232604049893967,-0.6665833920228404,-0.6773380623590497,-0.5586786967234663,27.799130053423983
KIOXIA,2,R2 低ボラ/上,300,355997,4.020220991906952,0.8051121426851197,4.993367729493139,-0.6016847854248651,-0.5586786967234663,32.25136178841341
KIOXIA,3,R3 低ボラ/下,300,320032,-4.831795378175548,0.8924736475324941,-5.413936189079047,-0.5381631228056077,-0.5586786967234663,34.1749887967437
KIOXIA,4,R4 高ボラ/上,300,262817,2.174536524990813,0.8354382732809502,2.602869170035661,-0.34230078954968807,-0.5586786967234663,35.94458003090368
KIOXIA,5,R5 高ボラ/下,300,251179,-4.949393557637979,0.9814496320371296,-5.042941987114359,-0.70671061810897,-0.5586786967234663,37.5429889699304
KIOXIA,6,R6 高ボラ/両建て,300,1106433,-0.9544271044551372,0.5207370126172499,-1.8328389980541993,-0.35418503009680163,-0.5586786967234663,33.21514139506527
