horizon_s,rho_day_med,backward_rho_med,rho_partial,pos_days,n_days,z,p,placebo_z
1,0.26351883636770335,0.42487347813500986,0.04029556374473194,98,98,9.899494936611665,4.1838256077793554e-23,-1.0101525445522108
2,0.24644118459745315,0.43726288097954813,0.040686670081190715,98,98,9.899494936611665,4.1838256077793554e-23,-1.4142135623730951
5,0.21782998843368212,0.35661905223037227,0.04180447344574717,98,98,9.899494936611665,4.1838256077793554e-23,-0.8081220356417685
10,0.19482196185594475,0.30447174252080894,0.039912745204446695,98,98,9.899494936611665,4.1838256077793554e-23,-1.212183053462653
30,0.16656209666960298,0.23291199933801215,0.03562813002766675,98,98,9.899494936611665,4.1838256077793554e-23,-1.4142135623730951
60,0.15887021083060887,0.21749244968801423,0.031830840710892754,98,98,9.899494936611665,4.1838256077793554e-23,-0.6060915267313265
