col,family,h,nday,mean,med,pos,worst,best
mret_500ms,2.1 マイクロプライス,10s,99,-0.04381351466122371,-0.03933407465674734,29,-0.2317030242325279,0.0929277903108445
ret_1s,1.2 中値,1s,99,0.075764213067868,0.07100539381177999,88,-0.056399912270471954,0.1978613210566637
ret_1s,1.2 中値,10s,99,0.04581476020057988,0.04873173332232352,80,-0.10541394804664607,0.15798773537933936
ask_sz,1.1 最良気配,1s,99,0.09899303317197763,0.11638495394354588,78,-0.10521944726572423,0.2597499190256843
ask_sz,1.1 最良気配,10s,99,0.0697140168514017,0.07692099715776135,73,-0.06607250806036932,0.3880180316300659
bid_sz,1.1 最良気配,1s,99,-0.08863564682282779,-0.09917355502655113,20,-0.26682845770866953,0.08720351779815237
bid_sz,1.1 最良気配,10s,99,-0.0623464280114734,-0.062137794478186,25,-0.2880233293345008,0.10664069399114975
ret_500ms,1.2 中値,1s,99,0.07361363966049672,0.07322169922804037,94,-0.05944800082033717,0.22758353722490662
ret_500ms,1.2 中値,10s,99,0.041438001838910214,0.042312406509288525,79,-0.07980854691639974,0.1656896833336619
mret_1s,2.1 マイクロプライス,1s,99,-0.08716713630566733,-0.10308095633556216,28,-0.247614752327043,0.11329491831570647
mret_1s,2.1 マイクロプライス,10s,99,-0.04517212018366041,-0.03667325521869553,34,-0.24484345301930607,0.09627283880310844
vol_imb_30s,51 約定の符号,1s,99,0.034050348639554966,0.031703607664647866,95,-0.013433706709906424,0.1035313999345174
vol_imb_30s,51 約定の符号,10s,99,0.05570681226058064,0.05176764830223125,92,-0.04413364743322759,0.21202457218905565
trd_imb_30s,51 約定の符号,1s,99,0.036968698807503864,0.03753987550753336,93,-0.016436060004271055,0.09471419870510564
trd_imb_30s,51 約定の符号,10s,99,0.054603036201342735,0.05447078305545043,88,-0.03320183762944467,0.24699082065292283
vol_imb_5s,51 約定の符号,1s,99,0.05225742997558108,0.04542794701519169,97,-0.01507032425488172,0.13189782880824255
vol_imb_5s,51 約定の符号,10s,99,0.05255623601118253,0.048745721858387984,86,-0.04043611523762424,0.15424878553053092
trd_imb_60s,51 約定の符号,1s,99,0.03158543002171339,0.030012452963341804,93,-0.03623726135053441,0.09072968344414542
trd_imb_60s,51 約定の符号,10s,99,0.051908144467082445,0.046823082873495916,93,-0.036205494533987394,0.2188070793766782
vol_imb_60s,51 約定の符号,1s,99,0.028170765822768028,0.02415101750436383,92,-0.03289807715433499,0.1032434080268729
vol_imb_60s,51 約定の符号,10s,99,0.05140464094562313,0.041400789819292926,93,-0.03173472974631955,0.21480998207737764
trd_imb_5s,51 約定の符号,1s,99,0.05395482665766868,0.04805165062346623,97,-0.016757659127359763,0.1324316208005013
trd_imb_5s,51 約定の符号,10s,99,0.05028162044755469,0.046000741079552085,83,-0.036753607312855055,0.1577606382488783
