window,side,band,band_i,rate_mean,rate_med,rate_p10,rate_p90,sz_mean,n_days,n_total
(参考) 夜 12 時 UTC,売り(ask),mid より内,0,2.5211567164179103,1.2641666666666667,0.30694444444444446,6.290277777777778,13.395195642620235,67,608103
(参考) 夜 12 時 UTC,売り(ask),0–1,1,7.454830016583748,3.3766666666666665,0.37916666666666665,19.144444444444446,38.6758496268672,67,1798105
(参考) 夜 12 時 UTC,売り(ask),1–2,2,6.68674543946932,2.9575,0.525,17.38888888888889,36.94219520729815,67,1612843
(参考) 夜 12 時 UTC,売り(ask),2–5,3,12.534838308457712,8.398888888888889,1.6872222222222222,29.9275,97.77308799336706,67,3023403
(参考) 夜 12 時 UTC,売り(ask),5–10,4,9.548909618573797,8.539444444444445,1.7722222222222221,19.851111111111113,114.08226358623354,67,2303197
(参考) 夜 12 時 UTC,売り(ask),10–25,5,10.98294361525705,10.186944444444444,2.5452777777777778,23.125833333333333,170.7594750000007,67,2649086
(参考) 夜 12 時 UTC,売り(ask),25–50,6,4.918233830845771,4.371111111111111,0.9502777777777778,9.987777777777778,106.90744820895547,67,1186278
(参考) 夜 12 時 UTC,売り(ask),50–100,7,2.001276948590381,1.4041666666666666,0.3927777777777778,4.828888888888889,74.30654154228809,67,482708
(参考) 夜 12 時 UTC,売り(ask),100+,8,1.9700995024875623,1.6383333333333334,0.6436111111111111,3.5380555555555557,67.44613412935487,67,475188
(参考) 夜 12 時 UTC,買い(bid),mid より内,0,2.5055887230514093,1.0586111111111112,0.2727777777777778,6.265833333333333,12.878680319237112,67,604348
(参考) 夜 12 時 UTC,買い(bid),0–1,1,7.388897180762853,2.742777777777778,0.41555555555555557,21.516944444444444,37.76926320481095,67,1782202
(参考) 夜 12 時 UTC,買い(bid),1–2,2,6.666948590381426,2.750277777777778,0.6255555555555555,17.989166666666666,37.02646604063146,67,1608068
(参考) 夜 12 時 UTC,買い(bid),2–5,3,12.625721393034825,8.556111111111111,1.6555555555555554,30.537777777777777,99.48907999585475,67,3045324
(参考) 夜 12 時 UTC,買い(bid),5–10,4,9.870364842454395,8.737222222222222,2.027222222222222,18.965833333333332,117.70186468491337,67,2380732
(参考) 夜 12 時 UTC,買い(bid),10–25,5,11.136289386401327,10.11888888888889,3.5055555555555555,19.925833333333333,174.59512632670354,67,2686073
(参考) 夜 12 時 UTC,買い(bid),25–50,6,4.94,4.339166666666666,1.2105555555555556,9.172222222222222,104.42421080845727,67,1191528
(参考) 夜 12 時 UTC,買い(bid),50–100,7,1.9637562189054725,1.406111111111111,0.4988888888888889,4.145555555555555,70.89506140547269,67,473658
(参考) 夜 12 時 UTC,買い(bid),100+,8,2.118412106135987,1.4891666666666667,0.6741666666666667,3.702777777777778,68.97824758706396,67,510961
(参考) 昼 12 時 UTC,売り(ask),mid より内,0,1.617226368159204,0.9986111111111111,0.2838888888888889,4.0569444444444445,14.811707077114379,67,390075
(参考) 昼 12 時 UTC,売り(ask),0–1,1,6.300854063018242,3.4816666666666665,1.0908333333333333,16.224722222222223,49.140492396352414,67,1519766
(参考) 昼 12 時 UTC,売り(ask),1–2,2,5.096094527363184,3.306388888888889,1.2002777777777778,12.173333333333334,36.92468181177486,67,1229178
(参考) 昼 12 時 UTC,売り(ask),2–5,3,9.010887230514095,8.23638888888889,2.5883333333333334,17.388333333333332,86.99747353233793,67,2173426
(参考) 昼 12 時 UTC,売り(ask),5–10,4,6.598805970149254,5.94,2.4627777777777777,11.259722222222223,91.53749636401241,67,1591632
(参考) 昼 12 時 UTC,売り(ask),10–25,5,7.585887230514096,6.324722222222222,2.455,14.789444444444445,130.59405742951677,67,1829716
(参考) 昼 12 時 UTC,売り(ask),25–50,6,3.1062271973466005,2.3933333333333335,0.8069444444444445,6.3575,79.31193410447777,67,749222
(参考) 昼 12 時 UTC,売り(ask),50–100,7,1.373084577114428,0.9647222222222223,0.37416666666666665,2.8755555555555556,55.067061496683515,67,331188
(参考) 昼 12 時 UTC,売り(ask),100+,8,1.4452487562189054,1.0897222222222223,0.4875,2.5869444444444443,55.50650293947039,67,348594
(参考) 昼 12 時 UTC,買い(bid),mid より内,0,1.5949502487562188,0.9544444444444444,0.2619444444444444,3.881666666666667,14.720740344112812,67,384702
(参考) 昼 12 時 UTC,買い(bid),0–1,1,6.350385572139304,3.5769444444444445,1.031388888888889,16.148055555555555,49.6930099709798,67,1531713
(参考) 昼 12 時 UTC,買い(bid),1–2,2,5.125136815920398,3.087222222222222,1.1908333333333334,12.759722222222223,37.971005825042305,67,1236183
(参考) 昼 12 時 UTC,買い(bid),2–5,3,9.078184079601991,7.716111111111111,2.6358333333333333,17.333055555555557,89.24755706882115,67,2189658
(参考) 昼 12 時 UTC,買い(bid),5–10,4,6.960791873963515,6.045277777777778,2.7555555555555555,12.161111111111111,97.85315290215466,67,1678943
(参考) 昼 12 時 UTC,買い(bid),10–25,5,7.722458540630182,6.320555555555556,3.046111111111111,15.608333333333333,139.46022086235436,67,1862657
(参考) 昼 12 時 UTC,買い(bid),25–50,6,3.259506633499171,2.495833333333333,0.845,6.871388888888889,79.10664252072958,67,786193
(参考) 昼 12 時 UTC,買い(bid),50–100,7,1.276318407960199,0.9230555555555555,0.3475,2.6805555555555554,53.19949651741306,67,307848
(参考) 昼 12 時 UTC,買い(bid),100+,8,1.3476824212271974,0.9469444444444445,0.39416666666666667,2.468611111111111,50.10214704394607,67,325061
夜 12 時 ET,売り(ask),mid より内,0,1.1283830845771143,0.5158333333333334,0.09944444444444445,2.8130555555555556,5.692836496683237,67,272166
夜 12 時 ET,売り(ask),0–1,1,4.506965174129353,1.9766666666666666,0.5319444444444444,12.92611111111111,21.886356633498746,67,1087080
夜 12 時 ET,売り(ask),1–2,2,3.8299585406301824,1.968611111111111,0.5494444444444444,8.88861111111111,20.17685063847354,67,923786
夜 12 時 ET,売り(ask),2–5,3,6.392993366500829,4.671944444444445,0.9788888888888889,12.763055555555555,52.21489240464393,67,1541990
夜 12 時 ET,売り(ask),5–10,4,4.502354892205639,3.745833333333333,1.101388888888889,7.941111111111111,54.96152495024862,67,1085968
夜 12 時 ET,売り(ask),10–25,5,5.131923714759536,4.278333333333333,0.8716666666666667,9.4,78.84544655058096,67,1237820
夜 12 時 ET,売り(ask),25–50,6,2.1153316749585405,1.6444444444444444,0.30777777777777776,4.342222222222222,48.822585514096176,67,510218
夜 12 時 ET,売り(ask),50–100,7,0.9168698175787727,0.5777777777777777,0.15722222222222224,2.028888888888889,35.58335162520715,67,221149
夜 12 時 ET,売り(ask),100+,8,1.046488391376451,0.6688888888888889,0.2802777777777778,2.5944444444444446,41.9401140215594,67,252413
夜 12 時 ET,買い(bid),mid より内,0,1.1515091210613597,0.43527777777777776,0.1063888888888889,2.796666666666667,5.991023909618544,67,277744
夜 12 時 ET,買い(bid),0–1,1,4.546513266998342,2.1380555555555554,0.4775,12.704444444444444,21.566267126865046,67,1096619
夜 12 時 ET,買い(bid),1–2,2,3.7496310116086233,2.0330555555555554,0.6533333333333333,8.69111111111111,19.2863647056375,67,904411
夜 12 時 ET,買い(bid),2–5,3,6.285464344941957,4.773888888888889,1.0302777777777778,12.842222222222222,52.48437889718021,67,1516054
夜 12 時 ET,買い(bid),5–10,4,4.5626575456053065,3.8566666666666665,1.2908333333333333,8.393055555555556,58.85860417081222,67,1100513
夜 12 時 ET,買い(bid),10–25,5,5.243507462686567,4.493888888888889,1.2680555555555555,8.954444444444444,86.97393165422925,67,1264734
夜 12 時 ET,買い(bid),25–50,6,2.3715547263681596,1.8802777777777777,0.4091666666666667,5.095277777777778,55.23869897180711,67,572019
夜 12 時 ET,買い(bid),50–100,7,0.9250704809286899,0.5758333333333333,0.15944444444444444,1.9958333333333333,34.60950514510758,67,223127
夜 12 時 ET,買い(bid),100+,8,0.990393864013267,0.6788888888888889,0.2175,2.5316666666666667,41.154765451906336,67,238883
昼 12 時 ET,売り(ask),mid より内,0,2.4605431177446104,1.8022222222222222,0.4930555555555556,5.086111111111111,32.159664929519,67,593483
昼 12 時 ET,売り(ask),0–1,1,9.168076285240463,5.746111111111111,1.1594444444444445,22.989722222222223,108.99990903399473,67,2211340
昼 12 時 ET,売り(ask),1–2,2,7.688569651741294,5.195277777777778,2.0508333333333333,16.682222222222222,85.61281638474344,67,1854483
昼 12 時 ET,売り(ask),2–5,3,14.120642620232173,12.65611111111111,5.201666666666667,26.19,183.85157803067597,67,3405899
昼 12 時 ET,売り(ask),5–10,4,10.777794361525704,9.713333333333333,3.9497222222222224,18.804444444444446,193.60247674129153,67,2599604
昼 12 時 ET,売り(ask),10–25,5,10.987719734660033,9.334166666666667,3.709722222222222,20.229444444444443,247.28030703150873,67,2650238
昼 12 時 ET,売り(ask),25–50,6,4.205796019900498,3.4766666666666666,1.4236111111111112,8.018055555555556,138.13109002072989,67,1014438
昼 12 時 ET,売り(ask),50–100,7,1.9154104477611942,1.2883333333333333,0.4988888888888889,4.010555555555555,94.83955542288486,67,461997
