sec,utc,mark,jump1,jump1_wk,pre60,post60,pre300,post300,asym60,asym300
0,00:00,東京・ソウル 寄り,1.050827527651066,0.0,6.1962101678103565,21.11156767348632,12.02413742427133,45.58765824003608,3.4071742406611776,3.7913454106084217
1800,00:30,"",1.3606491224393835,0.21421418205491705,12.317409974587079,10.617458490207454,23.663602817860507,33.38863282055016,0.8619879107793834,1.4109699641911466
3600,01:00,台北 寄り,1.4887229266058455,0.43428224009822713,5.796381564184827,14.703249052923084,18.145073654096677,23.299028915362285,2.5366254602307006,1.2840415729093488
5400,01:30,"",0.8533879506789077,0.06410276956358985,9.818361122571062,8.810549149709246,15.110162040352648,21.024332399042223,0.8973543588099449,1.3914035033440015
7200,02:00,"",0.7842494202403572,0.3582184262818089,8.586040429960917,9.723370886156602,18.867465790810556,15.279490260970974,1.13246274175777,0.8098326733637373
9000,02:30,東京 前引け,0.790319198173961,0.14071030562057274,6.942837585066641,7.519938084010747,15.407845536623554,18.443521958193543,1.0831217051923254,1.1970214728823938
10800,03:00,"",0.7588808029623806,0.4407324974842197,5.55476257290799,8.759252519920935,12.124446791892396,15.567876714177586,1.5768905340152735,1.2840071783388756
12600,03:30,東京 後場寄り,0.8474980274275623,0.20660623435198033,5.109467478892071,7.784066824996216,16.01860307826719,10.968071826971126,1.52345951063458,0.6847083839571356
14400,04:00,"",0.5923420938813706,0.20854260004199432,5.1008151321330075,5.535146424620052,14.01135632049133,15.304091364933825,1.0851493891144846,1.092263376569183
16200,04:30,"",0.6358216117874349,0.1396004634823811,4.625560931730277,6.077527620353962,15.189890634088599,12.334855700579794,1.3139006728164642,0.8120437465756575
18000,05:00,"",0.5181212923055512,0.0591721228282438,4.270361384914878,8.173514587479502,11.231292534965576,19.738512898657135,1.914010045227689,1.7574569300199991
19800,05:30,台北 引け,1.263663361763534,0.06370907885688837,4.693384703298165,5.643341007557368,14.2342024413189,21.306614894083253,1.202403247189953,1.4968604656229019
21600,06:00,東京 引け,0.82346462494165,0.444632178107085,4.4556962762509755,8.677107617840463,12.177273057920601,15.36354735593548,1.9474190070112642,1.261657456711328
23400,06:30,ソウル 引け,0.6568870126777426,0.10820461493032951,6.307464850925371,4.964347064673191,13.069907954141868,13.571811496229103,0.7870590137248042,1.0384014595855038
25200,07:00,欧州 寄り,0.966744006944964,0.06385594099711511,4.470402068772472,9.434477615810621,12.607875069674535,17.557464120425692,2.110431560891174,1.3925791636892328
27000,07:30,"",0.4344898004138287,0.05641987671722859,4.91625201199497,6.448047386271583,9.718426083260567,14.356343014334527,1.3115778789490946,1.4772292232651238
28800,08:00,ロンドン寄り/米プレ,1.4985418063595546,0.2362530269994778,4.780249949032367,13.63193979358357,9.935578111370802,36.08514201453694,2.8517211315159345,3.6319116623157734
30600,08:30,"",0.5545389010475077,0.06758240829185524,8.088726532431423,6.844228174891498,23.76430570979693,17.89885210350839,0.8461440929483574,0.7531822020000996
32400,09:00,"",0.6994794261672155,0.05778993934946186,5.864370318420242,7.903967214826224,16.2643219941927,23.03151346325194,1.3477946967297614,1.4160758420471213
34200,09:30,"",0.50664656980004,0.0,4.679215557175098,8.233123244911766,14.976309367620289,18.3633821542184,1.759509290459405,1.2261620472344925
36000,10:00,"",0.6809295214349476,0.06421514642696025,4.3295330331361015,8.331710430571349,12.082971195521708,17.198745246638225,1.924390082441816,1.4233870931524333
