dt,slope,iv_hat,omega_bp,half_spread_bp
2026-06-25,0.2919156313398091,1582090.4269092265,0.3820442587841159,14.211730699746933
2026-06-26,0.5684298865353917,1578294.77927568,0.5331181325632208,17.936209481063432
2026-06-27,0.5990621314173447,508172.80748285574,0.5472943136089323,15.709884940452318
2026-06-28,0.3242353630576563,543680.6389353767,0.40263840046476956,23.627372618598475
2026-06-29,0.3488333225807381,1768960.9796852786,0.417632208157332,11.71203506054375
2026-06-30,0.23023902398683058,626509.0948598726,0.3392926642198668,14.73221768395387
2026-07-01,0.14705964696324614,668486.6736843362,0.27116383144074185,22.621521711143732
2026-07-02,0.4581304619599907,1442831.3552579267,0.47860759603248604,19.85026651753746
2026-07-03,0.5714477512491669,1993709.9846442656,0.5345314542892527,16.498267193830213
2026-07-04,0.18661537372075307,259363.73526797193,0.30546306955240354,8.291048732345194
2026-07-05,0.16670910108207668,269536.1946658144,0.288711881537699,11.113866615230924
2026-07-06,0.19157205577902273,773075.0416748751,0.30949317906782914,12.519154306088316
2026-07-07,0.28655206818325096,950167.0714529414,0.37851820840169037,11.709466117906103
2026-07-08,0.34604424204694023,811223.0784295397,0.4159592780831678,16.1023540108003
2026-07-09,0.14412970226355015,360828.29246246937,0.2684489730503268,11.379569608420928
2026-07-10,0.28663730938987775,455084.02811365156,0.37857450349295696,9.502381290052623
2026-07-11,0.008470601129631253,43419.32071754632,0.06507918687887569,10.025062656641603
2026-07-12,0.03743064694583001,74332.49313299319,0.13680396000450792,12.793089684675925
2026-07-13,0.22171366382456886,578497.5070931102,0.33295169606458597,15.555710338742713
2026-07-14,0.1225029457686586,517467.1722058409,0.2474903490731089,14.38331535612448
2026-07-15,0.3139014789932937,914816.8123694115,0.3961700890989208,12.75418120563112
2026-07-16,0.16076911058411958,599305.2503496228,0.28352170162451373,11.907339250920051
2026-07-17,0.37048705647444174,1142956.1887254491,0.43039926607421264,11.742946892522012
2026-07-18,0.0307314975717664,82201.79191296395,0.12395865756728411,9.572986771873186
2026-07-19,0.037925435425122285,54533.029721549006,0.1377051840438883,8.897324870989126
2026-07-20,0.2246228469929359,635380.974900597,0.33512896546921744,13.061502640694517
2026-07-21,0.20393556093664372,577858.3962949571,0.3193239428359888,9.095106832524579
2026-07-22,0.17508820915925039,421920.9542314924,0.29587853010927506,9.364480777505113
2026-07-23,0.17811021679577055,312552.60611116583,0.29842102539513743,12.613719177988784
2026-07-24,0.14507845692299165,330045.3582190758,0.2693310759297854,11.191372478680334
2026-07-25,0.06626681210471505,57140.115039842494,0.18202583896897034,8.653276859315831
2026-07-26,0.3011418521902719,196391.81323349444,0.3880346970248098,2.7495188342039816
2026-07-27,0.35822128581611157,745770.7636036064,0.42321465346565657,4.5670010551341536
2026-07-28,0.849755662902873,1053946.1736001554,0.6518265347862393,3.4963676624841082
2026-07-29,0.4350839267239127,989597.221561434,0.4664139399309977,6.624244735733034
2026-07-30,0.4442710044481137,1234378.580032401,0.47131253136751716,11.986096128490836
2026-07-31,0.9441136446178477,2489396.4325758014,0.687063914282306,5.418452292990232
2026-08-01,0.02514118532076586,43654.94197753179,0.11211865438178845,5.929066802732956
2026-08-02,0.08117275685190069,154625.59083296862,0.20146061259201598,5.753438987394461
2026-08-03,0.6045519022316369,936791.6703838732,0.5497962814677982,7.526767065672884
2026-08-04,0.48893497421919174,428790.99316668574,0.494436534966416,4.865483686319047
2026-08-05,0.26679787665863763,508510.2454269493,0.3652381939629518,5.3189195405604215
2026-08-06,0.130085266463973,261314.87505285852,0.25503457262102036,4.408893367765157
2026-08-07,0.1019891480823839,274020.2720019886,0.22581978221845833,4.618217497709027
2026-08-08,0.025979583180390887,35616.537678081586,0.11397276687961666,4.213790894840635
2026-08-09,0.013537295130888343,28669.36759605051,0.08227179082434131,4.515427711347749
2026-08-10,0.09256837039989746,212146.1316490598,0.21513759597045964,4.593320971062736
