stage,q1,q2,q3,q4,q5,spread
1 全候補 E[U(5s)],0.10085350818703258,0.12565723290229364,0.1376999339204652,0.1066581713425688,0.14103157988854617,0.04017807170151359
2 約定した候補 E[U(5s)|Fill],-1.069106874048984,-0.9606037231884187,-1.125468035039376,-0.9586515978864478,-1.00251625659033,0.06659061745865391
3 選別の効果 SP = 2 − 1,-1.1699603822360165,-1.0862609560907124,-1.2631679689598412,-1.0653097692290165,-1.1435478364788763,0.02641254575714025
4 約定時刻からの markout(5s),-0.6136685696972048,-0.5158473881298159,-0.621021851839873,-0.6021874974365391,-0.49169897601610224,0.1219695936811026
5 往復損益 E[Π|Fill],-1.5881012294101917,-1.3711969492554623,-1.3669048719009664,-1.4950827407835061,-1.3757341415765822,0.21236708783360947
