k,var_1d,var_5d,turn_1d,turn_5d
2026-05-04T00:00:00.000000000,75.43931737340709,,0.6851376661555709,
2026-05-05T00:00:00.000000000,205.61974021356997,,0.873418660872617,
2026-05-06T00:00:00.000000000,132.431973091636,,1.5954746660685493,
2026-05-07T00:00:00.000000000,156.36985988782243,,1.5279018092493213,
2026-05-08T00:00:00.000000000,97.66589769739714,133.50535765276652,0.8510410768263557,1.1387507916991293
2026-05-09T00:00:00.000000000,23.90818207806918,123.19913059369894,0.0672406760162153,0.9759490462048794
2026-05-10T00:00:00.000000000,28.850672081647886,87.84531696731453,0.2884888273679297,0.8473544366737645
2026-05-11T00:00:00.000000000,92.47936066217389,79.8547944814221,0.9375996498555251,0.7382047771401603
2026-05-12T00:00:00.000000000,169.10581122574018,82.40198474900566,1.810230839381158,0.8359327575147072
2026-05-13T00:00:00.000000000,69.76233199799302,76.82127160912484,1.8851703849135713,1.1351644988545022
2026-05-14T00:00:00.000000000,53.4320486322245,82.72604491995591,0.6385588896760764,1.1523141994492583
2026-05-15T00:00:00.000000000,58.88747112086876,88.73340472780008,1.0131038624074102,1.2355457219871644
2026-05-16T00:00:00.000000000,52.066738917636485,80.6508803788926,0.078324121474023,1.0454352426417033
2026-05-17T00:00:00.000000000,99.44879338758541,66.71947681126164,0.20574905140923508,0.7751600604999505
2026-05-18T00:00:00.000000000,105.00871566507541,73.76875354467812,1.9917512884123818,0.7930207139495269
2026-05-19T00:00:00.000000000,132.9476369643139,89.67187121109599,1.043132674918655,0.8741657236129019
2026-05-20T00:00:00.000000000,78.21278970671523,93.5369349282653,2.008456011404793,1.053528007040286
2026-05-21T00:00:00.000000000,84.96172556096167,100.11593225693034,0.7907785890241469,1.202893693479163
2026-05-22T00:00:00.000000000,62.28718030576304,92.68360964056586,0.6757895209915489,1.3023269178921255
2026-05-23T00:00:00.000000000,71.6711023753793,86.01608698262663,0.29835519242947234,0.9404333640406111
2026-05-24T00:00:00.000000000,42.83126370219511,67.99281233020288,0.4991015489918148,0.8303033207475444
2026-05-25T00:00:00.000000000,354.0734680046721,123.16494798979427,1.4632713933204893,0.7597054707790363
2026-05-26T00:00:00.000000000,29.53991150497725,112.08058517859737,0.8207942467355893,0.7669680982789571
2026-05-27T00:00:00.000000000,39.72638223977251,107.56842556539928,1.0328468337070464,0.8384212897537968
2026-05-28T00:00:00.000000000,45.573593724733314,102.34892383527007,1.2100108659454516,1.0154322412317576
2026-05-29T00:00:00.000000000,27.42249542527618,99.26717017988628,0.8280406630356121,1.0775370165615483
2026-05-30T00:00:00.000000000,4.488725231925719,29.350221625336996,0.08204887727761297,0.8165718159773251
2026-05-31T00:00:00.000000000,17.41662996471609,26.925565317284764,0.3522328262490288,0.7280619319645772
