dec,n,sd_med,fill_pct,rt_mean,n_pair
0,1430986,-4.030352794979208,12.541702015253817,-2.0763211,99767
1,1413947,-2.1882876949241847,8.302008491124491,-1.4511777,60614
2,1448515,-1.3660817400706904,7.228506435901595,-1.3133861,52901
3,1473056,-0.7652156527737652,6.650731540416658,-1.2177204,48664
4,1485452,-0.24577503989764438,6.365469904109995,-1.1622066,46715
5,1487815,0.2543896609319418,6.149756522148251,-1.1327562,45045
6,1470938,0.7813202256801155,6.082649302689848,-1.1208982,43651
7,1446543,1.3854454468731348,6.122389725020272,-1.1297057,42798
8,1416220,2.2076195809495047,6.397169931225374,-1.1058307,42802
9,1423945,4.152665214456341,7.4540098107721855,-0.9066379,47402
