coin,n_sec,n_days,spread_bp,cover,p_move,p_high,p_high_null,p_dir,share_R6,share_R6_null,run_R1,run_R1_null,run_R6,run_R6_null
MU,8467200,98,1.2445480310685988,0.9997875330687831,0.618134448223734,0.35389227279369284,0.34881403334191335,0.3938426543526999,0.19029317099095483,0.20223649180942524,7.199548859571805,5.26301166020929,5.518376798884614,5.422009913597797
SNDK,8553600,99,1.4353723595116248,0.9997896791994014,0.5118912504676394,0.36848682517284953,0.3477175158776496,0.34064368429527303,0.2153414234030937,0.2000840134922067,8.128316935960338,5.27208423853969,6.230653936203327,5.422619216008201
INTC,8553600,99,2.1694326933502572,0.9997896791994014,0.386676720912832,0.41591554808162634,0.34733743999265965,0.28507001039897906,0.2826768302957471,0.197723068314304,9.360066543943564,5.37533162840387,8.687200606602916,5.543890915895344
AMD,8553598,99,2.7095469845867513,0.9997896791502243,0.4301004092079146,0.40851942380778594,0.34476207871583514,0.3114046529858805,0.2615881173072473,0.19205331338275533,9.402337916473558,5.16065008790396,8.364957690020978,5.509875781123523
SMSN,8553598,99,3.0306310206729377,0.9997896791502243,0.3916516768732877,0.45155820430297766,0.3430076720309571,0.29516736770824475,0.3124450188784839,0.1868941649977196,10.113046282371592,4.862742070571051,10.998057205421714,5.523957961167743
DRAM,8496221,99,2.3146138934706686,0.9997882588035316,0.533196229241212,0.3936571552484678,0.3359301747272112,0.37495087953011996,0.23619911984594125,0.18765447882543784,7.98406597922196,4.601289755089696,7.582958539627348,5.567015954034825
KIOXIA,4059919,47,13.608528010885726,0.9995568877113066,0.4104374988762091,0.39932579618148306,0.3382315784977609,0.29328013957201854,0.272655564645698,0.17552750206171006,11.653501372763058,4.494770106217891,9.438687333122916,5.3775924350734785
SKHX,8553586,99,1.7002465357480696,0.9997896788551609,0.47339303071249883,0.40022886444669403,0.3449431875076714,0.3095584583666548,0.2675482913688098,0.19356168872462953,9.113364782251521,5.053918153853551,8.473599810382309,5.432511046939534
GOLD,8553600,99,0.24195206929595287,0.9997896791994014,0.10336454826038159,0.7128960320755827,0.36284676565010493,0.14718373357845915,0.6134174544052182,0.19089366867478166,16.68833042599325,11.797669862636633,33.04643412854902,7.357387813096338
GOOGL,8553595,99,1.6514367499725384,0.9997896790764585,0.2850803667931437,0.49512500064313975,0.34209722339806364,0.23736160217105273,0.363966820536879,0.18554870423320047,12.4606483681152,5.504453100523797,13.05679420438195,5.665541844681898
AAPL,8553596,99,1.7183606839079428,0.9997896791010471,0.2485047224582503,0.5059220886557527,0.34158793370173157,0.1949808911507137,0.3926657753920024,0.18587473486566627,15.051526766430772,5.634513811616735,14.478560249041733,5.776314778842129
