delta_ms,model,kind,auc_train,auc_test,n_test
500,obi,単変量,0.5068410395415757,0.5180861875842294,234000
500,depth,単変量,0.5175238671999337,0.5140438330035842,234000
500,spread,単変量,0.5074740853029368,0.5213556596989247,234000
500,ofi_1s,単変量,0.5447567095599699,0.5437898211326165,234000
500,ofi_100ms,単変量,0.5209703792191646,0.5181248854480287,234000
500,aggr_1s,単変量,0.513186464077138,0.5072595662222222,234000
500,aggr_100ms,単変量,0.504857835199692,0.5023236736917562,234000
500,qdepl,単変量,0.5144277453717865,0.5094330242293906,234000
500,drift,単変量,0.5152224411625757,0.5106161361433692,234000
500,age,単変量,0.5233631036652291,0.5221705694050179,234000
500,多変量 (ロジット 10 変数),多変量,0.5547367026448157,0.5549438131612904,234000
250,obi,単変量,0.5251717126313531,0.5414612758709677,234000
250,depth,単変量,0.5051628281466489,0.5064419926021505,234000
250,spread,単変量,0.5110858231439601,0.4955241891326165,234000
250,ofi_1s,単変量,0.5764506837719781,0.5725751902508961,234000
250,ofi_100ms,単変量,0.557869437697811,0.561419167311828,234000
250,aggr_1s,単変量,0.5159180025291661,0.5091030093763441,234000
250,aggr_100ms,単変量,0.5083837079723617,0.5034731788387097,234000
250,qdepl,単変量,0.5168683170873589,0.5128993068960573,234000
250,drift,単変量,0.5393752739628238,0.5262590718853046,234000
250,age,単変量,0.5233631036652291,0.5221705694050179,234000
250,多変量 (ロジット 10 変数),多変量,0.5794949175768594,0.576972556157706,234000
100,obi,単変量,0.5301151196325794,0.5488908845878137,234000
100,depth,単変量,0.5061785943746959,0.504244948530466,234000
100,spread,単変量,0.5133889640292635,0.4966789270250896,234000
100,ofi_1s,単変量,0.5852036673146479,0.5858230061648746,234000
100,ofi_100ms,単変量,0.5431275867800782,0.5456131208028674,234000
100,aggr_1s,単変量,0.5194995477482256,0.5141353522007168,234000
100,aggr_100ms,単変量,0.511340388083388,0.5066478391971326,234000
100,qdepl,単変量,0.5229837688407278,0.5155927649032258,234000
100,drift,単変量,0.5463876303504152,0.5353486424086021,234000
100,age,単変量,0.5233631036652291,0.5221705694050179,234000
100,多変量 (ロジット 10 変数),多変量,0.5857295268630643,0.5859140662365592,234000
50,obi,単変量,0.5326370006539467,0.5526850289318996,234000
50,depth,単変量,0.5059199354374618,0.5030514656344086,234000
50,spread,単変量,0.5146631347119686,0.4964314180358423,234000
50,ofi_1s,単変量,0.5880225410900065,0.5894306039283154,234000
50,ofi_100ms,単変量,0.5482193740553074,0.5483243053189965,234000
50,aggr_1s,単変量,0.523252227929434,0.5175886449318996,234000
50,aggr_100ms,単変量,0.5184524742695267,0.5110459170179211,234000
50,qdepl,単変量,0.5264342160746228,0.5185985124014337,234000
50,drift,単変量,0.5497999604398619,0.5371214639713262,234000
50,age,単変量,0.5233631036652291,0.5221705694050179,234000
50,多変量 (ロジット 10 変数),多変量,0.5888383265186665,0.5904341313835125,234000
20,obi,単変量,0.5326478225317337,0.5528124618781362,234000
20,depth,単変量,0.5059360012046868,0.5029465874121863,234000
20,spread,単変量,0.5146249376515004,0.4964405060358423,234000
20,ofi_1s,単変量,0.5874904158758897,0.5897845420501792,234000
20,ofi_100ms,単変量,0.5358251457291012,0.5344416466810036,234000
20,aggr_1s,単変量,0.5238832656010043,0.5160972856200717,234000
20,aggr_100ms,単変量,0.5138822270818362,0.5074433059784946,234000
20,qdepl,単変量,0.5264551970267065,0.5189176776487455,234000
20,drift,単変量,0.5497625870138743,0.5370925990537634,234000
20,age,単変量,0.5233631036652291,0.5221705694050179,234000
20,多変量 (ロジット 10 変数),多変量,0.5886734349456273,0.5905622689032258,234000
10,obi,単変量,0.5326311181855619,0.5528062880573477,234000
10,depth,単変量,0.5059481943914284,0.5029608854480286,234000
10,spread,単変量,0.5146552025974624,0.496443983827957,234000
10,ofi_1s,単変量,0.5880981416948123,0.5899734677562724,234000
10,ofi_100ms,単変量,0.5345121999933138,0.5316835329605735,234000
10,aggr_1s,単変量,0.5237920823712614,0.5164712096344086,234000
10,aggr_100ms,単変量,0.5130641676927765,0.507173844874552,234000
10,qdepl,単変量,0.5264686974397441,0.5189176630824373,234000
10,drift,単変量,0.5497750130559189,0.5376462705089605,234000
10,age,単変量,0.5233631036652291,0.5221705694050179,234000
10,多変量 (ロジット 10 変数),多変量,0.588774392953506,0.5905084110681004,234000
