dt,day_type,kappa_売り,kappa_買い,t_half_売り,t_half_買い,n_売り,n_買い,asym
2026-05-04,立会日,0.6299133615049507,0.8388299323135311,1100.3849497647784,826.3271076786746,1548,1166,0.14224171894969675
2026-05-05,立会日,0.4000144093714133,0.4001887112846493,1732.8055298036982,1732.0508075674288,267,256,0.0002178220863386158
2026-05-06,立会日,0.5664202483598841,0.5647039456808501,1223.7336444209038,1227.4523418182143,946,771,-0.0015173423820976023
2026-05-07,立会日,0.6375648173419028,0.5661334956201102,1087.1791568577655,1224.3528883602119,1543,1405,-0.059343209965973386
2026-05-08,立会日,0.5655637162062245,0.5953501224808819,1225.5865602855656,1164.268141361143,578,595,0.02565772349509014
2026-05-09,閉場日,0.40018871128439704,0.48655157967497165,1732.0508075685202,1424.6119251817527,234,260,0.09739364419444413
2026-05-10,閉場日,0.5484852422451281,0.49339973233114004,1264.0633560560618,1404.8389878224475,104,127,-0.05287100904434403
2026-05-11,立会日,0.5672420003975522,0.7984357415143556,1221.9602569523277,868.1314531903164,1171,1235,0.16928864989271852
2026-05-12,立会日,0.6189967017257085,0.6384718271618592,1119.791395800919,1085.6347156947072,2224,2369,0.015487564888307444
2026-05-13,立会日,0.8003774225686289,0.7294694771562422,866.0254037844389,950.2072427514096,1621,1831,-0.046349700368800824
2026-05-14,立会日,0.589411884394761,0.6019960276615278,1175.9979717268598,1151.41487436802,1005,947,0.010562413711897757
2026-05-15,立会日,0.6138365483351041,0.8003774225686289,1129.2048200370734,866.0254037844389,2378,1530,0.13190427903517207
2026-05-16,閉場日,0.3302149179975092,0.4001887112843201,2099.078941567303,1732.0508075688533,361,186,0.09580154106793361
2026-05-17,閉場日,0.7945852457887503,0.8000977348797121,872.3383478784433,866.3281486369062,739,286,0.0034567930791178734
2026-05-18,立会日,0.611344553437562,1.8205652399970391,1133.8078544326286,380.73186250291917,1936,3158,0.49723089640248835
2026-05-19,立会日,0.6446265783101959,1.7722378294127443,1075.2693169694303,391.1140875811375,2965,3612,0.46655958335905673
2026-05-20,立会日,0.9299104316943616,1.1462664781197516,745.3913376334351,604.6998614989869,2877,1789,0.10420886842670889
2026-05-21,立会日,1.131904606013976,1.1407784581486244,612.3724356956869,607.608936567372,2613,2406,0.003904570890054226
