dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-07-02,5730,33078,24648,1856,1856,3712,1856,944.1562395460691,0,0.0,0.0,0,0.0,0.0,944.1562395460691,0.5,1,0.0,3.5945,0.5087048704450813,0.02747844827586207,0.16702586206896552,0.5948275862068966,0.7790948275862069,0.9423491379310345,0.9849137931034483
2026-07-03,3388,14308,11757,615,615,1230,615,-260.9370183355865,0,0.0,0.0,0,0.0,0.0,-260.9370183355865,0.5,1,0.0,7.84,-0.4242878346920106,0.00975609756097561,0.0991869918699187,0.3723577235772358,0.5691056910569106,0.791869918699187,0.9040650406504065
2026-07-04,358,721,919,31,31,62,31,38.14295928983775,0,0.0,0.0,0,0.0,0.0,38.14295928983775,0.5,1,0.0,57.512,1.2304180416076693,0.0,0.03225806451612903,0.12903225806451613,0.22580645161290322,0.3548387096774194,0.5161290322580645
2026-07-05,788,1747,1341,114,114,228,114,28.707704427604117,0,0.0,0.0,0,0.0,0.0,28.707704427604117,0.5,1,0.0,22.3935,0.2518219686631942,0.017543859649122806,0.15789473684210525,0.2982456140350877,0.3684210526315789,0.5877192982456141,0.7543859649122807
2026-07-06,4487,15561,15493,1043,1043,2086,1043,424.9351782014615,0,0.0,0.0,0,0.0,0.0,424.9351782014615,0.5,1,0.0,3.777,0.4074162782372586,0.030680728667305847,0.19271332694151486,0.5675934803451582,0.7267497603068073,0.9242569511025887,0.9674017257909875
2026-07-07,10165,51779,41587,2580,2580,5160,2580,1110.8131679464252,0,0.0,0.0,0,0.0,0.0,1110.8131679464252,0.5,1,0.0,4.121,0.4305477395141183,0.043798449612403104,0.17790697674418604,0.5523255813953488,0.7399224806201551,0.9395348837209302,0.9856589147286822
2026-07-08,9953,53390,47406,2233,2233,4466,2233,459.07423183297476,0,0.0,0.0,0,0.0,0.0,459.07423183297476,0.5,1,0.0,4.228,0.20558631071785657,0.03493058665472459,0.1768920734437976,0.5503806538289296,0.7313031795790417,0.9341692789968652,0.987012987012987
2026-07-09,7687,28134,25793,1319,1319,2638,1319,564.7944376469432,0,0.0,0.0,0,0.0,0.0,564.7944376469432,0.5,1,0.0,4.34,0.4281989671318752,0.0401819560272934,0.18877937831690675,0.5276724791508719,0.7088703563305534,0.9241849886277483,0.974981046247157
2026-07-10,5962,24368,24621,1190,1190,2380,1190,-37.90385017512976,0,0.0,0.0,0,0.0,0.0,-37.90385017512976,0.5,1,0.0,4.3225,-0.03185197493708381,0.034453781512605045,0.19411764705882353,0.5285714285714286,0.7067226890756303,0.9067226890756303,0.9605042016806723
2026-07-11,3368,10490,10184,363,362,725,362,27.140472869086043,1,-3.590625982823799,0.8970889612081052,0,0.0,0.0,23.549846886262245,0.5006896551724138,1,0.0,36.164,0.07497368195880136,0.0055248618784530384,0.12430939226519337,0.23204419889502761,0.292817679558011,0.4558011049723757,0.6325966850828729
