dt,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,13980,10559,372,372,744,372,846.8589566215636,0,0.0,0.0,0,0.0,0.0,846.8589566215636,0.5,1,0.0,20.357,2.276502571563343,0.005376344086021506,0.04032258064516129,0.17204301075268819,0.31989247311827956,0.5967741935483871,0.75
2026-05-05,15887,15524,304,303,607,303,596.1267225535861,1,1.8756949262832845,0.9938786803305222,0,0.0,0.0,598.0024174798693,0.500823723228995,1,0.0,29.04,1.9674149259194256,0.0,0.019801980198019802,0.12871287128712872,0.24092409240924093,0.5148514851485149,0.693069306930693
2026-05-06,16444,19289,482,482,964,482,1418.7544778961499,0,0.0,0.0,0,0.0,0.0,1418.7544778961499,0.5,1,0.0,20.1205,2.943474020531428,0.008298755186721992,0.04979253112033195,0.1908713692946058,0.3153526970954357,0.6327800829875518,0.8298755186721992
2026-05-07,11933,13429,310,311,621,310,568.468612302824,1,-5.589457359889426,3.173728679944713,0,0.0,0.0,562.8791549429345,0.500805152979066,1,0.0,15.9795,1.8337697171058838,0.016129032258064516,0.06129032258064516,0.2709677419354839,0.38387096774193546,0.632258064516129,0.7903225806451613
2026-05-08,13705,15007,397,397,794,397,624.5260810344655,0,0.0,0.0,0,0.0,0.0,624.5260810344655,0.5,1,0.0,16.255,1.5731135542429855,0.010075566750629723,0.04534005037783375,0.27455919395465994,0.40302267002518893,0.6599496221662469,0.8060453400503779
2026-05-09,10034,8209,1078,1078,2156,1078,5454.478915481013,0,0.0,0.0,0,0.0,0.0,5454.478915481013,0.5,1,0.0,21.1035,5.059813465195749,0.00463821892393321,0.0287569573283859,0.17996289424860853,0.29777365491651203,0.6836734693877551,0.8172541743970315
2026-05-10,7895,10600,681,681,1362,681,226.59727016009347,0,0.0,0.0,0,0.0,0.0,226.59727016009347,0.5,1,0.0,17.79,0.3327419532453646,0.005873715124816446,0.04552129221732746,0.23788546255506607,0.368575624082232,0.6138032305433186,0.7533039647577092
2026-05-11,18396,23303,1055,1056,2111,1055,2387.4758248128674,1,-0.9339999999999999,0.9085668683404821,0,0.0,0.0,2386.541824812867,0.5002368545712932,1,0.0,5.764,2.2630102604861335,0.01990521327014218,0.12796208530805686,0.4606635071090047,0.6445497630331753,0.8796208530805687,0.9545023696682464
2026-05-12,17284,15438,501,501,1002,501,-14.630499467350393,0,0.0,0.0,0,0.0,0.0,-14.630499467350393,0.5,1,0.0,8.15,-0.029202593747205997,0.017964071856287425,0.0998003992015968,0.3872255489021956,0.5708582834331337,0.8283433133732535,0.9441117764471058
2026-05-13,13387,10562,406,406,812,406,376.2894862339074,0,0.0,0.0,0,0.0,0.0,376.2894862339074,0.5,1,0.0,6.2735,0.9268213946647962,0.007389162561576354,0.07142857142857142,0.4458128078817734,0.6083743842364532,0.8645320197044335,0.9458128078817734
