model,term,coef,t,r2,n,oos_r2_vs_mean,oos_r2_vs_rw,oos_r2_vs_best_const,oos_r2_vs_har,placebo_p,placebo_t_hi
HAR,定数,8.213765787975277,1.674548822249952,0.4314906689386676,75,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(t),0.4937825778936678,5.048908621811012,0.4314906689386676,75,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(5日平均),-1.3535297308682803,-5.245523780161888,0.4314906689386676,75,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(22日平均),0.5056663553648552,0.5250854379855985,0.4314906689386676,75,NaN,NaN,NaN,NaN,NaN,NaN
HAR,(標本外),NaN,NaN,0.4314906689386676,75,0.4249254908696243,0.4747454602650619,0.379159375343731,0.0,NaN,NaN
跳び成分 √(RV−BV),追加項,-0.004663160806875108,-0.5733781105263408,0.43303330622205916,75,0.4268744208563853,0.47652555016109954,0.3812634068930023,0.0033890043043433016,0.6964285714285714,3.439472445105234
下向き半分散 √RS−,追加項,-1.2412022800339204,-1.1371647591132399,0.44045648440105245,75,0.4209537222170857,0.47111777466536886,0.37487152169679916,-0.006906528787973265,0.7857142857142857,6.299500049823427
上向き半分散 √RS+,追加項,1.2678456581917272,1.1096613567141849,0.44006166752658027,75,0.41917898272961407,0.4694967847625978,0.37295554323746827,-0.009992632343763574,0.7678571428571429,6.762427022041182
microprice のボラ,追加項,2.5671272270425467,0.17600969136735875,0.4318092896410237,75,0.2885168765299114,0.3501542241672664,0.23189496353172412,-0.2372016359166902,0.9821428571428571,6.70005986818764
スプレッドのボラ,追加項,-0.028544859448542903,-0.1700173477320335,0.4317109555443014,75,0.35730839813118653,0.41298618497002215,0.3061611161152814,-0.11757970778549698,0.9107142857142857,3.062312807577347
板圧力のボラ,追加項,-0.25427758344542445,-0.22547356013219486,0.4325490232038688,75,0.4198833643472559,0.4701401442516695,0.3737159816094534,-0.008767779552588673,0.9464285714285714,5.894184440038911
OFI のボラ,追加項,-0.267966128798957,-1.822952233545677,0.466623570680059,75,0.4526073255179861,0.5000291567016006,0.4090442115551449,0.04813608360110089,0.5357142857142857,7.2191710207490285
