a,b,px,horizon,n,rank_corr,same_sign
KIOXIA,SNDK,micro,1s,64,0.3272893772893773,0.5625
KIOXIA,SNDK,micro,3s,64,0.24505494505494504,0.5
KIOXIA,SNDK,micro,5s,64,0.24844322344322342,0.515625
KIOXIA,SNDK,micro,10s,64,0.35709706959706955,0.5
KIOXIA,SNDK,micro,30s,64,0.48269230769230764,0.484375
KIOXIA,SNDK,micro,60s,64,0.5815018315018314,0.59375
SKHX,SMSN,mid,ALL,630,0.9607565748704932,0.9095238095238095
SKHX,SMSN,mid,100ms,70,0.8983466013472138,0.7714285714285715
SKHX,SMSN,mid,300ms,70,0.9029306272417111,0.9571428571428572
SKHX,SMSN,mid,500ms,70,0.896072084682005,0.8857142857142857
SKHX,SMSN,mid,1s,70,0.8913480885311872,0.9142857142857143
SKHX,SMSN,mid,3s,70,0.9211617531274603,0.9571428571428572
SKHX,SMSN,mid,5s,70,0.9255358236374771,0.9285714285714286
SKHX,SMSN,mid,10s,70,0.9236462251771499,0.9285714285714286
SKHX,SMSN,mid,30s,70,0.9413174700376169,0.9285714285714286
SKHX,SMSN,mid,60s,70,0.9503455515702913,0.9142857142857143
SKHX,SMSN,micro,ALL,630,0.870799372132457,0.7476190476190476
SKHX,SMSN,micro,100ms,70,0.7000087481410199,0.6
SKHX,SMSN,micro,300ms,70,0.652103927915318,0.5428571428571428
SKHX,SMSN,micro,500ms,70,0.720514390691978,0.6428571428571429
SKHX,SMSN,micro,1s,70,0.8672032193158954,0.7428571428571429
SKHX,SMSN,micro,3s,70,0.8974717872452104,0.7857142857142857
SKHX,SMSN,micro,5s,70,0.926060712098679,0.8428571428571429
SKHX,SMSN,micro,10s,70,0.9423672469600209,0.8428571428571429
SKHX,SMSN,micro,30s,70,0.9412124923453764,0.8857142857142857
SKHX,SMSN,micro,60s,70,0.9167526900533636,0.8428571428571429
SKHX,SNDK,mid,ALL,621,0.9478644697289705,0.92914653784219
SKHX,SNDK,mid,100ms,69,0.9366094263792474,0.8840579710144928
SKHX,SNDK,mid,300ms,69,0.9298867373036172,0.8695652173913043
SKHX,SNDK,mid,500ms,69,0.9464742418706613,0.9130434782608695
SKHX,SNDK,mid,1s,69,0.9112897332846183,0.9420289855072463
SKHX,SNDK,mid,3s,69,0.8972963098282793,0.9855072463768116
SKHX,SNDK,mid,5s,69,0.9024479356960177,0.9855072463768116
SKHX,SNDK,mid,10s,69,0.8858604311289734,0.927536231884058
SKHX,SNDK,mid,30s,69,0.905699671172817,0.927536231884058
SKHX,SNDK,mid,60s,69,0.8731092436974791,0.927536231884058
SKHX,SNDK,micro,ALL,621,0.8179846839709836,0.8389694041867954
SKHX,SNDK,micro,100ms,69,0.7881987577639753,0.855072463768116
SKHX,SNDK,micro,300ms,69,0.750785531603946,0.8695652173913043
