dt,vol_usd,hi,lo,o,c,liq_usd,liq_sz,oi_cut_sz,n,n_acct,n_long,oi_mean,oi_close,ret_pct,range_pct,liq_over_vol_bp,liq_over_oi_pct,oicut_over_oi_pct
2026-05-04,48786577.785070494,594.49,542.0,545.79,578.38,780299.2389700001,1320.585,199.468,98,9,0,57620.48750256045,68719.00200000012,5.971161069275732,9.684501845018456,159.94137617268672,2.291867107062081,0.3461754814051796
2026-05-05,62036579.576860316,687.38,578.27,578.5,676.22,1011639.76505,1522.344,370.29,255,73,0,76375.50338427586,67733.66499999957,16.891961970613668,18.868348695246162,163.07149297240468,1.9932359625055112,0.4848282284136606
2026-05-06,59558931.594619885,688.17,628.48,676.24,659.6,285324.83477,447.408,288.774,122,36,118,74404.7366834937,80440.13900000295,-2.460664852715011,9.497517820773925,47.90630508821521,0.6013165558305849,0.3881123875599482
2026-05-07,69311094.01646063,684.02,635.91,659.82,644.8,10030.14438,15.565,14.918,12,4,12,77014.65373353857,77904.93850000383,-2.276378406232016,7.565536003522522,1.4471196166111517,0.020210439501361685,0.019370339639017898
2026-05-08,74262986.67330961,761.21,644.34,644.79,757.99,472905.55413,630.054,162.567,239,29,0,79199.53216127583,81501.73200000473,17.556103537585898,18.13793959710712,63.67984581745404,0.7955274264966697,0.20526257613360782
2026-05-09,9701651.948690007,775.5,756.57,758.51,771.89,77558.62166,101.32199999999999,9.575,61,11,0,83762.86589341267,85929.5440000036,1.7639846541245285,2.502081763749553,79.94372718191832,0.12096290989963396,0.011431079748613284
2026-05-10,18065978.373519946,781.33,754.72,772.6,756.98,27362.32443,35.256,4.526,45,5,0,86684.66295468109,85808.75850000448,-2.021744757960131,3.5258108967564095,15.145775038735845,0.04067155457296051,0.005221223507976493
2026-05-11,148712450.97177,819.0,745.82,756.0,799.27,1043821.32414,1296.163,383.286,544,72,0,86999.19358755054,82134.67350000703,5.7235449735449695,9.812018985814275,70.19058036627666,1.4898563383758525,0.4405627043132129
2026-05-12,164341725.34068054,799.9,707.13,799.02,748.52,602379.28478,827.576,411.80899999999997,311,160,303,79474.20466451721,83681.32550000769,-6.3202422968135945,13.119228430415909,36.6540684376574,1.0413139753879002,0.518166871550789
2026-05-13,139173315.41468868,818.95,748.72,748.87,803.61,681224.53482,859.6179999999999,155.539,154,26,0,93657.59403652266,102643.34150000851,7.30967991774274,9.380008547921781,48.9479274665682,0.9178305388293274,0.16607195775213496
2026-05-14,147417487.86309066,812.2,775.86,803.65,778.11,0.0,0.0,0.0,0,0,0,94225.37252461622,84075.70150000826,-3.17800037329683,4.683834712448132,0.0,0.0,0.0
2026-05-15,155898353.04912907,788.31,714.71,778.18,715.86,1873814.35517,2513.165,539.224,835,184,818,82138.39545947891,83941.24050000819,-8.008429926238136,10.297883057463864,120.19462159292311,3.0596714069485476,0.6564822662819287
2026-05-16,10090190.50980006,720.5,706.19,715.95,712.42,711.5180600000001,0.998,0.148,7,5,7,83909.92155855961,83418.85350000854,-0.4930511907256241,2.026366841784788,0.7051582022251621,0.0011893706744839573,0.00017637961906174918
