band,n,sz_pl,sz_fl,szt,n_fill,n_rf_fill,n_canc,n_rf_canc,dt
5,165062,531469357,7648936,3.756502631647505e+18,3564,190,161498,7078,2026-06-06
4,61695,139487909,3195782,8.448302370429373e+17,1979,101,59716,2357,2026-06-06
0,136009,185211038,37649517,3.747739217035142e+19,20410,2305,115599,4937,2026-06-06
6,227018,1114142862,8077180,7.773589119115893e+18,2357,139,224661,14332,2026-06-06
2,27038,48460512,1698519,4.091330857655959e+17,993,52,26045,1066,2026-06-06
3,30128,58015828,1981302,2.449241301550415e+18,1171,44,28957,1058,2026-06-06
8,595677,20012391792,4456592,5.335122985859781e+20,1276,22,594401,64252,2026-06-06
7,240215,1418874456,5037173,1.2766858950533026e+19,1419,94,238796,21850,2026-06-06
-1,24,278145,0,96926185695654.0,0,0,24,0,2026-06-06
1,58529,99206068,4341249,4.2764261918155955e+17,3409,263,55120,2588,2026-06-06
4,71204,144823296,3614765,9.63527619359604e+17,2146,133,69058,3594,2026-06-07
6,251478,1095465216,8495699,1.0040911565267087e+19,2751,194,248727,18356,2026-06-07
7,266553,1382763838,5575311,1.3204572615595241e+19,1525,79,265028,27688,2026-06-07
0,163084,207462588,30739047,6.892199828566844e+18,25006,2560,138078,7900,2026-06-07
8,710077,24569920878,7336980,5.867456292870059e+20,1439,65,708638,88748,2026-06-07
1,67662,108661944,5544393,4.6880390188524845e+17,4184,297,63478,3613,2026-06-07
3,39326,70464223,1797986,6.86278634716216e+17,1149,53,38177,2707,2026-06-07
5,190368,537423658,8143715,3.4851928146682015e+18,3978,188,186390,10727,2026-06-07
-1,39,335964,1150,133380512009387.0,3,0,36,1,2026-06-07
2,36694,62008602,1788291,3.700011166187151e+17,1200,79,35494,2393,2026-06-07
-1,29,129216,2161,198696959170885.0,1,0,28,1,2026-06-08
6,904060,9394520968,32420079,2.2316595891907265e+19,5980,397,898080,71652,2026-06-08
8,2351865,69495350916,31975031,9.513380527526045e+20,6821,160,2345044,220567,2026-06-08
5,705053,4902500838,36082004,1.1481602697914028e+19,8192,484,696861,61129,2026-06-08
2,148881,628177212,7614048,7.190068088725062e+17,2327,136,146554,18261,2026-06-08
0,671168,2616615936,125515785,5.388570830027956e+18,38695,4279,632473,85906,2026-06-08
1,165462,746077187,17889412,1.5496719811562176e+18,5533,378,159929,21670,2026-06-08
7,950135,12215463742,25785838,4.3454640687641035e+19,3731,211,946404,75380,2026-06-08
4,285074,1512127577,15290318,4.2393116021892813e+18,4298,290,280776,29707,2026-06-08
3,200762,904482068,8477261,3.3396821945507497e+18,2528,158,198234,25012,2026-06-08
5,631496,6423965673,46974537,1.774103653036608e+19,9448,430,622048,53167,2026-06-09
1,127946,905319204,16089017,8.536983254800092e+17,4602,270,123344,13298,2026-06-09
0,609935,6605937463,184024602,5.641794236541231e+18,40155,3656,569780,80538,2026-06-09
7,1066922,20182216595,42649087,4.504948788476448e+19,5378,249,1061544,85964,2026-06-09
2,112844,1179922001,9911985,8.734229937383634e+17,2349,114,110495,12130,2026-06-09
6,834634,11984450246,41700581,2.4791082881242743e+19,7272,384,827362,63163,2026-06-09
4,243212,2349477800,19237466,3.0138273163874575e+18,4822,227,238390,24407,2026-06-09
8,2693712,92421034021,39187807,9.477180980536983e+20,8868,132,2684844,276695,2026-06-09
3,152085,1657558472,11106628,1.422998709073452e+18,2696,130,149389,16650,2026-06-09
0,761072,7938643036,114489741,6.094378482129266e+18,41070,3018,720002,96406,2026-06-10
5,903173,8360810679,36321794,1.0833302016105456e+19,9028,457,894145,74764,2026-06-10
8,3320548,111758136226,18623613,1.0741502050280275e+21,6896,59,3313652,320869,2026-06-10
3,198527,1984344121,7970517,1.1597936639408947e+18,2888,135,195639,19774,2026-06-10
4,331111,2718871873,13742056,2.4071394107123057e+18,4891,226,326220,29148,2026-06-10
2,150398,1434256146,6498875,7.930419106365219e+17,2645,119,147753,14710,2026-06-10
6,1219578,17725686988,31681475,2.668058217734583e+19,6374,367,1213204,98061,2026-06-10
-1,34,364248,1088,317920836142213.0,1,0,33,2,2026-06-10
1,183526,1052288621,13057378,8.525141044592015e+17,6304,344,177222,17398,2026-06-10
7,1395296,27268109933,25442534,5.407054889126707e+19,4130,154,1391166,111826,2026-06-10
6,1053053,17066714227,23696146,3.158877066253648e+19,3861,174,1049192,84279,2026-06-11
4,301457,2403003397,12213440,3.1090307355914097e+18,3230,158,298227,28191,2026-06-11
-1,24,289130,1136,68346313538373.0,1,0,23,0,2026-06-11
3,193168,1848431485,6580907,1.4484122508062461e+18,1914,113,191254,21753,2026-06-11
1,172090,1037341913,12770277,1.1836360871434665e+18,4078,272,168012,17687,2026-06-11
5,821707,7881207578,26937009,1.3386289088089872e+19,5994,254,815713,73334,2026-06-11
8,2471853,70574320979,10392263,1.1186029758628003e+21,1775,28,2470078,226501,2026-06-11
0,722788,7239637228,100382664,6.184499167561561e+18,24141,2530,698647,97157,2026-06-11
7,1132645,25121374112,14618660,6.228133231417223e+19,1823,86,1130822,82894,2026-06-11
2,144489,1316574367,5469942,1.0229959872083771e+18,1638,84,142851,15818,2026-06-11
6,739515,11826943049,14408776,4.528319669583907e+19,3085,114,736430,53097,2026-06-12
2,234372,1569512671,6291080,1.4739039451506678e+18,1994,207,232378,47061,2026-06-12
0,534863,3763234875,53981433,2.5332550325223286e+18,17163,1823,517700,78174,2026-06-12
8,1622738,43906953600,5992032,7.591284066939334e+20,1076,19,1621662,208160,2026-06-12
4,340825,3388609320,7639081,6.512539525550352e+18,2319,126,338506,45824,2026-06-12
7,759167,17298350810,7600547,7.3626386044562194e+19,1379,42,757788,43891,2026-06-12
5,651664,8013093000,16558810,2.7504886725570613e+19,4332,175,647332,54197,2026-06-12
3,290357,2516223136,7181831,3.2003394104271923e+18,1714,167,288643,54181,2026-06-12
-1,3,1451,25,2871162410187.0,1,0,2,0,2026-06-12
1,196929,1027735282,9770989,9.797815617764096e+17,2897,278,194032,36415,2026-06-12
0,62303,58957654,8181048,3.1698972518014285e+18,7504,580,54799,2831,2026-06-13
2,14558,20686605,697930,2.0840035762299936e+17,526,22,14032,926,2026-06-13
4,31225,47224536,1156681,8.143219272631058e+17,958,39,30267,2534,2026-06-13
1,31434,43808364,2557519,2.0409881349694095e+18,1756,70,29678,3880,2026-06-13
3,15524,20658070,761893,6.778318152227482e+17,616,34,14908,1184,2026-06-13
7,95938,580982846,1009697,1.2726832228051714e+19,289,18,95649,5934,2026-06-13
8,297426,9210109256,565521,3.83982596892569e+20,189,11,297237,137893,2026-06-13
6,111048,479627740,2165664,6.916758413752579e+18,803,32,110245,6484,2026-06-13
-1,10,204396,807,406497798780419.0,1,0,9,1,2026-06-13
5,86310,214234775,3107255,3.8737939911994726e+18,1811,63,84499,4726,2026-06-13
8,113764,4242961690,320744,2.84220785503506e+20,51,0,113713,58415,2026-06-14
6,57581,496550768,1737532,3.458371583422011e+19,353,11,57228,3910,2026-06-14
4,105199,541641431,2751839,8.538408960198682e+18,957,122,104242,19795,2026-06-14
2,101943,211435595,4194152,1.9538362878455716e+18,3045,486,98898,19763,2026-06-14
-1,18,255055,0,9733709353961416.0,0,0,18,0,2026-06-14
7,43909,1796063748,1590823,7.949497018740428e+19,112,3,43797,2728,2026-06-14
0,51332,62305289,12676874,6.390939201155944e+18,8435,1815,42897,6025,2026-06-14
5,94577,521544387,2542598,2.8662275893405598e+19,783,80,93794,13511,2026-06-14
3,124925,517522860,4124020,4.360862526245332e+18,1740,198,123185,28685,2026-06-14
1,74185,95219378,5279588,1.875898891958208e+18,4921,693,69264,11357,2026-06-14
4,507255,7904896352,10019510,5.909352268847077e+19,1511,185,505744,97408,2026-06-15
6,154203,4224069104,1090377,1.0117720389009808e+20,184,17,154019,9098,2026-06-15
0,135292,772101312,50154439,2.736001710606441e+18,13226,2705,122066,24028,2026-06-15
-1,10,143855,3863,246290398463076.0,1,0,9,2,2026-06-15
2,523491,3552726658,22167731,1.319882996122619e+19,6458,899,517033,125212,2026-06-15
8,155657,8379508162,1267739,2.383516259465982e+20,23,0,155634,19664,2026-06-15
1,313514,1597816157,21956109,3.6172635385088886e+18,8777,1229,304737,72923,2026-06-15
3,594247,6757476173,15724261,2.2843658069422596e+19,3403,418,590844,148814,2026-06-15
7,109042,5210175126,356278,1.538765627762231e+20,103,2,108939,5675,2026-06-15
5,465469,8973906576,5239539,9.630895690695515e+19,707,123,464762,58119,2026-06-15
6,266078,8116219180,2931587,1.261627357014489e+20,442,36,265636,18152,2026-06-16
7,166746,7768451412,2439300,1.657016272104083e+20,161,1,166585,13357,2026-06-16
8,184983,10522553937,1870246,3.087514083170845e+20,402,0,184581,21506,2026-06-16
2,682719,4406409591,28342498,1.4300899289664367e+19,6735,915,675984,157592,2026-06-16
3,790263,9091285248,24177920,2.427418858348958e+19,3824,542,786439,185160,2026-06-16
5,738095,17722598450,10241684,1.2709774549603513e+20,1550,195,736545,91393,2026-06-16
4,698483,12321618181,15522852,3.6703901852758004e+19,2323,282,696160,131169,2026-06-16
-1,6,30740,0,19665371396487.0,0,0,6,0,2026-06-16
0,194767,993878189,53460775,6.265470640040585e+18,12092,2338,182675,38975,2026-06-16
1,391929,1808370161,29803982,5.328344946157093e+18,8250,1303,383679,86511,2026-06-16
8,151991,8430391647,1261601,2.788052543603677e+20,194,0,151797,14451,2026-06-17
4,798244,16675400715,14009141,4.174552724830513e+19,1935,244,796309,169335,2026-06-17
-1,4,16601,0,54519658776897.0,0,0,4,0,2026-06-17
7,194713,8930322865,1187758,1.6523591722592007e+20,153,3,194560,15700,2026-06-17
0,245544,1441487122,59338998,3.4204243957283666e+18,13407,2850,232137,51709,2026-06-17
6,301184,7976367362,1265857,1.2943181020508235e+20,378,22,300806,22780,2026-06-17
2,736879,5467940370,27216823,1.1165200611162532e+19,6503,1069,730376,168793,2026-06-17
3,879692,11845146556,21473946,2.655051515045002e+19,3901,544,875791,217414,2026-06-17
1,424134,2242411533,28135895,5.468826013417031e+18,8460,1191,415674,88497,2026-06-17
5,886755,20607965581,7491848,1.2606625622438661e+20,1035,158,885720,154326,2026-06-17
0,185310,953684980,41692365,2.5187571345328384e+18,11028,1963,174282,38977,2026-06-18
2,617230,4266780618,28828076,1.3013658988511687e+19,7473,1038,609757,143443,2026-06-18
6,210903,5455733657,1171224,1.2733781674587996e+20,223,10,210680,17442,2026-06-18
8,113319,6901095013,761488,2.589957617458855e+20,58,0,113261,15762,2026-06-18
5,715785,13521252501,4614447,1.1286818621502053e+20,782,115,715003,138982,2026-06-18
7,128970,5208236601,608912,1.481086442447518e+20,99,4,128871,9155,2026-06-18
-1,10,120240,208,203463977090126.0,1,0,9,0,2026-06-18
3,759152,8983100204,21135050,3.066062898336804e+19,4182,555,754970,192335,2026-06-18
4,612323,11898949573,11093683,4.357568849773435e+19,1652,197,610671,132760,2026-06-18
1,365976,1761917537,21821062,8.787883654275359e+18,9076,1204,356900,81153,2026-06-18
-1,6,66891,228,118023807661879.0,1,0,5,0,2026-06-19
5,267319,3499303307,5761985,5.744401800646234e+19,1150,113,266169,50595,2026-06-19
8,85276,4185344893,624492,2.368252866982781e+20,130,1,85146,15646,2026-06-19
3,330106,2004887774,6484690,1.0594078786499174e+19,2763,225,327343,81952,2026-06-19
7,64523,2046754401,1917793,1.0668260548245846e+20,315,11,64208,5235,2026-06-19
2,272685,961458946,6966382,5.242474954222522e+18,3906,396,268779,59505,2026-06-19
1,199530,428048518,9190868,1.6251550510135619e+18,7731,859,191799,39106,2026-06-19
6,123500,1960970765,3495086,8.13779062051708e+19,637,47,122863,11309,2026-06-19
4,262554,2731546639,6034718,2.470773879195704e+19,1529,100,261025,53585,2026-06-19
0,95450,186314148,20705500,1.8744293143911624e+18,9533,1513,85917,16270,2026-06-19
2,111304,311423065,2635985,3.152851282742415e+18,1901,169,109403,19647,2026-06-20
-1,10,119698,0,1.496847572289462e+17,0,0,10,1,2026-06-20
3,163339,804192280,2900889,6.528652235607162e+18,1635,84,161704,38246,2026-06-20
5,172255,2133235171,717008,5.076517632741135e+19,339,31,171916,44543,2026-06-20
4,148455,1378546820,2156459,1.791842022327259e+19,724,50,147731,29761,2026-06-20
8,49608,1730846368,27869,2.092103747928865e+20,22,0,49586,4423,2026-06-20
6,66751,670030858,324854,5.718780478251882e+19,128,25,66623,7157,2026-06-20
7,46182,1101812385,469532,9.692083338145756e+19,66,1,46116,3974,2026-06-20
1,86822,165551961,3124474,1.4435860234669448e+18,3408,277,83414,13733,2026-06-20
0,37899,53063897,6129338,2.801523955571291e+18,4253,474,33646,5198,2026-06-20
4,114919,994782647,1658346,1.4447728351359005e+19,796,40,114123,14873,2026-06-21
7,49650,1144018349,103498,1.0180179849795056e+20,67,1,49583,5084,2026-06-21
5,110974,1292756804,1305212,4.347941130055169e+19,463,53,110511,16778,2026-06-21
8,59191,2241157527,428865,2.2527920444783133e+20,58,1,59133,4149,2026-06-21
3,150887,637001529,2722170,5.473173533899616e+18,1854,100,149033,31930,2026-06-21
6,62958,673322348,516708,5.8692395397632434e+19,143,13,62815,5850,2026-06-21
2,109115,277269494,3202554,2.6796766140491735e+18,2637,183,106478,19879,2026-06-21
0,36468,47674170,5888499,7.229956159241589e+18,4738,689,31730,5266,2026-06-21
1,82667,147979393,3284791,1.1148553096042386e+18,4096,320,78571,12116,2026-06-21
-1,8,70057,20,4.373150034662129e+16,0,0,8,0,2026-06-21
7,178871,7709895593,992359,1.5218608388973953e+20,307,10,178564,11761,2026-06-22
-1,60,593325,6949,972068472239915.0,2,0,58,1,2026-06-22
0,178593,785949727,51489171,4.307505138859977e+18,13370,2820,165223,34607,2026-06-22
5,694935,13777200710,6084103,1.1488869695069492e+20,1578,232,693357,82788,2026-06-22
8,114136,3413045424,431604,2.6745239387434362e+20,119,0,114017,7094,2026-06-22
1,340973,1472026661,22528942,3.367851723945271e+18,9840,1262,331133,69090,2026-06-22
6,301892,7545774231,1076483,1.292491113106496e+20,450,45,301442,24904,2026-06-22
2,535526,3110914441,25489540,8.169599516514019e+18,7700,1134,527826,122075,2026-06-22
4,681579,9909916690,16595022,3.6063654347347763e+19,3110,389,678469,130803,2026-06-22
3,727025,6656950638,24151661,1.8611347151375122e+19,5547,683,721478,178963,2026-06-22
1,540747,3498922678,58323241,4.287945150792655e+18,16554,3367,524193,111621,2026-06-23
5,1304023,23382740606,36282494,1.1009863782392768e+20,5536,756,1298487,159571,2026-06-23
0,332161,1830678740,128522817,3.373122105392422e+18,35927,9162,296234,60934,2026-06-23
-1,2,32322,0,1393411432337457.0,0,0,2,0,2026-06-23
6,672504,16385379797,7684398,1.6897418482533322e+20,1678,171,670826,47863,2026-06-23
4,1062507,13487834476,46045803,3.482471062857471e+19,8031,1106,1054476,185136,2026-06-23
3,1036196,9362029258,59534293,1.5769316482250158e+19,12967,2042,1023229,224096,2026-06-23
8,297226,8907599172,4166986,5.295344930287337e+20,939,1,296287,34436,2026-06-23
7,292139,11218449847,3676094,1.8575080915348016e+20,764,24,291375,19988,2026-06-23
2,844982,6540787889,61718788,8.483576338915714e+18,16080,3067,828902,193820,2026-06-23
6,610133,15520832624,17664605,1.778143536587842e+20,2351,162,607782,46776,2026-06-24
2,1087920,12356220796,65017365,1.2079750258195483e+19,14312,2457,1073608,316444,2026-06-24
0,414367,4653971163,243143218,1.1224784762092808e+19,38316,8436,376051,84561,2026-06-24
-1,5,15629,5630,9377754712177.0,3,0,2,0,2026-06-24
3,1171334,14242198099,65246792,2.5519539995110076e+19,11771,1812,1159563,297976,2026-06-24
1,669774,6893211988,78334593,5.578262324101408e+18,15584,3044,654190,170176,2026-06-24
7,283178,10234211155,8766081,1.6810975767787625e+20,1091,44,282087,18330,2026-06-24
4,1127518,18616572735,56801959,4.280021629290247e+19,7785,1252,1119733,222747,2026-06-24
8,271869,9853455652,9166892,6.486087830167853e+20,1292,10,270577,17985,2026-06-24
5,1160858,23933471725,40281618,1.2199029101964732e+20,5626,707,1155232,149622,2026-06-24
1,589116,3761961764,57592201,5.641832387118196e+18,14448,2544,574668,133075,2026-06-25
0,361098,2790506642,157401898,5.482434186798346e+18,30319,6164,330779,69781,2026-06-25
6,531507,11771936965,21914006,1.8169394269151284e+20,2044,93,529463,50417,2026-06-25
4,1074166,10383838401,45693165,3.061243055865792e+19,5956,941,1068210,169057,2026-06-25
8,218234,3937779560,8437610,6.112670312043307e+20,1066,1,217168,19632,2026-06-25
3,929485,7173326149,50448219,1.756913364481315e+19,9169,1275,920316,175171,2026-06-25
5,1233226,16380790414,41236790,1.4546396591774563e+20,4902,669,1228324,158493,2026-06-25
7,276212,6886862725,6498008,2.366274032045837e+20,856,17,275356,33719,2026-06-25
2,827943,5811802624,56380828,1.0393496612441166e+19,12530,2088,815413,177014,2026-06-25
2,948223,5929543405,53079454,1.3187093716609909e+19,13715,2080,934508,211064,2026-06-26
0,355194,2587930195,114543890,6.843361833544053e+18,25487,5297,329707,74013,2026-06-26
5,1383370,18307989199,28484421,1.2165252440805722e+20,4238,578,1379132,177854,2026-06-26
-1,3,38000,0,17550655596000.0,0,0,3,0,2026-06-26
8,281790,6539734212,1878563,5.849241152252957e+20,424,1,281366,30949,2026-06-26
1,634051,3593601974,52959900,6.615479584559887e+18,15220,2933,618831,147400,2026-06-26
6,547548,10298358055,4215728,1.689569788373795e+20,948,30,546600,61715,2026-06-26
3,1081355,7674586602,44396652,1.8846264084843848e+19,10610,1220,1070745,211970,2026-06-26
7,210739,5092317260,1602324,1.7736699943619448e+20,482,25,210257,18975,2026-06-26
4,1218035,11685499591,35172805,3.3626016035725365e+19,6531,705,1211504,194655,2026-06-26
6,62624,867551644,569270,1.1562824668054518e+20,52,9,62572,12370,2026-06-27
5,154727,1846881226,1518124,6.3204883862676275e+19,343,56,154384,20891,2026-06-27
0,40669,72331140,6612215,2.716191143589339e+18,4419,1080,36250,9360,2026-06-27
7,68598,941836296,365841,1.8599420557292772e+20,45,6,68553,18524,2026-06-27
3,125990,303562749,2912349,1.0198587991610642e+19,1557,213,124433,27920,2026-06-27
8,38848,1077857701,29829,3.448504588744525e+20,24,0,38824,5840,2026-06-27
1,101187,121419227,6449714,3.739767686683476e+18,5653,1148,95534,18494,2026-06-27
2,102749,182238903,4738474,8.295867727742514e+18,3072,453,99677,19569,2026-06-27
4,113909,453514592,1791876,1.3481908768515269e+19,804,108,113105,13407,2026-06-27
8,44191,1386082388,24563,4.021049753207277e+20,14,0,44177,4421,2026-06-28
1,137255,182564116,8120172,4.33547756407809e+18,6365,1439,130890,25841,2026-06-28
3,151280,467601556,5853059,9.570070325091564e+18,2353,277,148927,25232,2026-06-28
2,129879,267563906,7533970,9.102116110356338e+18,4246,673,125633,18695,2026-06-28
6,103560,1329649243,84333,1.2727729881174177e+20,122,6,103438,18082,2026-06-28
7,47822,1356388257,92656,2.1867046990627104e+20,67,2,47755,10771,2026-06-28
5,230496,2010374091,2068020,6.637466999395198e+19,466,74,230030,26450,2026-06-28
0,62577,117071469,11885017,3.4730522301987267e+18,6669,1587,55908,14684,2026-06-28
-1,8,87152,0,4509359580155543.0,0,0,8,4,2026-06-28
4,159498,659232797,2803529,1.5668614557910407e+19,1123,155,158375,17317,2026-06-28
0,322024,2770981592,157277208,5.109476619714744e+18,25003,5813,297021,68442,2026-06-29
4,983487,10535119083,28608218,3.753343827777896e+19,4036,521,979451,152546,2026-06-29
1,542026,3510724112,63583833,7.069706943410319e+18,14716,3009,527310,115353,2026-06-29
5,1250192,18467282675,23048165,1.2783119031406502e+20,2575,360,1247617,160426,2026-06-29
3,936376,7479058996,43211746,2.1926610028960616e+19,6814,907,929562,168683,2026-06-29
6,523106,12357925407,7282343,2.2030329533286547e+20,824,59,522282,62917,2026-06-29
8,199865,4642337009,4371501,5.1002159541522904e+20,554,0,199311,17083,2026-06-29
-1,1,1092,0,213046130388.0,0,0,1,0,2026-06-29
7,204523,8244766558,2460100,2.4054849591756708e+20,558,12,203965,13543,2026-06-29
2,784183,5655892801,59319073,1.492105611692358e+19,10833,1850,773350,157656,2026-06-29
5,805549,11545414931,7349837,1.3344340233217904e+20,1148,115,804401,93359,2026-06-30
3,748012,5261380559,18715764,2.4645254582181716e+19,3172,385,744840,121996,2026-06-30
-1,4,46780,0,27359312999570.0,0,0,4,0,2026-06-30
0,241331,1933101115,65144596,4.454932271695988e+18,12340,3200,228991,50643,2026-06-30
2,646760,3908382158,28355269,1.6080613085916893e+19,5789,990,640971,114851,2026-06-30
8,143635,2133643927,364966,4.1923522934258624e+20,101,0,143534,29189,2026-06-30
4,677329,7765375373,10789048,4.578011142280801e+19,1595,186,675734,99785,2026-06-30
1,447349,2531558948,35290196,7.433195319289883e+18,9096,2032,438253,85903,2026-06-30
6,361982,8004306317,2020782,2.2075721104209478e+20,317,8,361665,42744,2026-06-30
7,143097,4933512575,808718,2.0688635881297904e+20,256,0,142841,14188,2026-06-30
4,813209,12470175708,28022000,6.008001925704141e+19,2712,350,810497,127091,2026-07-01
8,165810,3963196853,3724317,4.484771144493064e+20,510,0,165300,19862,2026-07-01
0,264194,2454545850,160335636,6.979572303517684e+18,20497,4887,243697,55767,2026-07-01
1,531817,3998114273,77152110,9.395602174461487e+18,14401,2987,517416,107122,2026-07-01
2,840564,7355462575,64933604,2.040404058676785e+19,9517,1537,831047,161002,2026-07-01
7,186177,7542140960,2540393,2.6640528032190035e+20,411,10,185766,26003,2026-07-01
6,536237,13605115666,6232567,2.7856014938899107e+20,746,16,535491,82768,2026-07-01
-1,10,97880,0,163545607555715.0,0,0,10,2,2026-07-01
3,951064,10344278343,44997798,3.3121488924065706e+19,5230,712,945834,170462,2026-07-01
5,1093661,19924335246,24097008,1.7887779845687673e+20,2784,290,1090877,140473,2026-07-01
0,785674,14360277262,232748823,1.1023698809330266e+19,33374,6664,752300,133363,2026-07-02
-1,11,101301,812,101298799357995.0,1,0,10,0,2026-07-02
3,974785,12774655232,36252874,2.1342569777635664e+19,5029,621,969756,184832,2026-07-02
4,932587,14053455592,34673887,3.7304903910464496e+19,4579,479,928008,142831,2026-07-02
1,559977,5271722664,58056292,6.029476099696686e+18,10949,1867,549028,111992,2026-07-02
7,754089,18695737587,15110175,1.8753209437165873e+20,1678,99,752411,71585,2026-07-02
5,1518936,23977437353,42252485,1.1782081272715428e+20,5525,477,1513411,184076,2026-07-02
8,1531602,44473245735,15684934,8.810852140830308e+20,3729,22,1527873,131963,2026-07-02
6,1140300,23036002783,24724406,1.918764015624058e+20,3125,216,1137175,141111,2026-07-02
2,901046,9858792532,46603490,1.2472604092863504e+19,7583,1141,893463,184085,2026-07-02
4,299573,2487808504,10946401,2.8509147075025695e+19,2176,226,297397,36146,2026-07-03
3,381471,2509896114,14798478,1.8346508557470476e+19,3241,405,378230,56845,2026-07-03
0,264645,1201556341,71335426,7.392275429628488e+18,15371,3719,249274,35062,2026-07-03
6,278803,3090619486,6346792,1.3932592848014441e+20,1645,51,277158,25955,2026-07-03
7,172350,2904579797,3834167,1.3427672713588195e+20,658,33,171692,7043,2026-07-03
2,355479,1700119369,20467855,1.333385596308022e+19,5084,781,350395,53818,2026-07-03
1,291877,1019502657,27058041,5.77424518844731e+18,11240,1991,280637,45045,2026-07-03
5,437865,3409364602,14643189,8.594528947293705e+19,2869,158,434996,37423,2026-07-03
8,382700,6869520873,3144218,5.3238274290157925e+20,556,15,382144,23011,2026-07-03
2,109567,304113988,4176124,1.3139193092852875e+19,2712,320,106855,12958,2026-07-04
6,46110,407582096,284306,1.1816991083971212e+20,43,2,46067,7734,2026-07-04
5,88895,506651753,676836,6.29688207295417e+19,147,18,88748,9513,2026-07-04
3,150093,529904497,1949884,1.2600019098564411e+19,1318,142,148775,19585,2026-07-04
8,24526,707056372,0,2.3213814069508938e+20,0,0,24526,945,2026-07-04
1,91364,137350910,5723149,4.113846610137332e+18,5751,968,85613,10822,2026-07-04
0,36717,66005024,6587626,3.081013699863756e+18,3726,1018,32991,7941,2026-07-04
7,33577,2054985127,127555,1.765303491398049e+20,19,0,33558,16323,2026-07-04
-1,2,26820,0,1189323810352200.0,0,0,2,0,2026-07-04
4,106093,447771298,669272,1.8754921584997868e+19,413,83,105680,13588,2026-07-04
1,126797,187231136,12219756,4.4219334578126377e+18,10878,2374,115919,17669,2026-07-05
0,60570,117402860,18957714,3.84819979355823e+18,10813,2776,49757,12326,2026-07-05
-1,36,443951,0,1723397622151307.0,0,0,36,3,2026-07-05
4,168324,595848503,3067828,1.3178360066830793e+19,2376,219,165948,21964,2026-07-05
8,35554,815503156,17165,2.6983070122145605e+20,15,0,35539,3210,2026-07-05
7,49946,2939712216,160851,2.1629218808812395e+20,53,5,49893,23400,2026-07-05
2,155259,301557815,10273386,1.1682603368339261e+19,7610,935,147649,19722,2026-07-05
6,90408,628367843,988704,1.0421592245054058e+20,171,10,90237,18660,2026-07-05
3,213971,563503199,5219242,9.740648787276558e+18,4524,378,209447,30092,2026-07-05
5,212948,916462423,3036937,4.847982231331853e+19,1043,87,211905,26624,2026-07-05
6,632626,9776524690,10552647,1.4493563387809338e+20,1998,107,630628,68708,2026-07-06
0,443581,4650316387,109393415,6.454595831772498e+18,26383,5686,417198,79542,2026-07-06
1,557840,3765139237,38298113,6.930784590407437e+18,14311,2372,543529,117023,2026-07-06
5,1065347,13266484149,24439116,8.807818969665883e+19,4529,415,1060818,126767,2026-07-06
8,773861,17431495714,12667471,8.52222431509597e+20,1702,45,772159,69018,2026-07-06
2,748545,5670946807,28707527,1.2687948381784513e+19,9823,1305,738722,154052,2026-07-06
4,810023,8702042257,16673712,3.278543587739775e+19,4117,486,805906,129985,2026-07-06
7,442642,10316946562,8266934,1.895428799778316e+20,1156,68,441486,41750,2026-07-06
-1,5,20934,98,18878572695357.0,2,0,3,0,2026-07-06
3,805848,6892405864,19975704,1.6244027528713468e+19,5943,709,799905,151401,2026-07-06
8,2505023,64827931586,32796921,1.489887522066291e+21,3672,69,2501351,183474,2026-07-07
5,1271099,10036183229,45346154,1.906421519548437e+19,8173,638,1262926,113448,2026-07-07
0,1053851,9469654442,173448666,8.341387590431519e+18,33620,4859,1020231,148997,2026-07-07
3,378113,3069699649,15484758,2.6081936349416484e+18,3351,312,374762,47961,2026-07-07
2,275921,2251132341,12028386,1.7432138975409434e+18,3753,289,272168,33534,2026-07-07
7,1257399,19515084922,19339702,6.5860798452420936e+19,2597,137,1254802,84298,2026-07-07
6,1260970,13962572227,30631927,3.3537822150964593e+19,4713,280,1256257,86204,2026-07-07
4,566017,4001303483,22548128,5.540529529568407e+18,5267,537,560750,63671,2026-07-07
-1,3,56142,4000,5772820199489.0,1,0,2,0,2026-07-07
1,296638,1879624328,22755283,1.9528101892504525e+18,6234,689,290404,29973,2026-07-07
7,1475369,21826332071,22352001,7.805415179800478e+19,2015,116,1473354,105217,2026-07-08
-1,44,637172,2858,9.418102993457842e+16,2,0,42,2,2026-07-08
3,427900,3873108092,13975868,3.377764721107069e+18,2976,288,424924,57041,2026-07-08
4,659359,5045730826,24647793,6.980708837830071e+18,4618,474,654741,80000,2026-07-08
1,313334,2370125911,29836264,2.500251789047132e+18,5575,558,307759,34385,2026-07-08
6,1376487,15179259679,33995150,3.715254536408779e+19,4187,211,1372300,100878,2026-07-08
2,311821,2874066613,13803986,2.2549737622834583e+18,2838,262,308983,40085,2026-07-08
5,1430492,11858907341,45878865,2.29457663132956e+19,7191,523,1423301,137002,2026-07-08
0,1228693,13370079368,216739101,1.1791152069646893e+19,31560,5327,1197133,182439,2026-07-08
8,3387495,65663576650,21291199,1.46871170785795e+21,2819,32,3384676,219073,2026-07-08
1,615718,6015526279,63669849,8.982175355274768e+18,14318,2846,601400,148349,2026-07-09
0,731471,6429719522,152085399,5.896537129066721e+18,29606,7274,701865,127987,2026-07-09
