band,n,sz_pl,sz_fl,szt,n_fill,n_rf_fill,n_canc,n_rf_canc,dt
1,31734,374216575,3454046,1.0191398697927386e+18,758,33,30976,3384,2026-05-08
6,244609,3350229939,6399235,7.452020254140244e+18,1547,72,243062,43085,2026-05-08
7,370245,4578644694,5413902,1.6823046627056058e+19,1042,58,369203,84405,2026-05-08
-1,78,1314465,6599,7.16068039675881e+16,1,0,77,16,2026-05-09
0,31574,100096994,6039906,3.6012668071848535e+18,7439,157,24135,1434,2026-05-09
5,16964,37735763,839432,7.638808372555451e+17,1680,45,15284,1270,2026-05-09
4,8634,21864297,713235,4.5298696727675526e+17,851,27,7783,710,2026-05-09
3,5018,16706128,614968,2.8043216973780698e+17,553,11,4465,431,2026-05-09
1,10171,9542295,949344,5.693221276317678e+18,1211,31,8960,924,2026-05-09
2,4730,21663447,847859,5.773813651233859e+17,486,25,4244,338,2026-05-09
6,17841,64993635,928207,1.9831372425061796e+18,1405,59,16436,2354,2026-05-09
8,177664,3778986313,1118288,3.6394684698284976e+20,547,56,177117,49608,2026-05-09
7,33355,157662076,431366,1.828085814355841e+18,675,43,32680,11434,2026-05-09
4,10385,14854001,630446,2.9384524768360006e+17,865,15,9520,450,2026-05-10
0,36661,89429178,13056001,2.4356360281452974e+19,8290,350,28371,1462,2026-05-10
3,5587,9090276,588572,1.9351180473734995e+17,509,9,5078,223,2026-05-10
8,171620,5431386395,6371120,5.072418630928106e+20,1283,3,170337,33938,2026-05-10
2,5130,8395241,436133,1.453523459991344e+17,510,4,4620,362,2026-05-10
7,26038,65100335,988735,2.3278207006940933e+18,1172,5,24866,2984,2026-05-10
6,20778,30696797,692241,7.087930433681513e+17,1475,10,19303,975,2026-05-10
1,10204,10914881,805993,5.625719666884456e+17,1046,68,9158,1290,2026-05-10
-1,8,290303,0,1.6732899293309168e+16,0,0,8,0,2026-05-10
5,21581,19674413,846379,9.765301367639245e+17,1661,11,19920,849,2026-05-10
5,199471,2468234302,16903188,5.301906888584692e+18,5445,187,194026,14243,2026-05-11
-1,1,1222,1222,1133665211458.0,1,0,0,0,2026-05-11
2,26940,226344289,3233907,8.58446695567008e+17,1093,64,25847,1607,2026-05-11
3,35759,339916418,3803473,7.261269824786266e+17,1438,63,34321,2086,2026-05-11
4,78872,822704885,8724153,2.3123761473453747e+18,2794,85,76078,5424,2026-05-11
7,288997,2616948247,12347394,1.4099327629858572e+19,3567,153,285430,15375,2026-05-11
8,1181366,39458204964,23266120,6.52750023978227e+20,6341,312,1175025,83650,2026-05-11
6,228708,2872146684,15582475,7.099425524470596e+18,4367,174,224341,16504,2026-05-11
0,215604,1691668800,89096000,6.829287132145074e+18,21549,1076,194055,14055,2026-05-11
1,41043,275463501,7783757,6.123777001089683e+17,2415,461,38628,3447,2026-05-11
3,54469,624665265,6052705,1.3145947646944737e+18,1537,62,52932,4029,2026-05-12
6,369364,5119843661,17798733,1.2219249208549802e+19,3175,147,366189,38596,2026-05-12
8,1451005,44610687499,24163011,6.546343672904274e+20,5921,143,1445084,219947,2026-05-12
1,75504,590037979,11387523,1.1956574653459128e+18,3531,830,71973,8494,2026-05-12
5,321120,4579926235,24869391,9.289962951862553e+18,4631,204,316489,31407,2026-05-12
-1,1,2400,0,8307978496800.0,0,0,1,0,2026-05-12
0,253990,2266565854,92865233,5.618742592642159e+18,17196,1336,236794,21836,2026-05-12
7,454385,4337336817,10277206,1.951038512046185e+19,2317,81,452068,64648,2026-05-12
2,43294,420839868,4972956,8.482460291975192e+17,1558,170,41736,2903,2026-05-12
4,122051,1514933258,12230008,3.161425711358193e+18,2772,121,119279,11314,2026-05-12
0,204580,1345196456,79646914,5.539524034620459e+18,15765,1253,188815,15165,2026-05-13
8,1206354,36785584888,19314270,6.983299290912961e+20,4406,114,1201948,184584,2026-05-13
