group,lag_ms,corr,n_days
08-13.5 プレ,-700,0.000989413441526992,99
08-13.5 プレ,-600,0.001457849007736744,99
08-13.5 プレ,-500,0.0021199163159448323,99
08-13.5 プレ,-400,0.002942534981877298,99
08-13.5 プレ,-300,0.0040300073795137715,99
08-13.5 プレ,-200,0.008172478907268655,99
08-13.5 プレ,-100,0.0030115976739510286,99
08-13.5 プレ,0,0.002711051713983767,99
08-13.5 プレ,100,0.009509131458169558,99
08-13.5 プレ,200,0.039839047548638366,99
08-13.5 プレ,300,0.02976049888601325,99
08-13.5 プレ,400,0.0182787310911725,99
08-13.5 プレ,500,0.03704845508732069,99
08-13.5 プレ,600,0.032581723348679995,99
08-13.5 プレ,700,0.012052022876166598,99
08-13.5 プレ,800,0.007674773280328017,99
08-13.5 プレ,900,0.00871866291752468,99
08-13.5 プレ,1000,0.00771818219733464,99
08-13.5 プレ,1100,0.004056923488059268,99
08-13.5 プレ,1200,0.0060045724532543105,99
08-13.5 プレ,1300,0.004432789867654343,99
08-13.5 プレ,1400,0.0023107466941191053,99
08-13.5 プレ,1500,0.0035128173337045485,99
08-13.5 プレ,1600,0.003177554280873336,99
08-13.5 プレ,1700,0.002216994902627113,99
08-13.5 プレ,1800,0.0021102410376615884,99
08-13.5 プレ,1900,0.0030478186692668267,99
08-13.5 プレ,2000,0.000817537213223288,99
13.5-20 現物,-2000,0.0007109272124464403,99
13.5-20 現物,-1900,0.00010149526448365933,99
13.5-20 現物,-1800,0.0012191557836747184,99
13.5-20 現物,-1700,0.000844769871346093,99
13.5-20 現物,-1600,0.0009728727126668522,99
13.5-20 現物,-1500,0.0010711327364881318,99
13.5-20 現物,-1400,0.0010138633348979644,99
13.5-20 現物,-1300,0.0007409864746073366,99
13.5-20 現物,-1200,0.0009003714315696055,99
13.5-20 現物,-1100,0.000880097188109475,99
13.5-20 現物,-1000,0.001767918788119214,99
13.5-20 現物,-900,0.0015473894922677833,99
13.5-20 現物,-800,0.0015973626130431906,99
13.5-20 現物,-700,-0.00040002793687880046,99
13.5-20 現物,-600,0.0013205179514184375,99
13.5-20 現物,-500,0.0014166182024160894,99
13.5-20 現物,-400,0.0018070906957184684,99
13.5-20 現物,-300,0.0028200701828987973,99
13.5-20 現物,-200,0.005333960055366854,99
13.5-20 現物,-100,0.003914673576436993,99
13.5-20 現物,0,0.0023214710566804705,99
13.5-20 現物,100,0.010955718151954624,99
13.5-20 現物,200,0.049994887251508704,99
13.5-20 現物,300,0.04357473466461616,99
13.5-20 現物,400,0.02462024421426874,99
13.5-20 現物,500,0.03546262046823066,99
13.5-20 現物,600,0.03629363827268347,99
13.5-20 現物,700,0.01941065996862279,99
13.5-20 現物,800,0.009810909654248993,99
13.5-20 現物,900,0.01014225493328391,99
13.5-20 現物,1000,0.007775912236272371,99
13.5-20 現物,1100,0.005466951095709897,99
13.5-20 現物,1200,0.004954541454672264,99
13.5-20 現物,1300,0.003688252640567035,99
13.5-20 現物,1400,0.0038251142724548028,99
13.5-20 現物,1500,0.003616127958723694,99
13.5-20 現物,1600,0.003783466101908547,99
13.5-20 現物,1700,0.0024277016116184473,99
13.5-20 現物,1800,0.002453671506832915,99
13.5-20 現物,1900,0.0022814497594651688,99
13.5-20 現物,2000,0.0014671742782340863,99
20-24 アフター,-2000,0.0003082914052310151,99
20-24 アフター,-1900,0.0007228627062226153,99
20-24 アフター,-1800,0.002764566694614893,99
20-24 アフター,-1700,0.0012116183484146498,99
20-24 アフター,-1600,0.0007334453560386888,99
20-24 アフター,-1500,0.0008536802101510952,99
20-24 アフター,-1400,0.001418538993424756,99
20-24 アフター,-1300,0.00044198596377313627,99
20-24 アフター,-1200,0.0025019068235503997,99
20-24 アフター,-1100,0.0019367340551008341,99
20-24 アフター,-1000,0.002688523890999675,99
20-24 アフター,-900,0.002150689123827317,99
20-24 アフター,-800,0.0019292070973666996,99
20-24 アフター,-700,0.0021659985205996542,99
20-24 アフター,-600,0.002541725254909096,99
20-24 アフター,-500,0.0040414751261568255,99
20-24 アフター,-400,0.003920968665212487,99
20-24 アフター,-300,0.005992432268310775,99
20-24 アフター,-200,0.00881670202472502,99
20-24 アフター,-100,0.005847698955213368,99
20-24 アフター,0,0.004016517421554645,99
20-24 アフター,100,0.015478384376233894,99
20-24 アフター,200,0.06459593230845692,99
20-24 アフター,300,0.04217417710596838,99
20-24 アフター,400,0.023279780308424636,99
20-24 アフター,500,0.04317837553758894,99
20-24 アフター,600,0.03930471751533482,99
20-24 アフター,700,0.015097247460582233,99
20-24 アフター,800,0.00958093372100744,99
20-24 アフター,900,0.010276568258900913,99
20-24 アフター,1000,0.007388761547779417,99
20-24 アフター,1100,0.005067760542270082,99
20-24 アフター,1200,0.006891033983583246,99
20-24 アフター,1300,0.006463691890061146,99
20-24 アフター,1400,0.004463385785576212,99
20-24 アフター,1500,0.003496792044115925,99
20-24 アフター,1600,0.003455529262896472,99
20-24 アフター,1700,0.003667867203152386,99
20-24 アフター,1800,0.00280530249303993,99
20-24 アフター,1900,0.0036201465741356295,99
20-24 アフター,2000,0.001501677601581504,99
