group,lag_ms,corr,n_days
全体,-2000,0.00024401432027446165,99
全体,-1900,-0.00018506115049395452,99
全体,-1800,0.00023017616142904354,99
全体,-1700,0.00020126506145733302,99
全体,-1600,0.0003086416132460065,99
全体,-1500,0.000525472747846631,99
全体,-1400,0.000779404357890548,99
全体,-1300,-0.00003428215091082408,99
全体,-1200,0.0005392863273157556,99
全体,-1100,0.00041306142550849627,99
全体,-1000,0.0006517054269223532,99
全体,-900,0.001006630606783041,99
全体,-800,0.0003257293819544237,99
全体,-700,0.0005938834791394235,99
全体,-600,0.00037742191503416456,99
全体,-500,0.001158804269473728,99
全体,-400,0.0013346822436335372,99
全体,-300,0.0022880654511417903,99
全体,-200,0.00477237792397852,99
全体,-100,0.002083294629356105,99
全体,0,0.0016759387953959293,99
全体,100,0.007825316016513118,99
全体,200,0.032885001426891755,99
全体,300,0.02632047561165947,99
全体,400,0.01474424417542107,99
全体,500,0.02234175614390661,99
全体,600,0.021698608089204218,99
全体,700,0.010798931515081135,99
全体,800,0.005455921321556669,99
全体,900,0.004879986619061114,99
全体,1000,0.004239107486820173,99
全体,1100,0.003064478893606466,99
全体,1200,0.003384540525161132,99
全体,1300,0.0016043802319856033,99
全体,1400,0.002292056882995042,99
全体,1500,0.001457061965092161,99
全体,1600,0.0015868996394020503,99
全体,1700,0.0015717013579622675,99
全体,1800,0.0016095085001387357,99
全体,1900,0.0011002446708629013,99
全体,2000,0.0007668405375214606,99
00-08 夜,-2000,0.0011930022726775397,99
00-08 夜,-1900,0.00039532324199100796,99
00-08 夜,-1800,0.000522133499536896,99
00-08 夜,-1700,-6.637971925933405e-6,99
00-08 夜,-1600,0.0003332927826318186,99
00-08 夜,-1500,0.0011067137917126558,99
00-08 夜,-1400,0.0013108932482079254,99
00-08 夜,-1300,0.0003994366036514688,99
00-08 夜,-1200,0.0014380791879301104,99
00-08 夜,-1100,0.0019483301161797586,99
00-08 夜,-1000,-0.00014750132975209937,99
00-08 夜,-900,0.0015877033209710097,99
00-08 夜,-800,0.0008660079730743226,99
00-08 夜,-700,0.00208806469579232,99
00-08 夜,-600,0.002424238855528398,99
00-08 夜,-500,0.0026524269649914685,99
00-08 夜,-400,0.0030906540863799266,99
00-08 夜,-300,0.004242196966827265,99
00-08 夜,-200,0.005401842162670176,99
00-08 夜,-100,0.0031031251035766494,99
00-08 夜,0,0.004192431870225251,99
00-08 夜,100,0.014768123555006504,99
00-08 夜,200,0.06074706908876157,99
00-08 夜,300,0.04020102937982759,99
00-08 夜,400,0.02107017442298895,99
00-08 夜,500,0.03463823322800633,99
00-08 夜,600,0.03255466330845451,99
00-08 夜,700,0.015116978947704612,99
00-08 夜,800,0.00839496610319091,99
00-08 夜,900,0.008432374626256756,99
00-08 夜,1000,0.007700776325738374,99
00-08 夜,1100,0.005005931552704006,99
00-08 夜,1200,0.005487927664642458,99
00-08 夜,1300,0.003929845345541436,99
00-08 夜,1400,0.005095234658833437,99
00-08 夜,1500,0.0022055532678095084,99
00-08 夜,1600,0.0028890510485578484,99
00-08 夜,1700,0.0026484252041614306,99
00-08 夜,1800,0.002583330704518105,99
00-08 夜,1900,0.002537055861686467,99
00-08 夜,2000,0.0011099027662209025,99
08-13.5 プレ,-2000,0.0007554050880927561,99
08-13.5 プレ,-1900,0.0013005004027888435,99
08-13.5 プレ,-1800,0.001207974225753801,99
08-13.5 プレ,-1700,-0.0005860207082967519,99
08-13.5 プレ,-1600,0.0005204457484048958,99
08-13.5 プレ,-1500,0.00034762674376922977,99
08-13.5 プレ,-1400,0.0017017944998913165,99
08-13.5 プレ,-1300,0.0011659951012408538,99
08-13.5 プレ,-1200,0.0015316839992086913,99
08-13.5 プレ,-1100,0.00033554363334472437,99
08-13.5 プレ,-1000,0.0009425062179874218,99
08-13.5 プレ,-900,0.001286072833169656,99
08-13.5 プレ,-800,0.001419432897518015,99
