feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop
best_bid,fwd_mid_100ms,1691821,38,-0.004322601086483836,-0.00004555524620572544,-0.0010660731892053218,0.015673489110404726,-0.06801760486742019,0.4424242424242424,0.37470335218678574,10
best_bid,fwd_micro_100ms,1691821,38,0.012084773308670015,-0.002589801867299777,-0.03305267777226489,0.026658982059721236,-1.2398327024723057,-0.5030303030303029,0.37470335218678574,10
best_bid,fwd_mid_300ms,1691821,38,-0.00690813634918469,-0.0014197936790316815,-0.036993526212818276,0.03686696308341022,-1.003432968675009,0.23636363636363633,0.37470335218678574,10
best_bid,fwd_micro_300ms,1691821,38,0.006945121642945646,-0.0016758992847818383,0.03732976394032279,0.04915796860148507,0.7593837785069713,-0.38181818181818183,0.37470335218678574,10
best_bid,fwd_mid_500ms,1691821,38,-0.007279101239995512,-0.000692470147231074,-0.03396314956338139,0.043163481641045054,-0.7868491667522279,0.2727272727272727,0.37470335218678574,10
best_bid,fwd_micro_500ms,1691821,38,0.0059489414365227955,-0.0022581082034253833,0.03938777446653334,0.06616548363014614,0.5952918698018492,-0.2606060606060606,0.37470335218678574,10
best_bid,fwd_mid_1s,1691821,38,-0.00631463360005213,-0.0038201539410539754,-0.5262169237120162,0.4659555668720463,-1.1293285478795836,-0.17575757575757575,0.37470335218678574,10
best_bid,fwd_micro_1s,1691821,38,0.006484711201380671,0.004345587435285273,-0.08069188534508646,0.31731473219037903,-0.2542960573815206,-0.16363636363636364,0.37470335218678574,10
best_bid,fwd_mid_3s,1691821,38,0.0005589531281077079,0.00962118794989211,-1.645558609370643,1.1972484403159056,-1.3744504097549264,-0.23636363636363633,0.37470335218678574,10
best_bid,fwd_micro_3s,1691821,38,-0.012701244927726146,-0.009770110636054647,-1.426437933695668,1.304505196503624,-1.0934704879051858,-0.0303030303030303,0.37470335218678574,10
best_bid,fwd_mid_5s,1691821,38,-0.003834808903100844,0.0019044885417881974,-3.462917984093473,2.228162170409729,-1.554158862438944,-0.10303030303030303,0.37470335218678574,10
best_bid,fwd_micro_5s,1691821,38,-0.005917077444630681,0.0027310376329514655,-3.3880758517170184,2.3311048587103675,-1.4534206125722704,-0.1515151515151515,0.37470335218678574,10
best_bid,fwd_mid_10s,1691821,38,-0.010179060952845194,0.0051734357539116186,-5.442450844413882,3.394946802008832,-1.6031034245348166,-0.12727272727272726,0.37470335218678574,10
best_bid,fwd_micro_10s,1691821,38,-0.014321145965645267,0.006712901538938628,-4.743565724953459,3.525255056499984,-1.3455950417565143,-0.19999999999999998,0.37470335218678574,10
best_bid,fwd_mid_30s,1691821,38,-0.03288025014154532,0.014652516077613684,-9.640256269508674,3.339675860945557,-2.886584408457905,-0.06666666666666665,0.37470335218678574,10
best_bid,fwd_micro_30s,1691821,38,-0.03963709147241392,0.017705882253919294,-9.436102287406667,3.3144308899738686,-2.8469751220189305,0.006060606060606061,0.37470335218678574,10
best_bid,fwd_mid_60s,1691821,38,-0.06026639853250008,0.03899214535160706,-16.00353461810978,4.741210709878988,-3.375410965128408,0.07878787878787878,0.37470335218678574,10
best_bid,fwd_micro_60s,1691821,38,-0.06820818047394006,0.04225572552296752,-15.76365654581299,4.719855083372108,-3.3398602854032164,0.06666666666666665,0.37470335218678574,10
