dt,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,35554,32340,1254,1255,2509,1254,-2070.738765587741,1,-3.1815795297371277,3.0935795297371276,-2073.920345117478,0.5001992825827023,1,0.0,16.928,-1.6513068306122363,0.006379585326953748,0.03269537480063796,0.20015948963317384,0.36762360446570974,0.6634768740031898,0.8157894736842105
2026-05-05,47860,46300,1075,1074,2149,1074,-1716.0915945562267,1,1.8756949262832845,0.9938786803305222,-1714.2158996299434,0.5002326663564448,1,0.0,23.173000000000002,-1.597850646700397,0.0074487895716946,0.03910614525139665,0.16387337057728119,0.28305400372439476,0.5800744878957169,0.7523277467411545
2026-05-06,50008,58018,1649,1649,3298,1649,-1461.2096658928144,0,0.0,0.0,-1461.2096658928144,0.5,1,0.0,19.74,-0.8861186573031032,0.011522134627046696,0.05033353547604609,0.20618556701030927,0.33778047301394787,0.6264402668283808,0.8150394178289873
2026-05-07,46654,53633,1466,1467,2933,1466,-1572.2776916790442,1,0.1517426479719881,3.172591388509388,-1572.1259490310722,0.5001704739174906,1,0.0,16.715,-1.0724950147878871,0.01432469304229195,0.05252387448840382,0.23533424283765347,0.3635743519781719,0.6432469304229195,0.8049113233287858
2026-05-08,50380,54294,1702,1701,3403,1701,-1142.377816464839,1,-3.835666479815792,2.890355928961569,-1146.2134829446547,0.5001469291801351,1,0.0,15.739,-0.6715918968047263,0.012345679012345678,0.06055261610817166,0.25925925925925924,0.3950617283950617,0.6684303350970018,0.8383303938859494
2026-05-09,11821,12012,908,907,1815,907,3394.340566735026,1,-3.784571733988709,4.085286061352078,3390.5559950010374,0.5002754820936639,1,0.0,23.69,3.742382102243687,0.011025358324145534,0.03969128996692393,0.16648291069459759,0.2866593164277839,0.5799338478500551,0.7320837927232635
2026-05-10,11719,15386,983,982,1965,982,-1032.5317577386909,1,-7.271679485062282,3.0245773229901123,-1039.8034372237532,0.5002544529262086,1,0.0,14.683499999999999,-1.051458001770561,0.02240325865580448,0.08044806517311609,0.3105906313645621,0.4256619144602851,0.6496945010183299,0.7586558044806517
2026-05-11,66663,76436,4281,4282,8563,4281,-5870.024167772904,1,-0.9339999999999999,0.9085668683404821,-5870.958167772904,0.5000583907509051,1,0.0,6.42,-1.3711806044785997,0.033403410418126604,0.12824106517168885,0.4419528147629059,0.6157439850502219,0.8780658724597057,0.9600560616678346
2026-05-12,79654,81262,3892,3891,7783,3891,-9773.994750832127,1,-12.682449671911131,2.5815664288050018,-9786.677200504038,0.500064242579982,1,0.0,8.118,-2.511949306304839,0.015677203803649446,0.07915702904137754,0.36802878437419684,0.5618093035209458,0.8519660755589823,0.9498843484965305
2026-05-13,66872,65204,4222,4221,8443,4221,-10228.031259689984,1,-2.9248173549498957,1.4681304234221075,-10230.956077044933,0.5000592206561648,1,0.0,7.619,-2.4231298885785333,0.019189765458422176,0.07770670457237622,0.3773987206823028,0.5880123193556029,0.8749111584932481,0.9637526652452025
2026-05-14,72491,77148,3741,3740,7481,3740,-4332.187791736514,1,-1.0625033218122129,0.9745033218114824,-4333.250295058326,0.5000668359844941,1,0.0,8.0195,-1.1583389817477323,0.02219251336898396,0.08315508021390375,0.3751336898395722,0.5596256684491978,0.8537433155080214,0.9454545454545454
