h_quote,n_fill,half_spread_T,A,A_se,B,B_se,edge,total
0.1,81136,0.7895470449703608,-0.011841203578969004,0.0016003888529785848,-1.7422308676976568,0.138892532139286,0.7777058413913918,-1.052525026306265
0.5,256598,0.7538671450782407,-0.17180473242240427,0.008382994762025248,-1.8951720844337054,0.11729771739801408,0.5820624126558365,-1.401109671777869
1.0,416735,0.7712477806548039,-0.38721871866151203,0.014429792939422186,-1.7871170313270421,0.1126335682064936,0.3840290619932919,-1.4910879693337504
2.0,642497,0.7842643819867635,-0.7087300627702994,0.027775485790634238,-1.6254664302429842,0.11266011700946292,0.07553431921646414,-1.6379321110265201
5.0,1115964,0.8164905068798268,-1.4484402675277936,0.05557758428504135,-1.48844347704274,0.11420545711440137,-0.6319497606479668,-2.2083932376907067
10.0,1662241,0.837150810861196,-2.1487160019907785,0.07509346668600973,-1.4160725907782241,0.11423570618048984,-1.3115651911295825,-2.8156377819078067
