z_lo,z_hi,n,z_mid,obi,obi_resid,ofi_z,ofi_z_resid,abs_ofi_z,ret_1m,fwd_5m
-9.0,-2.5,2407,-2.7440480450069153,-0.08411293476819992,-0.0624850732133848,-1.260467529296875,-1.1599378723506089,1.4298927783966064,-21.740897795297812,1.5738530224957032
-2.5,-2.0,5728,-2.1886098113970993,-0.06270021945238113,-0.04019779197636374,-0.6945821046829224,-0.5893064479436382,0.9635809063911438,-11.6780803338398,1.1517325006030619
-2.0,-1.5,12232,-1.7183978621852778,-0.04062361270189285,-0.01987998795558845,-0.35723674297332764,-0.26150558279251834,0.7674365043640137,-6.107376976489607,-0.08900031034751475
-1.5,-1.0,16557,-1.2404660873012945,-0.020071977749466896,-0.003224961309798615,-0.1168862134218216,-0.04202150932200133,0.6778155565261841,-1.8496479207184928,-0.7867807752244976
-1.0,-0.5,16743,-0.756394096045111,-0.012917544692754745,-0.000947379505923139,0.0007608607411384583,0.04866019868121275,0.6654042601585388,-0.1613164097206571,-0.8848407467521495
-0.5,-0.25,7880,-0.37551040169613736,-0.0038505031261593103,0.0035632695779189657,0.005569484084844589,0.02933860883542954,0.6638530492782593,0.29609459604818655,-0.3509619944695968
-0.25,0.25,14979,-0.00011299827527115298,-0.0017552543431520462,0.0013850685333959669,-0.003030543914064765,-0.002829883437498464,0.6785305142402649,-0.018867255572168246,-0.4774903647629573
0.25,0.5,7828,0.3787646021778767,-0.0032337745651602745,-0.004364087004308275,-0.026856238022446632,-0.049828438281991745,0.6733404397964478,0.17531267351801091,0.16011758031874332
0.5,1.0,17042,0.756096203404593,0.00980972871184349,0.004083459649165362,-0.0022662037517875433,-0.05017929602026188,0.6747071743011475,0.2389006740331306,0.8477828743619497
1.0,1.5,17560,1.2454345292635733,0.009937778115272522,-0.00021429925520950128,0.10140671581029892,0.029476078155183747,0.6717024445533752,1.9598112763739612,1.0160539623448204
1.5,2.0,12955,1.7126183611291115,0.0309479758143425,0.017069822061339866,0.34680917859077454,0.2551291155615543,0.7650190591812134,5.676114551255679,0.4676571434746389
2.0,2.5,6053,2.1934927592950597,0.049985371530056,0.035041542324718504,0.6728603839874268,0.5749263018207421,0.9687121510505676,10.729767803177072,1.3721529507586454
2.5,9.0,2535,2.76406805746688,0.08487880229949951,0.07075502914438919,1.277371883392334,1.1838881066917513,1.4964540004730225,20.226770150858187,2.8186344950104156
